Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,12.69,12.84,12.24,12.28,321600,12.28
2017-02-08,12.80,13.00,12.46,12.69,361100,12.69
2017-02-07,12.51,13.19,12.42,12.68,499300,12.68
2017-02-06,12.27,12.76,12.22,12.65,367100,12.65
2017-02-03,12.04,12.40,11.82,12.09,278700,12.09
2017-02-02,12.69,12.69,11.37,12.00,659500,12.00
2017-02-01,10.97,11.99,10.91,11.82,501300,11.82
2017-01-31,10.11,10.92,10.03,10.67,675000,10.67
2017-01-30,9.79,10.13,9.71,9.78,254500,9.78
2017-01-27,9.49,9.87,9.49,9.74,161200,9.74
2017-01-26,9.63,9.89,9.47,9.53,206900,9.53
2017-01-25,9.88,9.88,9.50,9.81,333200,9.81
2017-01-24,10.35,10.36,9.77,9.94,316800,9.94
2017-01-23,10.34,10.48,10.25,10.35,105500,10.35
2017-01-20,10.09,10.54,9.99,10.23,164200,10.23
2017-01-19,9.88,10.26,9.69,10.06,187100,10.06
2017-01-18,10.36,10.59,9.88,10.02,202700,10.02
2017-01-17,10.30,10.59,10.16,10.38,457600,10.38
2017-01-16,10.05,10.15,10.04,10.10,37300,10.10
2017-01-13,9.75,9.99,9.44,9.88,298800,9.88
2017-01-12,10.15,10.38,9.71,9.80,256900,9.80
2017-01-11,10.14,10.23,9.77,9.90,285900,9.90
2017-01-10,10.16,10.52,9.99,10.21,476300,10.21
2017-01-09,10.00,10.30,9.77,10.02,349100,10.02
2017-01-06,10.12,10.35,9.32,9.77,395700,9.77
2017-01-05,9.73,10.38,9.60,10.29,294500,10.29
2017-01-04,9.50,9.70,9.14,9.36,366300,9.36
2017-01-03,8.84,9.41,8.71,9.39,337400,9.39
2016-12-30,9.43,9.61,8.59,8.72,553600,8.72
2016-12-29,8.37,9.58,8.33,9.32,613500,9.32
2016-12-28,7.94,8.31,7.79,8.29,234000,8.29
2016-12-23,7.59,7.82,7.59,7.63,149400,7.63
2016-12-22,7.55,7.80,7.47,7.56,289200,7.56
