Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1.64,1.64,1.56,1.58,183500,1.58
2017-02-08,1.65,1.69,1.64,1.65,86300,1.65
2017-02-07,1.55,1.59,1.53,1.59,36400,1.59
2017-02-06,1.56,1.59,1.52,1.55,32400,1.55
2017-02-03,1.58,1.60,1.53,1.55,123500,1.55
2017-02-02,1.65,1.68,1.61,1.61,29200,1.61
2017-02-01,1.71,1.71,1.60,1.63,43800,1.63
2017-01-31,1.75,1.78,1.75,1.78,80800,1.78
2017-01-30,1.80,1.80,1.77,1.78,27000,1.78
2017-01-27,1.77,1.79,1.76,1.79,72200,1.79
2017-01-26,1.76,1.77,1.75,1.75,40300,1.75
2017-01-25,1.77,1.77,1.72,1.77,19700,1.77
2017-01-24,1.76,1.77,1.73,1.76,195000,1.76
2017-01-23,1.73,1.76,1.73,1.75,94300,1.75
2017-01-20,1.78,1.78,1.73,1.73,32000,1.73
2017-01-19,1.69,1.76,1.69,1.75,114900,1.75
2017-01-18,1.71,1.73,1.70,1.72,44800,1.72
2017-01-17,1.73,1.73,1.64,1.72,284500,1.72
2017-01-16,1.63,1.66,1.60,1.66,44400,1.66
2017-01-13,1.60,1.63,1.60,1.63,59400,1.63
2017-01-12,1.61,1.61,1.56,1.61,109100,1.61
2017-01-11,1.59,1.62,1.59,1.61,35800,1.61
2017-01-10,1.59,1.62,1.52,1.59,92200,1.59
2017-01-09,1.60,1.60,1.54,1.58,91400,1.58
2017-01-06,1.55,1.60,1.54,1.57,59300,1.57
2017-01-05,1.60,1.63,1.51,1.54,177800,1.54
2017-01-04,1.63,1.66,1.55,1.60,94900,1.60
2017-01-03,1.56,1.63,1.55,1.62,35700,1.62
2016-12-30,1.53,1.59,1.53,1.56,23600,1.56
2016-12-29,1.56,1.56,1.52,1.53,17500,1.53
2016-12-28,1.52,1.65,1.51,1.55,82900,1.55
2016-12-23,1.50,1.62,1.47,1.58,105300,1.58
2016-12-22,1.55,1.56,1.49,1.51,125500,1.51
2016-12-21,1.75,1.75,1.51,1.54,228000,1.54
2016-12-20,1.78,1.81,1.66,1.69,110000,1.69
2016-12-19,1.72,1.86,1.70,1.77,339100,1.77
2016-12-16,1.59,1.72,1.59,1.70,326200,1.70
2016-12-15,1.53,1.60,1.50,1.59,236000,1.59
2016-12-14,1.53,1.54,1.48,1.53,413200,1.53
2016-12-13,1.54,1.57,1.47,1.54,761900,1.54
2016-12-12,1.64,1.65,1.53,1.58,627900,1.58
2016-12-09,2.03,2.11,1.47,1.60,1569300,1.60
2016-12-08,1.81,1.89,1.81,1.85,83100,1.85
2016-12-07,1.81,1.87,1.81,1.84,66400,1.84
2016-12-06,1.92,1.93,1.75,1.82,76100,1.82
2016-12-05,1.91,1.95,1.88,1.91,51800,1.91
2016-12-02,1.90,1.94,1.83,1.93,34200,1.93
2016-12-01,1.83,1.93,1.83,1.87,78300,1.87
2016-11-30,1.87,1.91,1.81,1.85,44600,1.85
2016-11-29,1.85,1.89,1.81,1.85,67000,1.85
2016-11-28,1.83,1.98,1.77,1.91,59300,1.91
2016-11-25,1.84,1.84,1.77,1.80,65600,1.80
2016-11-24,1.76,1.85,1.76,1.80,47400,1.80
2016-11-23,1.83,1.87,1.77,1.82,43500,1.82
2016-11-22,1.80,1.88,1.80,1.83,45200,1.83
2016-11-21,1.88,1.89,1.81,1.81,29100,1.81
2016-11-18,1.94,1.94,1.80,1.83,26700,1.83
2016-11-17,1.83,1.96,1.83,1.87,18800,1.87
2016-11-16,1.81,1.86,1.80,1.84,11900,1.84
2016-11-15,1.95,1.95,1.82,1.84,85700,1.84
2016-11-14,1.93,1.94,1.86,1.90,34600,1.90
2016-11-11,1.95,1.95,1.88,1.90,28500,1.90
2016-11-10,1.82,1.92,1.82,1.89,43200,1.89
2016-11-09,1.81,1.90,1.80,1.88,27800,1.88
2016-11-08,1.96,1.96,1.87,1.88,20100,1.88
2016-11-07,1.81,1.97,1.81,1.97,56600,1.97
2016-11-04,1.93,1.95,1.82,1.82,41100,1.82
2016-11-03,1.98,1.98,1.87,1.92,67800,1.92
2016-11-02,1.87,1.99,1.84,1.97,52100,1.97
2016-11-01,1.88,1.99,1.88,1.88,68600,1.88
2016-10-31,2.00,2.00,1.87,1.92,69800,1.92
2016-10-28,2.04,2.05,2.02,2.04,85700,2.04
2016-10-27,2.09,2.16,2.04,2.05,98600,2.05
2016-10-26,2.06,2.15,2.00,2.12,134200,2.12
2016-10-25,2.15,2.15,2.07,2.09,32700,2.09
2016-10-24,2.06,2.18,2.06,2.12,41900,2.12
2016-10-21,2.07,2.10,2.06,2.09,18800,2.09
2016-10-20,2.10,2.15,2.08,2.09,36000,2.09
2016-10-19,2.08,2.14,2.05,2.12,69100,2.12
2016-10-18,2.13,2.14,2.05,2.09,68600,2.09
2016-10-17,2.13,2.19,2.11,2.14,92800,2.14
2016-10-14,2.18,2.24,2.15,2.16,64500,2.16
2016-10-13,2.17,2.27,2.17,2.25,83600,2.25
2016-10-12,2.19,2.27,2.16,2.20,55200,2.20
2016-10-11,2.27,2.27,2.17,2.18,50700,2.18
2016-10-07,2.15,2.26,2.15,2.24,77700,2.24
2016-10-06,2.21,2.26,2.15,2.16,93400,2.16
2016-10-05,2.13,2.36,2.12,2.28,82400,2.28
2016-10-04,2.22,2.23,2.15,2.19,62000,2.19
2016-10-03,2.41,2.54,2.24,2.25,118500,2.25
2016-09-30,2.39,2.48,2.30,2.43,154200,2.43
2016-09-29,2.12,2.40,2.12,2.40,211500,2.40
2016-09-28,2.11,2.16,2.11,2.16,14500,2.16
2016-09-27,2.09,2.15,2.09,2.14,35300,2.14
2016-09-26,2.08,2.19,2.08,2.13,46000,2.13
2016-09-23,2.08,2.18,2.08,2.13,30900,2.13
2016-09-22,2.10,2.15,2.09,2.13,103900,2.13
2016-09-21,2.10,2.13,2.08,2.11,27900,2.11
2016-09-20,2.11,2.14,2.10,2.10,29200,2.10
2016-09-19,2.15,2.22,2.08,2.08,103800,2.08
2016-09-16,2.07,2.16,2.06,2.15,41700,2.15
2016-09-15,2.09,2.12,2.06,2.10,55400,2.10
2016-09-14,2.15,2.15,2.07,2.09,19900,2.09
2016-09-13,2.10,2.17,2.08,2.14,318000,2.14
2016-09-12,2.11,2.14,2.08,2.12,69700,2.12
2016-09-09,2.12,2.16,2.12,2.13,67500,2.13
2016-09-08,2.15,2.18,2.12,2.13,77700,2.13
2016-09-07,2.17,2.19,2.14,2.14,50500,2.14
2016-09-06,2.24,2.25,2.16,2.17,36100,2.17
2016-09-02,2.14,2.24,2.11,2.23,165900,2.23
2016-09-01,2.15,2.18,2.12,2.14,44200,2.14
2016-08-31,2.19,2.22,2.14,2.16,78300,2.16
2016-08-30,2.22,2.26,2.15,2.15,102200,2.15
2016-08-29,2.18,2.21,2.15,2.20,78400,2.20
2016-08-26,2.16,2.17,2.14,2.15,50200,2.15
2016-08-25,2.14,2.18,2.11,2.14,56800,2.14
2016-08-24,2.19,2.24,2.11,2.13,108100,2.13
2016-08-23,2.23,2.25,2.18,2.19,103000,2.19
2016-08-22,2.14,2.30,2.14,2.20,134500,2.20
2016-08-19,2.15,2.18,2.03,2.14,163100,2.14
2016-08-18,2.24,2.25,2.15,2.16,54900,2.16
2016-08-17,2.20,2.24,2.01,2.22,406000,2.22
2016-08-16,2.31,2.38,2.13,2.22,1041400,2.22
2016-08-15,2.00,2.17,1.96,2.17,442600,2.17
2016-08-12,1.90,1.97,1.86,1.93,4914000,1.93
2016-08-11,1.52,1.79,1.52,1.74,1798900,1.74
2016-08-10,1.50,1.50,1.44,1.48,321900,1.48
2016-08-09,1.52,1.52,1.46,1.49,345600,1.49
2016-08-08,1.53,1.53,1.48,1.50,1852300,1.50
2016-08-05,1.75,1.75,1.50,1.52,2565000,1.52
2016-08-04,1.57,1.75,1.48,1.68,6677800,1.68
2016-08-03,1.62,1.65,1.60,1.65,47400,1.65
2016-08-02,1.65,1.65,1.57,1.62,91400,1.62
2016-07-29,1.65,1.66,1.60,1.65,117600,1.65
2016-07-28,1.68,1.68,1.66,1.66,77000,1.66
2016-07-27,1.71,1.71,1.67,1.68,376000,1.68
2016-07-26,1.76,1.77,1.74,1.74,16800,1.74
2016-07-25,1.75,1.77,1.70,1.76,220900,1.76
2016-07-22,1.77,1.77,1.72,1.72,47100,1.72
2016-07-21,1.77,1.78,1.74,1.75,67000,1.75
2016-07-20,1.81,1.81,1.76,1.76,100000,1.76
2016-07-19,1.80,1.87,1.77,1.87,122200,1.87
2016-07-18,1.84,1.88,1.78,1.82,157900,1.82
2016-07-15,1.86,1.87,1.78,1.86,97400,1.86
2016-07-14,1.85,1.89,1.83,1.89,92200,1.89
2016-07-13,1.85,1.89,1.83,1.89,27600,1.89
2016-07-12,1.82,1.88,1.82,1.88,66900,1.88
2016-07-11,1.83,1.87,1.80,1.85,92200,1.85
2016-07-08,1.80,1.85,1.77,1.84,74200,1.84
2016-07-07,1.81,1.81,1.76,1.80,17300,1.80
2016-07-06,1.75,1.81,1.73,1.81,88200,1.81
2016-07-05,1.86,1.86,1.60,1.78,198700,1.78
2016-07-04,1.82,1.87,1.77,1.79,62500,1.79
2016-06-30,1.80,1.86,1.77,1.86,65400,1.86
2016-06-29,1.80,1.84,1.76,1.80,106500,1.80
2016-06-28,1.77,1.80,1.75,1.79,24200,1.79
2016-06-27,1.76,1.87,1.72,1.76,118000,1.76
2016-06-24,1.77,1.79,1.70,1.76,55600,1.76
2016-06-23,1.80,1.86,1.80,1.84,66100,1.84
2016-06-22,1.79,1.82,1.77,1.78,72400,1.78
2016-06-21,1.87,1.89,1.77,1.79,39600,1.79
2016-06-20,1.77,1.90,1.76,1.83,111600,1.83
2016-06-17,1.78,1.78,1.73,1.76,81100,1.76
2016-06-16,1.75,1.75,1.68,1.74,123800,1.74
2016-06-15,1.82,1.82,1.75,1.76,130300,1.76
2016-06-14,1.85,1.85,1.77,1.77,156100,1.77
2016-06-13,1.94,1.94,1.82,1.83,135100,1.83
2016-06-10,2.06,2.08,1.92,1.92,137900,1.92
2016-06-09,2.10,2.10,1.91,2.05,94300,2.05
2016-06-08,2.22,2.22,2.11,2.14,118100,2.14
2016-06-07,2.20,2.25,2.18,2.19,203300,2.19
2016-06-06,2.14,2.19,2.14,2.18,46600,2.18
2016-06-03,2.12,2.20,2.10,2.12,184000,2.12
2016-06-02,2.08,2.20,2.03,2.11,381200,2.11
2016-06-01,1.94,2.10,1.91,2.05,647400,2.05
2016-05-31,1.90,1.97,1.85,1.85,1705700,1.85
2016-05-30,1.88,1.96,1.85,1.87,34800,1.87
2016-05-27,1.91,1.94,1.88,1.89,70100,1.89
