Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,14.77,14.86,14.70,14.85,116300,14.85
2017-02-09,14.86,14.97,14.73,14.75,133500,14.75
2017-02-08,14.86,15.00,14.79,15.00,323100,15.00
2017-02-07,14.95,14.95,14.89,14.92,64300,14.92
2017-02-06,14.85,14.95,14.76,14.91,92100,14.91
2017-02-03,14.70,14.95,14.70,14.81,103200,14.81
2017-02-02,14.72,14.90,14.68,14.88,177300,14.88
2017-02-01,14.85,14.85,14.63,14.72,181800,14.72
2017-01-31,14.65,14.82,14.56,14.80,118500,14.80
2017-01-30,14.77,14.77,14.53,14.63,104400,14.63
2017-01-27,14.90,14.93,14.83,14.86,122700,14.787
2017-01-26,14.97,14.99,14.86,14.89,116800,14.816853
2017-01-25,14.94,14.95,14.89,14.93,113600,14.856657
2017-01-24,14.66,14.93,14.63,14.84,130400,14.767099
2017-01-23,14.80,14.83,14.64,14.67,648400,14.597934
2017-01-20,14.92,14.95,14.78,14.84,131700,14.767099
2017-01-19,14.96,15.00,14.86,14.88,101300,14.806902
2017-01-18,14.90,15.02,14.86,14.95,160200,14.876558
2017-01-17,14.69,15.04,14.69,14.91,147300,14.836755
2017-01-16,14.66,14.75,14.63,14.71,103300,14.637737
2017-01-13,14.63,14.71,14.60,14.63,93900,14.55813
2017-01-12,14.58,14.65,14.47,14.61,231100,14.538228
2017-01-11,14.45,14.60,14.41,14.54,89000,14.468572
2017-01-10,14.42,14.52,14.35,14.39,149800,14.31931
2017-01-09,14.38,14.52,14.38,14.47,915100,14.398916
2017-01-06,14.39,14.41,14.21,14.37,168600,14.299407
2017-01-05,14.21,14.42,14.21,14.35,278800,14.279506
2017-01-04,14.18,14.29,14.17,14.19,119300,14.120291
2017-01-03,14.36,14.42,14.17,14.18,126000,14.110341
2016-12-30,14.40,14.45,14.31,14.34,111300,14.269555
2016-12-29,14.27,14.41,14.26,14.41,92400,14.339211
2016-12-28,14.19,14.29,14.11,14.28,90000,14.209849
2016-12-23,14.17,14.21,14.05,14.17,112000,14.027749
2016-12-22,14.25,14.27,14.15,14.16,100100,14.017849
2016-12-21,14.24,14.36,14.20,14.26,176600,14.116845
2016-12-20,14.04,14.25,14.00,14.17,186100,14.027749
2016-12-19,13.91,14.02,13.86,14.01,132500,13.869355
2016-12-16,13.78,13.94,13.78,13.87,432800,13.73076
2016-12-15,13.91,13.91,13.69,13.76,321600,13.621865
2016-12-14,13.99,14.00,13.85,13.92,293100,13.780258
2016-12-13,13.98,14.03,13.93,13.98,156500,13.839656
2016-12-12,13.90,14.04,13.90,13.93,78700,13.790158
