Date,Open,High,Low,Close,Volume,Adj Close
2017-01-31,9.37,9.54,9.36,9.46,519300,9.46
2017-01-30,9.78,9.78,9.275,9.34,739700,9.34
2017-01-27,9.61,9.67,9.49,9.62,377900,9.62
2017-01-26,9.78,9.83,9.60,9.65,632000,9.65
2017-01-25,9.58,9.74,9.55,9.66,676500,9.66
2017-01-24,9.15,9.61,9.15,9.58,1200300,9.58
2017-01-23,9.42,9.42,8.945,9.09,1491300,9.09
2017-01-20,9.58,9.62,9.45,9.48,464100,9.48
2017-01-19,9.62,9.62,9.45,9.48,888100,9.48
2017-01-18,9.77,9.77,9.54,9.62,970900,9.62
2017-01-17,9.81,10.02,9.79,9.91,1121100,9.91
2017-01-16,9.80,9.83,9.65,9.77,550400,9.77
2017-01-13,9.85,9.87,9.59,9.80,1190300,9.80
2017-01-12,9.78,9.91,9.49,9.90,4297800,9.90
2017-01-11,9.78,9.80,9.52,9.70,1624700,9.70
2017-01-10,9.84,9.90,9.57,9.71,1327700,9.71
2017-01-09,9.95,9.98,9.69,9.85,1289500,9.85
2017-01-06,10.52,10.52,10.24,10.25,478400,10.25
2017-01-05,10.68,10.73,10.34,10.50,544800,10.50
2017-01-04,10.48,10.66,10.24,10.64,1293800,10.64
2017-01-03,10.69,10.87,10.435,10.51,759900,10.51
2016-12-30,10.59,10.64,10.52,10.56,281200,10.56
2016-12-29,10.55,10.63,10.54,10.58,316800,10.58
2016-12-28,10.61,10.66,10.51,10.59,236400,10.59
2016-12-23,10.58,10.67,10.50,10.53,314000,10.53
2016-12-22,10.61,10.66,10.53,10.60,373800,10.60
2016-12-21,10.71,10.83,10.53,10.61,365900,10.61
2016-12-20,10.60,10.63,10.51,10.62,623800,10.62
2016-12-19,10.63,10.67,10.53,10.55,308600,10.55
2016-12-16,10.58,10.79,10.58,10.67,892800,10.67
2016-12-15,10.25,10.58,10.10,10.53,1227200,10.53
2016-12-14,10.64,10.64,10.31,10.31,1888800,10.31
2016-12-13,10.41,10.91,10.37,10.74,651100,10.74
2016-12-12,10.75,10.89,10.31,10.35,1398600,10.35
2016-12-09,10.36,10.38,10.18,10.22,635300,10.22
2016-12-08,10.30,10.46,10.20,10.29,1127300,10.29
2016-12-07,10.50,10.50,10.10,10.30,1940100,10.30
2016-12-06,10.71,10.73,10.38,10.53,507600,10.53
2016-12-05,10.88,11.01,10.68,10.76,363400,10.76
2016-12-02,10.87,10.95,10.75,10.81,455500,10.81
2016-12-01,10.88,11.28,10.60,10.87,1575500,10.87
2016-11-30,10.50,10.73,10.21,10.63,2403500,10.63
2016-11-29,9.54,9.57,9.27,9.33,1201600,9.33
2016-11-28,10.01,10.04,9.66,9.71,735600,9.71
2016-11-25,10.33,10.37,9.87,9.93,829900,9.93
2016-11-24,10.38,10.49,10.32,10.35,232800,10.35
2016-11-23,10.50,10.64,10.43,10.44,382400,10.44
2016-11-22,10.78,10.84,10.45,10.59,468000,10.59
2016-11-21,10.49,10.77,10.43,10.73,615300,10.73
2016-11-18,10.31,10.36,10.24,10.27,335800,10.27
2016-11-17,10.50,10.53,10.22,10.28,818000,10.28
2016-11-16,10.50,10.53,10.29,10.33,736900,10.33
2016-11-15,10.41,10.72,10.40,10.56,363400,10.56
2016-11-14,10.16,10.33,10.03,10.29,570000,10.29
2016-11-11,10.21,10.26,10.02,10.16,568000,10.16
2016-11-10,10.40,10.405,10.19,10.30,637000,10.30
2016-11-09,10.01,10.465,10.01,10.44,781500,10.44
2016-11-08,10.25,10.37,10.10,10.11,670000,10.11
2016-11-07,10.48,10.48,10.28,10.36,364300,10.36
2016-11-04,10.35,10.35,10.13,10.22,462500,10.22
2016-11-03,10.36,10.46,10.33,10.41,2133800,10.41
2016-11-02,10.75,10.75,10.36,10.41,1027400,10.41
2016-11-01,10.86,10.94,10.715,10.77,290300,10.77
2016-10-31,10.94,10.95,10.70,10.75,606000,10.75
2016-10-28,11.19,11.19,10.93,11.00,395600,11.00
2016-10-27,11.13,11.29,11.13,11.21,846600,11.21
2016-10-26,11.32,11.32,10.95,11.06,1449000,11.06
2016-10-25,11.55,11.61,11.37,11.40,312400,11.40
2016-10-24,11.70,11.76,11.44,11.49,665400,11.49
2016-10-21,11.51,11.71,11.50,11.68,233100,11.68
2016-10-20,11.45,11.67,11.38,11.55,621400,11.55
2016-10-19,11.49,11.87,11.49,11.65,412100,11.65
2016-10-18,11.33,11.485,11.32,11.42,210700,11.42
2016-10-17,11.34,11.37,11.25,11.27,307400,11.27
2016-10-14,11.16,11.36,11.16,11.34,506700,11.34
2016-10-13,11.15,11.26,11.03,11.13,743200,11.13
2016-10-12,11.28,11.31,11.17,11.21,421900,11.21
2016-10-11,11.24,11.43,11.15,11.32,503700,11.32
2016-10-07,11.26,11.28,11.05,11.15,226400,11.15
