Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1.26,1.26,1.22,1.25,559600,1.25
2017-02-08,1.26,1.26,1.23,1.24,668300,1.24
2017-02-07,1.36,1.36,1.20,1.22,2164500,1.22
2017-02-06,1.35,1.38,1.35,1.36,666800,1.36
2017-02-03,1.43,1.43,1.32,1.35,1606600,1.35
2017-02-02,1.47,1.52,1.42,1.42,1769200,1.42
2017-02-01,1.45,1.48,1.44,1.44,559900,1.44
2017-01-31,1.46,1.48,1.38,1.44,866900,1.44
2017-01-30,1.48,1.48,1.42,1.46,813400,1.46
2017-01-27,1.49,1.51,1.48,1.49,645400,1.49
2017-01-26,1.58,1.58,1.49,1.52,688300,1.52
2017-01-25,1.50,1.60,1.50,1.59,1745400,1.59
2017-01-24,1.44,1.50,1.44,1.48,1492200,1.48
2017-01-23,1.41,1.45,1.40,1.43,1010700,1.43
2017-01-20,1.38,1.42,1.35,1.42,1295600,1.42
2017-01-19,1.40,1.42,1.35,1.35,2121400,1.35
2017-01-18,1.49,1.49,1.43,1.44,1021100,1.44
2017-01-17,1.60,1.60,1.49,1.50,1191300,1.50
2017-01-16,1.63,1.67,1.56,1.59,1107900,1.59
2017-01-13,1.64,1.64,1.53,1.61,2419700,1.61
2017-01-12,1.60,1.65,1.55,1.63,2061200,1.63
2017-01-11,1.53,1.60,1.51,1.59,1654400,1.59
2017-01-10,1.42,1.55,1.42,1.51,1600500,1.51
2017-01-09,1.42,1.43,1.39,1.41,338800,1.41
2017-01-06,1.43,1.43,1.39,1.43,496900,1.43
2017-01-05,1.38,1.44,1.38,1.43,890100,1.43
2017-01-04,1.34,1.38,1.31,1.37,943600,1.37
2017-01-03,1.33,1.37,1.33,1.34,364100,1.34
2016-12-30,1.39,1.39,1.30,1.33,1026600,1.33
2016-12-29,1.43,1.43,1.38,1.39,535000,1.39
2016-12-28,1.39,1.43,1.39,1.43,453900,1.43
2016-12-23,1.41,1.44,1.40,1.42,660700,1.42
2016-12-22,1.40,1.42,1.39,1.41,825200,1.41
