Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,47.75,48.32,47.700001,48.299999,399000,48.299999
2017-01-24,48.09,48.09,47.630001,47.740002,352900,47.740002
2017-01-23,48.209999,48.380001,47.73,48.139999,343500,48.139999
2017-01-20,47.59,48.50,47.59,48.25,593800,48.25
2017-01-19,47.009998,47.57,46.91,47.52,367300,47.52
2017-01-18,47.389999,47.639999,47.080002,47.09,590400,47.09
2017-01-17,47.330002,47.580002,47.07,47.43,340900,47.43
2017-01-16,46.93,47.470001,46.93,47.419998,129800,47.419998
2017-01-13,46.98,47.560001,46.919998,47.259998,332400,47.259998
2017-01-12,46.529999,47.150002,46.52,46.98,324600,46.98
2017-01-11,46.869999,47.049999,46.59,46.810001,308200,46.810001
2017-01-10,46.82,47.220001,46.57,46.900002,361900,46.900002
2017-01-09,46.349998,47.02,46.279999,46.869999,360300,46.869999
2017-01-06,47.380001,47.380001,46.360001,46.389999,580200,46.389999
2017-01-05,47.009998,47.540001,46.889999,47.380001,489800,47.380001
2017-01-04,47.099998,47.279999,46.959999,47.099998,391400,47.099998
2017-01-03,47.529999,47.599998,46.91,47.099998,329200,47.099998
2016-12-30,47.549999,47.700001,47.330002,47.509998,321500,47.509998
2016-12-29,47.189999,47.580002,47.09,47.529999,335800,47.529999
2016-12-28,47.189999,47.389999,46.990002,47.169998,325800,47.169998
2016-12-23,47.25,47.52,47.119999,47.290001,231200,47.290001
2016-12-22,47.50,47.50,46.900002,47.310001,511500,47.310001
2016-12-21,47.290001,47.790001,47.220001,47.490002,356800,47.490002
2016-12-20,46.790001,47.709999,46.75,47.220001,505700,47.220001
2016-12-19,46.619999,46.869999,46.25,46.75,562700,46.75
2016-12-16,46.369999,47.16,46.310001,46.490002,1975600,46.490002
2016-12-15,45.73,46.369999,45.720001,46.049999,580900,46.049999
2016-12-14,46.18,46.439999,45.57,45.740002,501200,45.740002
2016-12-13,45.610001,46.439999,45.57,46.150002,592500,46.150002
2016-12-12,45.400002,45.740002,45.310001,45.450001,410200,45.450001
2016-12-09,45.310001,45.779999,45.240002,45.50,562400,45.50
2016-12-08,45.75,45.75,45.27,45.360001,542700,45.360001
2016-12-07,45.860001,46.09,45.369999,45.68,728400,45.68
2016-12-06,45.740002,45.889999,44.93,45.779999,845800,45.779999
2016-12-05,46.169998,46.549999,45.470001,45.810001,746500,45.810001
2016-12-02,44.360001,46.48,44.169998,46.369999,1066600,46.369999
2016-12-01,45.400002,45.450001,44.279999,44.48,691000,44.329999
2016-11-30,46.610001,46.650002,45.02,45.43,935600,45.276796
2016-11-29,46.400002,46.799999,46.349998,46.709999,777700,46.552478
2016-11-28,46.16,46.540001,46.049999,46.50,783200,46.343188
2016-11-25,46.189999,46.369999,45.970001,46.16,448600,46.004334
2016-11-24,46.43,46.59,46.220001,46.220001,254300,46.064133
2016-11-23,46.459999,46.700001,46.27,46.439999,661800,46.283388
2016-11-22,46.32,46.73,46.25,46.540001,716000,46.383054
2016-11-21,46.240002,46.34,46.16,46.34,804700,46.183727
2016-11-18,45.82,46.27,45.75,46.25,952700,46.094031
2016-11-17,45.919998,46.25,45.599998,45.939999,897600,45.785075
2016-11-16,45.380001,46.00,45.200001,45.799999,1219400,45.645547
2016-11-15,44.540001,45.59,44.380001,45.330002,679600,45.177135
2016-11-14,45.32,45.400002,44.189999,44.599998,759100,44.449593
2016-11-11,45.380001,45.77,45.09,45.27,866800,45.117336
2016-11-10,45.799999,45.799999,44.849998,45.189999,1278700,45.037604
2016-11-09,47.50,48.57,47.470001,48.139999,653700,47.977656
2016-11-08,48.080002,48.380001,47.830002,47.990002,414000,47.828164
2016-11-07,47.470001,48.200001,47.470001,47.93,491700,47.768365
2016-11-04,47.68,47.709999,45.860001,47.459999,468900,47.299949
2016-11-03,47.889999,48.00,47.34,47.860001,366800,47.698602
2016-11-02,48.09,48.169998,47.450001,47.73,525300,47.569039
2016-11-01,48.169998,48.689999,47.91,48.110001,864000,47.947759
2016-10-31,47.389999,48.32,47.32,48.200001,615200,48.037455
2016-10-28,46.93,47.630001,46.849998,47.41,365600,47.250119
2016-10-27,47.220001,47.369999,47.009998,47.049999,310600,46.891332
2016-10-26,46.709999,47.529999,46.650002,47.099998,494000,46.941163
2016-10-25,47.049999,47.119999,46.610001,46.700001,281100,46.542514
2016-10-24,47.02,47.66,46.950001,47.169998,440000,47.010926
2016-10-21,45.830002,46.919998,45.75,46.849998,565900,46.692006
2016-10-20,47.279999,47.279999,46.34,46.52,742700,46.363121
2016-10-19,47.580002,47.580002,47.099998,47.290001,637200,47.130524
2016-10-18,46.98,47.66,46.93,47.50,588900,47.339815
2016-10-17,46.610001,47.41,46.560001,46.799999,565800,46.642175
2016-10-14,46.619999,47.169998,46.52,46.52,421300,46.363121
2016-10-13,46.34,46.919998,45.720001,46.610001,474600,46.452817
2016-10-12,45.50,46.82,45.50,46.619999,464400,46.462782
2016-10-11,45.619999,45.779999,45.330002,45.540001,266300,45.386426
2016-10-07,45.50,45.66,45.119999,45.549999,213400,45.39639
2016-10-06,45.400002,45.669998,44.93,45.560001,239200,45.406359
2016-10-05,45.25,45.82,45.139999,45.529999,438200,45.376457
2016-10-04,45.299999,45.459999,44.779999,45.080002,350300,44.927978
2016-10-03,45.59,45.75,45.110001,45.259998,248600,45.107368
2016-09-30,45.799999,45.91,45.549999,45.59,423400,45.436256
2016-09-29,45.619999,45.73,45.189999,45.59,443400,45.436256
2016-09-28,45.75,46.099998,45.48,45.66,542600,45.50602
2016-09-27,45.50,46.029999,45.419998,45.759998,409900,45.605681
2016-09-26,45.860001,46.049999,45.490002,45.599998,290600,45.446221
2016-09-23,46.50,46.59,45.759998,45.889999,395900,45.735244
2016-09-22,46.049999,46.689999,46.049999,46.41,272800,46.253491
2016-09-21,45.240002,45.990002,45.099998,45.77,350100,45.61565
2016-09-20,44.650002,45.349998,44.650002,45.060001,378300,44.908045
2016-09-19,44.529999,44.75,44.110001,44.48,568000,44.329999
2016-09-16,44.759998,44.759998,43.919998,44.529999,905400,44.37983
2016-09-15,43.700001,44.830002,43.599998,44.639999,461200,44.489459
2016-09-14,43.00,43.689999,42.959999,43.599998,302800,43.452966
2016-09-13,43.139999,43.209999,42.299999,43.049999,565600,42.904821
2016-09-12,43.09,43.490002,42.77,43.16,331900,43.014451
2016-09-09,43.549999,43.77,43.119999,43.400002,264600,43.253643
2016-09-08,43.810001,44.389999,43.619999,43.93,423700,43.781855
2016-09-07,44.00,44.259998,43.400002,43.790001,490600,43.642327
2016-09-06,44.630001,44.630001,43.75,44.16,452100,44.011079
2016-09-02,44.310001,45.080002,44.099998,44.599998,416900,44.449593
2016-09-01,43.439999,44.389999,43.439999,44.099998,575900,43.95128
2016-08-31,43.459999,43.720001,43.009998,43.599998,671400,43.303472
2016-08-30,43.189999,43.50,42.950001,43.240002,276200,42.945923
