Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,10.66,10.83,10.59,10.74,504500,10.74
2017-02-08,10.51,10.78,10.45,10.55,383000,10.55
2017-02-07,10.76,10.78,10.46,10.54,428100,10.54
2017-02-06,10.92,11.04,10.79,10.81,311800,10.81
2017-02-03,10.80,10.92,10.63,10.89,274800,10.89
2017-02-02,11.00,11.10,10.68,10.76,428400,10.76
2017-02-01,10.88,11.09,10.69,11.03,696300,11.03
2017-01-31,10.85,10.94,10.64,10.80,336800,10.80
2017-01-30,11.29,11.29,10.62,10.80,687100,10.80
2017-01-27,11.57,11.61,11.19,11.33,263700,11.31
2017-01-26,11.74,11.92,11.65,11.66,317500,11.639417
2017-01-25,11.28,11.74,11.28,11.70,461000,11.679346
2017-01-24,10.99,11.44,10.99,11.31,204200,11.290035
2017-01-23,11.48,11.52,10.83,10.92,298100,10.900724
2017-01-20,11.35,11.76,11.26,11.60,601900,11.579523
2017-01-19,11.17,11.49,11.17,11.22,385100,11.200194
2017-01-18,11.15,11.31,11.05,11.13,300900,11.110353
2017-01-17,10.87,11.49,10.87,11.40,517700,11.379876
2017-01-16,10.78,10.80,10.67,10.75,210100,10.731024
2017-01-13,11.08,11.11,10.80,10.84,319900,10.820865
2017-01-12,11.42,11.42,10.92,11.14,367700,11.120335
2017-01-11,11.29,11.32,11.17,11.27,276500,11.250106
2017-01-10,11.24,11.45,11.07,11.18,899200,11.160265
2017-01-09,11.55,11.61,11.19,11.23,450000,11.210176
2017-01-06,11.57,11.74,11.38,11.70,500100,11.679346
2017-01-05,11.54,11.79,11.49,11.57,291100,11.549576
2017-01-04,11.41,11.74,11.40,11.48,473500,11.459734
2017-01-03,11.89,12.04,11.36,11.49,725500,11.469717
2016-12-30,11.58,11.89,11.58,11.71,339900,11.689329
2016-12-29,11.50,11.65,11.45,11.61,226400,11.589505
2016-12-28,11.17,11.69,11.17,11.53,303200,11.509646
2016-12-23,11.15,11.21,11.07,11.16,142400,11.120335
2016-12-22,11.25,11.30,11.14,11.16,313600,11.120335
2016-12-21,11.27,11.31,11.16,11.23,504900,11.190086
2016-12-20,11.26,11.49,11.24,11.24,429500,11.200051
2016-12-19,11.16,11.25,11.11,11.18,280500,11.140265
2016-12-16,11.28,11.37,11.17,11.21,816300,11.170158
2016-12-15,11.01,11.23,10.95,11.21,592500,11.170158
2016-12-14,11.01,11.16,10.98,11.02,548300,10.980834
2016-12-13,11.14,11.23,10.94,11.10,958200,11.060549
2016-12-12,11.00,11.52,10.99,11.01,1241000,10.970869
2016-12-09,10.85,11.00,10.70,10.86,544100,10.821401
2016-12-08,10.64,10.83,10.56,10.75,477500,10.711793
2016-12-07,10.25,10.65,10.25,10.53,756700,10.492574
2016-12-06,9.98,10.34,9.93,10.31,2029900,10.273357
2016-12-05,10.31,10.50,10.12,10.15,480600,10.113925
2016-12-02,10.09,10.25,9.95,10.15,946200,10.113925
2016-12-01,9.69,10.50,9.69,10.05,1471700,10.014281
2016-11-30,8.97,9.59,8.96,9.53,1878400,9.496129
2016-11-29,8.48,8.60,8.40,8.51,660600,8.479754
2016-11-28,8.71,8.83,8.65,8.69,626300,8.639185
2016-11-25,8.63,8.74,8.57,8.62,497800,8.569594
2016-11-24,8.86,8.99,8.74,8.75,127200,8.698834
2016-11-23,8.67,8.84,8.60,8.79,677200,8.7386
2016-11-22,8.77,8.90,8.56,8.77,286800,8.718718
2016-11-21,8.72,8.86,8.60,8.79,568900,8.7386
2016-11-18,8.62,8.62,8.40,8.53,400800,8.48012
2016-11-17,8.75,8.77,8.54,8.54,202700,8.490062
2016-11-16,8.55,8.66,8.46,8.65,339500,8.599419
2016-11-15,8.62,8.79,8.52,8.67,524000,8.619302
2016-11-14,8.61,8.72,8.33,8.39,368200,8.34094
2016-11-11,8.76,8.81,8.60,8.64,196600,8.589478
2016-11-10,8.78,9.08,8.71,8.88,343600,8.828074
2016-11-09,8.45,8.84,8.39,8.75,327200,8.698834
2016-11-08,8.57,8.77,8.43,8.53,223400,8.48012
2016-11-07,8.87,8.87,8.58,8.66,262600,8.60936
2016-11-04,8.12,9.02,8.12,8.63,1257300,8.579536
2016-11-03,7.83,8.04,7.80,7.89,556600,7.843863
2016-11-02,8.10,8.14,7.73,7.85,561200,7.804097
2016-11-01,8.24,8.34,8.03,8.18,283000,8.132168
2016-10-31,8.30,8.32,8.19,8.22,197900,8.171934
2016-10-28,8.54,8.58,8.30,8.34,282000,8.291232
2016-10-27,8.45,8.79,8.41,8.60,287400,8.529829
2016-10-26,8.65,8.75,8.35,8.42,1179500,8.351297
2016-10-25,9.01,9.05,8.72,8.76,768300,8.688523
2016-10-24,9.15,9.23,9.03,9.06,331100,8.986076
2016-10-21,9.09,9.21,9.07,9.17,412900,9.095178
2016-10-20,9.04,9.20,8.98,9.06,444600,8.986076
2016-10-19,9.18,9.27,9.04,9.15,427200,9.075341
2016-10-18,8.99,9.22,8.91,9.16,501900,9.085259
2016-10-17,8.95,8.99,8.78,8.84,538100,8.767871
2016-10-14,9.10,9.27,8.95,9.00,431000,8.926565
2016-10-13,8.98,9.11,8.85,9.06,619300,8.986076
2016-10-12,9.16,9.16,9.00,9.11,346000,9.035667
2016-10-11,9.50,9.66,9.14,9.19,623400,9.115014
2016-10-07,9.89,9.93,9.35,9.42,503000,9.343138
2016-10-06,9.70,10.07,9.64,9.89,1289300,9.809303
2016-10-05,9.49,9.67,9.35,9.62,1609100,9.541506
2016-10-04,9.38,9.53,9.16,9.29,339900,9.214199
2016-10-03,9.27,9.45,9.03,9.35,328400,9.273709
2016-09-30,9.44,9.49,9.23,9.27,622900,9.194362
2016-09-29,9.45,9.90,9.35,9.51,848900,9.432404
2016-09-28,8.66,9.42,8.61,9.40,542600,9.323301
2016-09-27,8.79,8.79,8.58,8.60,226800,8.509992
2016-09-26,8.90,9.02,8.75,8.94,416900,8.846433
2016-09-23,9.04,9.05,8.73,8.80,300200,8.707899
2016-09-22,8.74,9.11,8.74,9.07,1019400,8.975072
2016-09-21,8.47,8.61,8.41,8.60,430600,8.509992
2016-09-20,8.50,8.55,8.23,8.32,546400,8.232922
2016-09-19,8.56,8.69,8.39,8.55,294900,8.460515
2016-09-16,8.42,8.60,8.37,8.47,1644000,8.381352
2016-09-15,8.23,8.56,8.20,8.53,371100,8.440724
2016-09-14,8.30,8.40,8.11,8.17,648100,8.084492
2016-09-13,8.81,8.85,8.31,8.35,565300,8.262608
2016-09-12,8.82,9.05,8.70,8.97,534800,8.876119
2016-09-09,9.13,9.20,8.85,9.01,278000,8.915701
2016-09-08,8.67,9.30,8.62,9.25,630000,9.153189
2016-09-07,8.87,8.87,8.56,8.56,330100,8.470411
2016-09-06,8.87,8.94,8.82,8.85,561400,8.757375
2016-09-02,8.93,9.00,8.85,8.87,147200,8.777166
2016-09-01,8.68,8.80,8.59,8.79,194000,8.698003
2016-08-31,8.98,8.98,8.72,8.77,407600,8.678213
2016-08-30,9.01,9.08,8.85,8.98,449000,8.886014
2016-08-29,9.04,9.06,8.89,8.99,521500,8.876119
2016-08-26,9.38,9.47,9.10,9.14,397100,9.02422
2016-08-25,9.19,9.41,9.15,9.37,208100,9.251306
2016-08-24,9.11,9.40,9.08,9.24,281700,9.122952
2016-08-23,9.13,9.28,9.01,9.17,279000,9.053839
2016-08-22,9.41,9.41,9.09,9.15,275800,9.034092
2016-08-19,9.56,9.57,9.37,9.55,154300,9.429026
2016-08-18,9.61,9.73,9.48,9.58,319300,9.458645
2016-08-17,9.45,9.55,9.18,9.54,682500,9.419152
2016-08-16,9.43,9.57,9.43,9.47,933600,9.350039
2016-08-15,9.20,9.47,9.10,9.43,212100,9.310546
2016-08-12,9.05,9.18,9.03,9.10,251900,8.984726
2016-08-11,8.88,9.08,8.81,9.06,345300,8.945233
2016-08-10,8.86,8.89,8.79,8.81,385100,8.6984
2016-08-09,8.80,8.95,8.72,8.79,535200,8.678653
2016-08-08,8.52,8.92,8.52,8.81,628100,8.6984
2016-08-05,8.22,8.49,8.15,8.45,364600,8.34296
2016-08-04,7.81,8.26,7.81,8.21,585200,8.106
2016-08-03,7.66,7.95,7.61,7.88,317100,7.78018
2016-08-02,7.85,7.87,7.63,7.66,344700,7.562967
2016-07-29,7.88,7.94,7.80,7.85,314600,7.75056
2016-07-28,7.91,8.18,7.88,7.93,633400,7.829547
2016-07-27,8.22,8.31,7.71,7.82,643000,7.72094
2016-07-26,8.25,8.37,8.17,8.22,426200,8.096127
2016-07-25,8.67,8.67,8.28,8.29,194100,8.165071
2016-07-22,8.79,8.85,8.65,8.78,213700,8.647687
2016-07-21,8.96,9.03,8.79,8.81,186600,8.677236
2016-07-20,8.80,9.00,8.62,8.96,163800,8.824975
2016-07-19,9.01,9.05,8.77,8.85,246200,8.716633
2016-07-18,8.85,9.11,8.79,9.02,223700,8.884071
2016-07-15,9.07,9.08,8.83,8.89,187800,8.75603
2016-07-14,9.05,9.15,8.95,9.07,325900,8.933317
2016-07-13,9.28,9.40,8.97,8.99,518200,8.854522
2016-07-12,9.01,9.47,9.01,9.33,430300,9.189399
2016-07-11,8.75,8.92,8.65,8.82,368700,8.687084
2016-07-08,8.35,8.72,8.34,8.65,893200,8.519646
2016-07-07,8.46,8.53,8.21,8.28,301300,8.155222
2016-07-06,8.50,8.54,8.30,8.36,510000,8.234016
2016-07-05,8.60,8.66,8.41,8.54,233600,8.411304
2016-07-04,8.90,8.92,8.70,8.80,139400,8.667386
2016-06-30,8.78,8.90,8.67,8.83,487200,8.696934
2016-06-29,8.62,8.91,8.62,8.79,534700,8.657537
2016-06-28,8.55,8.79,8.42,8.48,539700,8.352208
2016-06-27,8.63,8.68,8.29,8.36,268500,8.214318
2016-06-24,8.62,8.95,8.62,8.70,623200,8.548393
2016-06-23,8.99,9.27,8.95,9.19,437700,9.029854
2016-06-22,9.08,9.14,8.78,8.85,243300,8.69578
2016-06-21,8.91,9.17,8.88,9.03,366000,8.872642
2016-06-20,8.87,9.07,8.74,9.01,954400,8.852991
2016-06-17,8.59,8.92,8.54,8.68,1111500,8.528742
2016-06-16,8.69,8.70,8.34,8.48,299900,8.332226
2016-06-15,8.73,9.03,8.69,8.76,353700,8.607348
2016-06-14,8.82,9.01,8.70,8.75,233900,8.597522
2016-06-13,8.94,9.06,8.71,8.86,275100,8.705605
2016-06-10,9.29,9.30,8.98,9.02,409100,8.862817
2016-06-09,9.52,9.76,9.35,9.40,352000,9.236195
2016-06-08,10.00,10.21,9.82,9.85,662000,9.678354
2016-06-07,9.50,10.00,9.50,9.90,644800,9.727481
2016-06-06,9.29,9.56,9.25,9.50,901200,9.334452
2016-06-03,9.25,9.33,9.08,9.15,270800,8.990551
2016-06-02,8.90,9.25,8.90,9.21,367200,9.049506
2016-06-01,9.18,9.25,8.87,8.92,735800,8.764559
2016-05-31,9.18,9.51,9.16,9.29,1001100,9.128112
2016-05-30,9.20,9.20,9.07,9.15,52800,8.990551
2016-05-27,9.23,9.26,9.15,9.17,297900,9.010203
2016-05-26,9.35,9.47,9.23,9.33,501700,9.167415
2016-05-25,9.14,9.30,9.08,9.27,410200,9.108461
2016-05-24,9.19,9.26,8.93,9.07,541100,8.911945
2016-05-20,9.17,9.18,8.93,9.05,246600,8.892294
2016-05-19,8.65,9.13,8.56,9.10,791500,8.941423
2016-05-18,9.28,9.33,8.66,8.70,471900,8.548393
2016-05-17,8.96,9.44,8.96,9.25,568500,9.088809
2016-05-16,8.50,8.98,8.50,8.95,529400,8.794036
2016-05-13,8.30,8.43,8.23,8.28,183100,8.135712
2016-05-12,8.59,8.66,8.29,8.39,542300,8.243796
2016-05-11,8.38,8.60,8.24,8.48,283000,8.332226
2016-05-10,8.20,8.42,8.16,8.38,911100,8.23397
