Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,1.53,1.53,1.52,1.52,1000,1.52
2017-02-09,1.50,1.51,1.48,1.51,20800,1.51
2017-02-08,1.42,1.50,1.42,1.50,37100,1.50
2017-02-07,1.42,1.46,1.42,1.42,28600,1.42
2017-02-06,1.34,1.48,1.34,1.45,45000,1.45
2017-02-03,1.36,1.44,1.36,1.44,38000,1.44
2017-02-02,1.34,1.36,1.34,1.36,5900,1.36
2017-02-01,1.37,1.37,1.37,1.37,3500,1.37
2017-01-31,1.40,1.40,1.36,1.40,6200,1.40
2017-01-30,1.32,1.40,1.30,1.40,8700,1.40
2017-01-27,1.35,1.35,1.31,1.35,6500,1.35
2017-01-26,1.35,1.35,1.33,1.33,2400,1.33
2017-01-25,1.35,1.43,1.35,1.43,4700,1.43
2017-01-24,1.37,1.38,1.36,1.38,4100,1.38
2017-01-23,1.38,1.43,1.36,1.40,10000,1.40
2017-01-20,1.35,1.35,1.35,1.35,100,1.35
2017-01-19,1.33,1.43,1.33,1.43,13700,1.43
2017-01-18,1.33,1.45,1.30,1.35,24500,1.35
2017-01-17,1.35,1.41,1.26,1.35,11800,1.35
2017-01-16,1.28,1.28,1.22,1.22,4700,1.22
2017-01-13,1.37,1.41,1.21,1.38,24300,1.38
2017-01-12,1.41,1.41,1.40,1.40,2300,1.40
2017-01-11,1.42,1.44,1.41,1.41,30300,1.41
2017-01-10,1.37,1.41,1.32,1.41,3700,1.41
2017-01-09,1.44,1.45,1.44,1.45,5800,1.45
2017-01-06,1.41,1.44,1.35,1.44,4200,1.44
2017-01-05,1.44,1.45,1.40,1.40,4100,1.40
2017-01-04,1.40,1.44,1.40,1.43,4600,1.43
2017-01-03,1.41,1.42,1.40,1.41,5100,1.41
2016-12-30,1.48,1.50,1.48,1.50,5000,1.50
2016-12-29,1.44,1.50,1.44,1.50,8700,1.50
2016-12-28,1.50,1.50,1.49,1.49,8700,1.49
2016-12-23,1.44,1.50,1.44,1.50,7600,1.50
2016-12-22,1.48,1.48,1.48,1.48,1000,1.48
2016-12-21,1.50,1.50,1.50,1.50,19400,1.50
2016-12-20,1.32,1.49,1.32,1.40,13900,1.40
2016-12-19,1.46,1.46,1.40,1.40,2800,1.40
2016-12-16,1.50,1.50,1.50,1.50,000,1.50
2016-12-15,1.50,1.50,1.50,1.50,100,1.50
2016-12-14,1.48,1.50,1.43,1.43,4400,1.43
2016-12-13,1.50,1.50,1.48,1.48,16300,1.48
2016-12-12,1.48,1.48,1.48,1.48,2700,1.48
2016-12-09,1.46,1.50,1.46,1.48,7700,1.48
2016-12-08,1.46,1.46,1.44,1.44,1300,1.44
2016-12-07,1.45,1.50,1.45,1.50,49900,1.50
2016-12-06,1.48,1.48,1.45,1.45,8300,1.45
2016-12-05,1.49,1.50,1.48,1.50,31900,1.50
2016-12-02,1.49,1.50,1.46,1.46,11400,1.46
2016-12-01,1.50,1.50,1.50,1.50,000,1.50
2016-11-30,1.44,1.50,1.43,1.50,7100,1.50
2016-11-29,1.43,1.50,1.43,1.50,5500,1.50
2016-11-28,1.42,1.50,1.42,1.50,9700,1.50
2016-11-25,1.50,1.50,1.50,1.50,2300,1.50
2016-11-24,1.50,1.50,1.50,1.50,000,1.50
2016-11-23,1.50,1.50,1.50,1.50,3500,1.50
2016-11-22,1.50,1.50,1.50,1.50,1500,1.50
2016-11-21,1.49,1.50,1.49,1.50,3600,1.50
2016-11-18,1.41,1.50,1.41,1.50,12600,1.50
2016-11-17,1.44,1.44,1.43,1.43,9200,1.43
2016-11-16,1.38,1.43,1.38,1.43,4500,1.43
2016-11-15,1.38,1.44,1.32,1.32,11100,1.32
2016-11-14,1.46,1.48,1.40,1.42,2600,1.42
2016-11-11,1.45,1.45,1.36,1.36,11900,1.36
2016-11-10,1.40,1.49,1.40,1.49,4400,1.49
2016-11-09,1.50,1.50,1.50,1.50,000,1.50
2016-11-08,1.48,1.50,1.48,1.50,6400,1.50
2016-11-07,1.40,1.48,1.40,1.48,2000,1.48
2016-11-04,1.48,1.48,1.48,1.48,000,1.48
2016-11-03,1.48,1.48,1.48,1.48,200,1.48
2016-11-02,1.50,1.50,1.50,1.50,5000,1.50
2016-11-01,1.50,1.51,1.50,1.51,1300,1.51
2016-10-31,1.47,1.50,1.45,1.50,3000,1.50
2016-10-28,1.51,1.51,1.51,1.51,4600,1.51
2016-10-27,1.53,1.53,1.42,1.50,4500,1.50
2016-10-26,1.46,1.59,1.45,1.59,11000,1.59
2016-10-25,1.46,1.46,1.46,1.46,1000,1.46
2016-10-24,1.58,1.58,1.58,1.58,1800,1.58
2016-10-21,1.51,1.51,1.47,1.47,2200,1.47
2016-10-20,1.54,1.54,1.54,1.54,500,1.54
2016-10-19,1.45,1.45,1.45,1.45,1000,1.45
2016-10-18,1.47,1.47,1.47,1.47,100,1.47
2016-10-17,1.50,1.50,1.42,1.48,7900,1.48
2016-10-14,1.41,1.53,1.40,1.40,7900,1.40
2016-10-13,1.46,1.46,1.42,1.42,500,1.42
2016-10-12,1.49,1.49,1.40,1.40,5000,1.40
2016-10-11,1.44,1.47,1.44,1.45,6000,1.45
2016-10-07,1.42,1.42,1.42,1.42,4800,1.42
2016-10-06,1.48,1.48,1.41,1.41,15500,1.41
2016-10-05,1.54,1.54,1.49,1.49,8300,1.49
2016-10-04,1.52,1.52,1.51,1.51,5300,1.51
