Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2.80,2.85,2.74,2.76,1980700,2.76
2017-02-08,2.58,2.72,2.48,2.72,2943900,2.72
2017-02-07,2.67,2.67,2.59,2.60,1415900,2.60
2017-02-06,2.78,2.80,2.66,2.68,1251200,2.68
2017-02-03,2.83,2.85,2.78,2.78,557400,2.78
2017-02-02,2.83,2.87,2.78,2.82,691700,2.82
2017-02-01,2.86,2.91,2.80,2.81,1090600,2.81
2017-01-31,2.84,2.87,2.80,2.82,1612700,2.82
2017-01-30,3.01,3.03,2.82,2.82,2467600,2.82
2017-01-27,3.14,3.15,3.00,3.01,2656100,3.01
2017-01-26,3.22,3.27,3.11,3.14,1020600,3.134
2017-01-25,3.13,3.24,3.12,3.19,982200,3.183905
2017-01-24,3.08,3.19,3.08,3.16,1934000,3.153962
2017-01-23,3.16,3.16,3.04,3.04,1618000,3.034191
2017-01-20,3.17,3.23,3.17,3.18,753100,3.173924
2017-01-19,3.08,3.16,3.05,3.13,1040100,3.124019
2017-01-18,3.16,3.18,3.05,3.06,1033700,3.054153
2017-01-17,3.19,3.25,3.19,3.21,445600,3.203866
2017-01-16,3.20,3.20,3.15,3.16,234700,3.153962
2017-01-13,3.19,3.22,3.18,3.20,538000,3.193885
2017-01-12,3.24,3.24,3.20,3.21,859500,3.203866
2017-01-11,3.16,3.22,3.15,3.19,668800,3.183905
2017-01-10,3.18,3.23,3.12,3.14,712900,3.134
2017-01-09,3.29,3.29,3.17,3.17,657900,3.163943
2017-01-06,3.34,3.35,3.30,3.32,639300,3.313656
2017-01-05,3.35,3.35,3.32,3.35,899300,3.343599
2017-01-04,3.37,3.37,3.30,3.33,614600,3.323637
2017-01-03,3.37,3.45,3.32,3.37,894900,3.36356
2016-12-30,3.32,3.38,3.30,3.31,593700,3.303675
2016-12-29,3.31,3.34,3.29,3.32,685100,3.313656
2016-12-28,3.20,3.32,3.20,3.32,965900,3.313656
2016-12-23,3.15,3.18,3.15,3.16,867400,3.147973
2016-12-22,3.22,3.24,3.18,3.19,704900,3.177859
2016-12-21,3.15,3.25,3.15,3.21,961400,3.197783
2016-12-20,3.10,3.15,3.10,3.15,1047500,3.138011
2016-12-19,3.08,3.10,3.05,3.08,562200,3.068278
2016-12-16,3.02,3.09,3.00,3.08,2002200,3.068278
2016-12-15,2.95,3.02,2.93,2.99,1734800,2.97862
2016-12-14,2.99,3.01,2.95,2.95,2389300,2.938773
2016-12-13,3.04,3.04,2.92,3.01,1454600,2.998544
2016-12-12,3.08,3.14,2.96,2.97,2203400,2.958696
2016-12-09,2.92,2.94,2.91,2.94,673100,2.928811
2016-12-08,2.87,2.90,2.84,2.89,579800,2.879001
2016-12-07,2.86,2.90,2.83,2.84,950900,2.829191
2016-12-06,2.92,2.92,2.87,2.88,1006500,2.869039
2016-12-05,3.04,3.05,2.94,2.95,1187900,2.938773
2016-12-02,2.95,3.03,2.95,2.95,1063300,2.938773
2016-12-01,2.89,3.02,2.87,2.96,2749500,2.948734
2016-11-30,2.78,2.82,2.65,2.80,2855600,2.789343
2016-11-29,2.65,2.65,2.48,2.52,3329100,2.510409
2016-11-28,2.79,2.79,2.69,2.71,1221300,2.699686
2016-11-25,2.81,2.83,2.75,2.75,1028000,2.733557
2016-11-24,2.80,2.87,2.80,2.83,1309800,2.813078
2016-11-23,2.77,2.84,2.77,2.81,732100,2.793198
2016-11-22,2.81,2.83,2.77,2.82,993600,2.803138
2016-11-21,2.81,2.87,2.80,2.80,1008500,2.783258
2016-11-18,2.78,2.80,2.73,2.74,426800,2.723616
2016-11-17,2.81,2.84,2.76,2.77,867400,2.753437
2016-11-16,2.80,2.80,2.74,2.77,1236800,2.753437
2016-11-15,2.72,2.84,2.72,2.83,1358200,2.813078
2016-11-14,2.61,2.70,2.58,2.68,729600,2.663975
2016-11-11,2.77,2.77,2.60,2.63,972400,2.614274
2016-11-10,2.86,2.86,2.79,2.82,783600,2.803138
2016-11-09,2.60,2.84,2.60,2.84,1413800,2.823018
2016-11-08,2.66,2.68,2.61,2.64,575100,2.624214
2016-11-07,2.71,2.74,2.67,2.69,797500,2.673915
2016-11-04,2.64,2.69,2.61,2.65,678300,2.634155
2016-11-03,2.74,2.74,2.66,2.66,900300,2.644095
2016-11-02,2.74,2.76,2.70,2.73,788300,2.713676
2016-11-01,2.77,2.81,2.70,2.78,788100,2.763377
2016-10-31,2.78,2.80,2.72,2.74,858900,2.723616
2016-10-28,2.85,2.87,2.78,2.81,656800,2.793198
2016-10-27,2.87,2.93,2.85,2.85,972100,2.832959
2016-10-26,2.86,2.94,2.81,2.87,1478100,2.846875
2016-10-25,2.98,3.03,2.92,2.92,956500,2.896472
2016-10-24,3.00,3.07,2.96,2.98,1314300,2.955989
2016-10-21,3.02,3.08,3.01,3.03,1374500,3.005586
2016-10-20,3.04,3.09,3.03,3.05,728700,3.025424
2016-10-19,2.94,3.13,2.94,3.10,3358600,3.075022
2016-10-18,2.90,2.96,2.89,2.91,994900,2.886553
2016-10-17,2.90,2.90,2.83,2.85,1207500,2.827036
2016-10-14,2.92,2.92,2.86,2.92,838300,2.896472
2016-10-13,2.85,2.92,2.77,2.89,1420000,2.866714
2016-10-12,2.91,2.92,2.85,2.85,928900,2.827036
2016-10-11,2.90,2.95,2.87,2.95,1391100,2.92623
2016-10-07,2.91,2.91,2.81,2.83,1750800,2.807197
2016-10-06,2.85,2.95,2.85,2.91,1869400,2.886553
2016-10-05,2.72,2.84,2.72,2.80,1820100,2.777439
2016-10-04,2.73,2.74,2.62,2.66,1207900,2.638567
2016-10-03,2.76,2.76,2.67,2.72,603700,2.698084
2016-09-30,2.68,2.76,2.68,2.71,1084500,2.688164
2016-09-29,2.65,2.81,2.63,2.68,2016700,2.658406
2016-09-28,2.50,2.71,2.44,2.67,3205400,2.648486
2016-09-27,2.42,2.44,2.39,2.42,868200,2.394549
2016-09-26,2.48,2.51,2.45,2.45,468700,2.424234
2016-09-23,2.48,2.49,2.42,2.47,584500,2.444023
2016-09-22,2.55,2.56,2.49,2.49,925000,2.463813
2016-09-21,2.48,2.52,2.46,2.49,1057200,2.463813
2016-09-20,2.48,2.52,2.43,2.44,1084100,2.414339
2016-09-19,2.55,2.58,2.48,2.50,1136200,2.473708
2016-09-16,2.48,2.54,2.46,2.52,1610000,2.493497
2016-09-15,2.48,2.55,2.46,2.50,820400,2.473708
2016-09-14,2.44,2.56,2.43,2.46,969300,2.434129
2016-09-13,2.58,2.58,2.46,2.47,1006700,2.444023
2016-09-12,2.46,2.63,2.45,2.55,1486400,2.523182
2016-09-09,2.55,2.59,2.49,2.52,1405300,2.493497
2016-09-08,2.49,2.60,2.49,2.58,3430900,2.552866
2016-09-07,2.44,2.49,2.43,2.46,1692600,2.434129
2016-09-06,2.35,2.41,2.32,2.40,1168500,2.37476
2016-09-02,2.32,2.34,2.30,2.32,471400,2.295601
2016-09-01,2.29,2.32,2.26,2.28,593800,2.256021
2016-08-31,2.33,2.35,2.28,2.29,746400,2.265916
2016-08-30,2.37,2.39,2.34,2.34,479900,2.31539
2016-08-29,2.35,2.38,2.32,2.38,870000,2.35497
2016-08-26,2.40,2.42,2.36,2.37,1060200,2.339138
2016-08-25,2.37,2.40,2.35,2.40,510100,2.368747
2016-08-24,2.42,2.43,2.36,2.36,828900,2.329268
2016-08-23,2.43,2.45,2.40,2.44,1016800,2.408227
2016-08-22,2.47,2.48,2.42,2.43,567800,2.398357
2016-08-19,2.53,2.53,2.49,2.50,503000,2.467445
2016-08-18,2.50,2.55,2.50,2.54,1027100,2.506924
2016-08-17,2.48,2.51,2.44,2.47,1812600,2.437836
2016-08-16,2.50,2.50,2.47,2.49,543900,2.457575
2016-08-15,2.42,2.50,2.42,2.50,2043700,2.467445
2016-08-12,2.41,2.43,2.39,2.39,365000,2.358878
2016-08-11,2.41,2.45,2.39,2.41,1134700,2.378617
2016-08-10,2.42,2.44,2.38,2.40,766800,2.368747
2016-08-09,2.45,2.48,2.40,2.42,980300,2.388487
2016-08-08,2.41,2.47,2.41,2.43,1039800,2.398357
2016-08-05,2.42,2.42,2.30,2.37,982200,2.339138
2016-08-04,2.40,2.47,2.39,2.40,2040700,2.368747
2016-08-03,2.32,2.42,2.29,2.41,943700,2.378617
2016-08-02,2.30,2.32,2.28,2.32,571400,2.289789
2016-07-29,2.25,2.32,2.24,2.32,659500,2.289789
2016-07-28,2.24,2.26,2.22,2.26,559900,2.23057
2016-07-27,2.35,2.36,2.23,2.25,1159200,2.220701
2016-07-26,2.32,2.35,2.31,2.34,658700,2.303607
2016-07-25,2.39,2.40,2.31,2.34,1768900,2.303607
2016-07-22,2.41,2.43,2.34,2.42,1222500,2.382363
2016-07-21,2.40,2.46,2.36,2.36,1170900,2.323296
2016-07-20,2.36,2.40,2.32,2.40,896600,2.362674
2016-07-19,2.41,2.44,2.39,2.40,612900,2.362674
2016-07-18,2.40,2.45,2.40,2.43,571500,2.392207
2016-07-15,2.46,2.46,2.42,2.42,444800,2.382363
2016-07-14,2.45,2.47,2.44,2.45,702900,2.411896
2016-07-13,2.48,2.49,2.39,2.43,1245200,2.392207
2016-07-12,2.44,2.45,2.40,2.44,1368400,2.402052
2016-07-11,2.42,2.46,2.37,2.37,1065200,2.33314
2016-07-08,2.47,2.47,2.41,2.43,552500,2.392207
2016-07-07,2.50,2.52,2.40,2.43,1389400,2.392207
2016-07-06,2.43,2.51,2.40,2.46,1561200,2.421741
2016-07-05,2.50,2.52,2.44,2.45,1243500,2.411896
2016-07-04,2.59,2.60,2.54,2.56,664600,2.520185
2016-06-30,2.55,2.57,2.49,2.55,1268900,2.510341
2016-06-29,2.45,2.57,2.43,2.57,2566100,2.53003
2016-06-28,2.36,2.44,2.35,2.44,1868800,2.402052
2016-06-27,2.35,2.39,2.25,2.28,1529800,2.238633
2016-06-24,2.29,2.43,2.26,2.38,1828000,2.336819
2016-06-23,2.45,2.49,2.42,2.48,984000,2.435005
2016-06-22,2.48,2.50,2.38,2.41,1962100,2.366275
2016-06-21,2.45,2.46,2.41,2.45,543500,2.405549
2016-06-20,2.46,2.50,2.43,2.47,1333200,2.425186
2016-06-17,2.44,2.47,2.40,2.40,2213400,2.356456
2016-06-16,2.49,2.49,2.37,2.38,2681500,2.336819
2016-06-15,2.47,2.54,2.42,2.52,2838300,2.474279
2016-06-14,2.53,2.58,2.46,2.49,1875300,2.444823
2016-06-13,2.50,2.60,2.50,2.56,1278700,2.513553
2016-06-10,2.63,2.66,2.52,2.55,1560900,2.503735
2016-06-09,2.66,2.75,2.66,2.70,1996300,2.651013
2016-06-08,2.90,2.90,2.71,2.73,4773300,2.680469
2016-06-07,2.55,2.80,2.55,2.70,4763700,2.651013
2016-06-06,2.47,2.54,2.47,2.52,2607100,2.474279
2016-06-03,2.45,2.46,2.40,2.43,618300,2.385912
2016-06-02,2.38,2.45,2.36,2.45,1305700,2.405549
2016-06-01,2.45,2.50,2.40,2.40,2288600,2.356456
2016-05-31,2.40,2.52,2.40,2.52,4793100,2.474279
2016-05-30,2.40,2.43,2.40,2.40,407500,2.356456
2016-05-27,2.40,2.44,2.38,2.41,1468300,2.366275
2016-05-26,2.49,2.52,2.42,2.42,1218100,2.370202
2016-05-25,2.39,2.49,2.37,2.46,1684900,2.409379
2016-05-24,2.36,2.45,2.35,2.35,1031700,2.301642
2016-05-20,2.42,2.47,2.36,2.37,1587100,2.321231
2016-05-19,2.29,2.42,2.24,2.40,2701300,2.350614
