Date,Open,High,Low,Close,Volume,Adj Close
2017-02-02,40.360001,40.450001,40.150002,40.310001,96000,40.310001
2017-02-01,40.009998,40.720001,39.900002,40.41,121600,40.41
2017-01-31,40.209999,40.25,39.57,40.00,281300,40.00
2017-01-30,40.029999,40.389999,39.380001,40.240002,135500,40.240002
2017-01-27,40.279999,40.529999,39.970001,40.02,184700,40.02
2017-01-26,41.00,41.00,39.849998,40.110001,187200,40.110001
2017-01-25,39.049999,41.380001,39.00,41.00,219400,41.00
2017-01-24,39.099998,39.400002,38.82,39.209999,111300,39.209999
2017-01-23,38.68,39.169998,38.68,38.950001,118000,38.950001
2017-01-20,38.610001,38.919998,38.50,38.779999,135000,38.779999
2017-01-19,38.73,38.849998,38.509998,38.650002,138300,38.650002
2017-01-18,38.830002,39.09,38.50,38.849998,202600,38.849998
2017-01-17,39.299999,39.299999,38.650002,38.900002,463900,38.900002
2017-01-16,38.00,39.59,37.169998,39.50,705100,39.50
2017-01-13,42.18,42.919998,42.169998,42.689999,123100,42.689999
2017-01-12,42.549999,42.709999,42.00,42.299999,103500,42.299999
2017-01-11,42.970001,43.080002,42.389999,42.599998,157000,42.599998
2017-01-10,42.549999,42.91,42.380001,42.759998,93200,42.759998
2017-01-09,42.509998,42.799999,42.459999,42.50,61800,42.50
2017-01-06,42.849998,42.950001,42.220001,42.599998,95200,42.599998
2017-01-05,43.099998,43.119999,42.189999,42.740002,134500,42.740002
2017-01-04,43.599998,43.810001,43.099998,43.119999,81100,43.119999
2017-01-03,43.849998,43.869999,43.25,43.509998,63200,43.509998
2016-12-30,43.619999,43.799999,43.330002,43.580002,32300,43.580002
2016-12-29,43.27,43.57,43.150002,43.52,43200,43.52
2016-12-28,43.389999,43.790001,43.240002,43.419998,41700,43.419998
2016-12-23,44.150002,44.330002,43.330002,43.779999,76000,43.779999
2016-12-22,44.450001,44.580002,44.040001,44.150002,93200,44.150002
2016-12-21,43.66,44.720001,43.66,44.439999,129900,44.439999
2016-12-20,43.099998,43.830002,42.740002,43.599998,115400,43.599998
2016-12-19,42.650002,42.990002,42.049999,42.950001,151000,42.950001
2016-12-16,43.130001,43.130001,42.50,42.700001,121000,42.700001
2016-12-15,42.98,43.860001,42.799999,43.02,94200,43.02
2016-12-14,43.50,43.50,42.93,42.93,221900,42.93
2016-12-13,43.759998,43.880001,43.290001,43.450001,77500,43.450001
2016-12-12,43.610001,44.200001,43.610001,43.84,64600,43.84
2016-12-09,44.049999,44.32,43.310001,43.889999,78200,43.889999
2016-12-08,43.880001,44.50,43.139999,44.07,153100,44.07
2016-12-07,44.130001,44.32,42.810001,43.939999,139200,43.939999
2016-12-06,44.599998,44.599998,42.529999,44.049999,287300,44.049999
2016-12-05,44.529999,45.27,44.200001,44.740002,82600,44.740002
2016-12-02,45.040001,45.369999,44.799999,44.84,44200,44.84
2016-12-01,45.470001,45.68,44.900002,45.00,60800,45.00
2016-11-30,44.959999,45.360001,44.50,45.130001,62000,45.130001
2016-11-29,46.00,46.150002,44.700001,44.77,125300,44.670001
2016-11-28,45.330002,46.130001,45.299999,46.130001,154200,46.026964
2016-11-25,44.709999,45.50,44.709999,45.400002,79100,45.298595
2016-11-24,45.310001,45.50,45.029999,45.16,32200,45.059129
2016-11-23,45.259998,45.68,45.029999,45.259998,78800,45.158904
2016-11-22,44.380001,45.290001,44.25,45.259998,84800,45.158904
2016-11-21,43.75,44.299999,43.740002,44.080002,68900,43.981544
2016-11-18,43.650002,43.799999,43.18,43.740002,57700,43.642303
2016-11-17,43.25,43.830002,43.169998,43.619999,89500,43.522568
2016-11-16,43.66,43.66,42.799999,43.259998,100700,43.163372
2016-11-15,43.98,44.52,43.360001,43.75,124400,43.652279
2016-11-14,42.00,43.610001,41.849998,43.48,182800,43.382882
2016-11-11,42.889999,43.040001,41.77,41.830002,144400,41.736569
2016-11-10,42.919998,44.50,42.509998,42.580002,217600,42.484894
2016-11-09,43.880001,44.139999,42.380001,43.009998,361700,42.91393
2016-11-08,45.950001,46.049999,44.32,44.369999,352800,44.270893
2016-11-07,47.709999,48.279999,47.50,47.98,67200,47.87283
2016-11-04,49.130001,49.279999,47.259998,47.490002,177100,47.383927
2016-11-03,49.009998,49.41,49.00,49.279999,224200,49.169926
2016-11-02,48.790001,49.32,48.759998,49.23,181800,49.120038
2016-11-01,47.720001,48.959999,47.720001,48.82,168400,48.710954
2016-10-31,47.50,47.759998,47.450001,47.599998,89900,47.493678
2016-10-28,47.360001,47.57,47.200001,47.50,48600,47.393903
2016-10-27,47.00,47.50,46.799999,47.299999,119400,47.194349
2016-10-26,46.00,46.959999,46.00,46.84,79400,46.735377
2016-10-25,46.41,46.41,45.810001,46.00,83700,45.897253
2016-10-24,46.240002,46.459999,46.150002,46.299999,74500,46.196582
2016-10-21,45.639999,46.169998,45.639999,46.040001,65500,45.937165
2016-10-20,45.50,45.73,45.060001,45.610001,83600,45.508125
2016-10-19,45.299999,45.68,44.919998,45.48,93100,45.378414
2016-10-18,44.849998,45.369999,44.849998,45.209999,77000,45.109017
2016-10-17,44.799999,44.880001,44.66,44.860001,37800,44.7598
2016-10-14,44.040001,45.16,44.040001,44.799999,79100,44.699933
2016-10-13,44.110001,44.169998,43.619999,43.830002,63900,43.732102
2016-10-12,44.669998,44.689999,44.169998,44.259998,64400,44.161138
2016-10-11,44.139999,44.73,44.139999,44.59,70100,44.490403
2016-10-07,44.049999,44.279999,43.84,44.110001,121000,44.011475
2016-10-06,43.740002,44.189999,43.299999,44.119999,104400,44.021451
2016-10-05,44.650002,44.75,43.639999,43.700001,101000,43.602391
2016-10-04,45.049999,45.43,44.00,44.459999,73500,44.360692
2016-10-03,45.34,45.48,44.50,45.09,98500,44.989286
2016-09-30,46.00,46.00,45.060001,45.509998,90500,45.408346
2016-09-29,46.240002,46.27,45.720001,45.939999,36500,45.837386
2016-09-28,44.990002,46.360001,44.990002,46.27,144500,46.166651
2016-09-27,45.25,45.43,44.84,45.110001,79900,45.009242
2016-09-26,45.919998,46.169998,45.23,45.389999,117600,45.288615
2016-09-23,46.080002,46.349998,45.91,45.990002,45300,45.887277
2016-09-22,46.310001,46.540001,46.00,46.25,74800,46.146695
2016-09-21,46.040001,46.139999,45.50,46.080002,48400,45.977076
2016-09-20,46.169998,46.290001,45.439999,45.950001,88600,45.847366
2016-09-19,44.68,46.200001,44.389999,46.029999,221100,45.927185
2016-09-16,44.950001,44.950001,43.720001,43.889999,160100,43.791966
2016-09-15,43.950001,44.919998,43.950001,44.82,322700,44.719889
2016-09-14,44.009998,44.459999,43.970001,44.049999,116000,43.951608
2016-09-13,44.060001,44.189999,43.950001,44.029999,107400,43.931652
2016-09-12,43.259998,44.259998,43.150002,44.220001,79900,44.12123
2016-09-09,43.709999,43.73,43.049999,43.360001,100700,43.263151
2016-09-08,43.84,44.27,43.299999,43.709999,66900,43.612367
2016-09-07,44.459999,44.459999,43.75,43.900002,109000,43.801945
2016-09-06,45.189999,45.200001,44.16,44.470001,81900,44.370672
2016-09-02,45.540001,45.610001,44.68,45.080002,123300,44.97931
2016-09-01,44.50,46.16,44.50,45.639999,163200,45.538057
2016-08-31,44.360001,44.77,44.200001,44.459999,135400,44.360692
2016-08-30,42.990002,44.310001,42.849998,44.25,167900,44.051385
2016-08-29,42.93,43.00,42.549999,42.869999,131800,42.677578
2016-08-26,43.77,43.950001,42.529999,42.799999,139200,42.607893
2016-08-25,43.990002,43.990002,43.099998,43.740002,116600,43.543676
2016-08-24,44.16,44.189999,43.330002,43.700001,122200,43.503855
