Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,28.15,28.27,28.03,28.05,602200,27.65708
2017-02-08,28.25,28.35,28.06,28.17,762200,27.7754
2017-02-07,28.14,28.315,28.10,28.26,856000,27.86414
2017-02-06,28.11,28.23,28.00,28.13,526700,27.73596
2017-02-03,28.05,28.17,27.95,28.16,533100,27.76554
2017-02-02,28.02,28.14,27.845,27.95,684400,27.55848
2017-02-01,28.14,28.17,27.99,28.04,624500,27.64722
2017-01-31,28.20,28.28,27.99,28.07,723400,27.6768
2017-01-30,28.39,28.39,28.12,28.27,607600,27.874
2017-01-27,28.28,28.42,28.23,28.37,625700,27.9726
2017-01-26,28.00,28.26,27.96,28.25,546800,27.85428
2017-01-25,27.91,27.99,27.80,27.99,652200,27.59792
2017-01-24,27.63,27.90,27.45,27.83,696600,27.44016
2017-01-23,27.74,27.78,27.45,27.65,583300,27.26268
2017-01-20,27.86,28.02,27.70,27.79,1002100,27.40072
2017-01-19,27.69,27.95,27.69,27.83,565300,27.44016
2017-01-18,27.81,27.87,27.63,27.70,551900,27.31198
2017-01-17,27.85,28.02,27.67,27.81,1007400,27.42044
2017-01-16,27.83,28.05,27.83,27.91,461900,27.51904
2017-01-13,27.68,28.02,27.61,27.89,599300,27.49932
2017-01-12,27.44,27.80,27.33,27.66,983700,27.27254
2017-01-11,27.91,28.21,27.85,28.19,877700,27.79512
2017-01-10,27.76,28.24,27.75,27.94,1332600,27.45126
2017-01-09,27.53,27.94,27.25,27.77,1043400,27.28423
2017-01-06,27.31,27.33,27.05,27.26,983100,26.78315
2017-01-05,27.39,27.46,27.31,27.33,800100,26.85193
2017-01-04,27.10,27.465,27.07,27.39,617400,26.91088
2017-01-03,27.00,27.10,26.91,27.10,567600,26.62595
2017-01-02,26.94,26.94,26.94,26.94,000,26.46875
2016-12-30,27.09,27.09,26.85,26.94,403700,26.46875
2016-12-29,26.99,27.07,26.98,27.06,218900,26.58665
2016-12-28,26.94,27.08,26.80,27.00,680300,26.5277
2016-12-27,26.98,26.98,26.98,26.98,000,26.50805
2016-12-26,26.98,26.98,26.98,26.98,000,26.50805
2016-12-23,27.08,27.10,26.91,26.98,419700,26.50805
2016-12-22,26.79,27.09,26.69,27.07,1020100,26.59647
2016-12-21,27.00,27.05,26.58,26.72,986800,26.2526
2016-12-20,27.08,27.32,27.02,27.20,1368700,26.7242
2016-12-19,27.00,27.19,27.00,27.04,582900,26.567
2016-12-16,27.20,27.20,26.86,27.01,4896700,26.53752
2016-12-15,26.97,27.29,26.97,27.01,888700,26.53752
2016-12-14,27.10,27.18,26.99,26.99,899200,26.51787
2016-12-13,26.88,27.17,26.88,27.13,719100,26.65542
2016-12-12,26.57,27.05,26.45,26.95,782700,26.38155
2016-12-09,26.60,26.67,26.50,26.66,1465700,26.09767
2016-12-08,26.49,26.745,26.48,26.58,527400,26.01935
2016-12-07,26.20,26.61,26.13,26.55,880300,25.98999
2016-12-06,26.06,26.32,26.00,26.21,566500,25.65716
2016-12-05,26.10,26.13,25.97,26.00,771000,25.45159
2016-12-02,26.22,26.24,25.99,26.10,627500,25.54948
2016-12-01,26.35,26.55,26.165,26.18,683900,25.62779
2016-11-30,26.51,26.57,26.105,26.29,1571400,25.73547
2016-11-29,26.29,26.63,26.29,26.54,562900,25.9802
2016-11-28,26.38,26.445,26.23,26.30,798200,25.74526
2016-11-25,26.26,26.55,26.26,26.46,389300,25.90188
2016-11-24,26.35,26.49,26.20,26.27,227600,25.71589
2016-11-23,26.32,26.43,26.305,26.31,369700,25.75505
