Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,51.900002,52.290001,51.700001,52.110001,1654900,52.110001
2017-01-24,51.66,51.77,51.310001,51.599998,1248700,51.599998
2017-01-23,52.75,52.849998,51.639999,51.66,1444100,51.66
2017-01-20,52.689999,53.25,52.560001,52.880001,1544500,52.880001
2017-01-19,52.799999,52.98,52.389999,52.529999,1005000,52.529999
2017-01-18,52.529999,52.82,52.349998,52.669998,1079400,52.669998
2017-01-17,52.369999,52.98,52.150002,52.529999,980200,52.529999
2017-01-16,52.50,52.869999,52.50,52.509998,816400,52.509998
2017-01-13,51.650002,52.66,51.549999,52.599998,1479600,52.599998
2017-01-12,52.00,52.00,51.220001,51.48,1113100,51.48
2017-01-11,51.75,52.310001,51.599998,52.25,1131900,52.25
2017-01-10,51.400002,51.830002,51.049999,51.639999,1583100,51.639999
2017-01-09,52.00,52.009998,51.400002,51.459999,720300,51.459999
2017-01-06,52.32,52.419998,51.959999,52.220001,757800,52.220001
2017-01-05,52.299999,52.619999,51.919998,52.240002,780700,52.240002
2017-01-04,52.119999,52.509998,51.93,52.380001,692700,52.380001
2017-01-03,52.00,52.389999,51.759998,52.099998,1013200,52.099998
2016-12-30,51.50,51.810001,51.380001,51.549999,919700,51.549999
2016-12-29,51.41,51.639999,51.23,51.48,489500,51.48
2016-12-28,51.610001,51.810001,51.209999,51.419998,912800,51.419998
2016-12-23,51.98,51.98,51.540001,51.689999,783400,51.689999
2016-12-22,52.279999,52.34,51.900002,52.150002,569500,52.150002
2016-12-21,52.439999,52.630001,52.189999,52.380001,510300,52.380001
2016-12-20,51.700001,52.740002,51.549999,52.470001,939000,52.470001
2016-12-19,51.470001,51.889999,51.220001,51.41,814500,51.41
2016-12-16,52.41,52.490002,51.540001,51.549999,4409000,51.549999
2016-12-15,51.259998,52.48,51.220001,52.119999,1464800,52.119999
2016-12-14,51.23,51.740002,50.91,51.240002,1363600,51.240002
2016-12-13,51.68,51.900002,51.25,51.619999,1058700,51.619999
2016-12-12,51.849998,51.959999,51.400002,51.50,793900,51.50
2016-12-09,51.720001,52.060001,51.599998,51.990002,968400,51.990002
2016-12-08,51.82,52.040001,51.34,51.740002,1062300,51.740002
2016-12-07,51.41,51.77,50.91,51.689999,1019900,51.689999
2016-12-06,51.400002,51.57,51.099998,51.41,1358800,51.41
2016-12-05,52.049999,52.299999,51.439999,51.540001,951700,51.540001
2016-12-02,52.43,52.43,51.66,51.869999,965100,51.869999
2016-12-01,51.98,52.77,51.599998,52.560001,1605600,52.560001
2016-11-30,51.560001,52.07,51.389999,51.580002,1626800,51.580002
2016-11-29,51.830002,52.09,51.41,51.43,1261700,51.43
2016-11-28,53.009998,53.220001,51.540001,51.669998,1391100,51.669998
2016-11-25,53.41,53.75,53.139999,53.490002,904500,53.07
2016-11-24,53.290001,53.630001,53.119999,53.380001,470600,52.960864
2016-11-23,53.009998,53.48,52.990002,53.34,858600,52.921177
2016-11-22,52.689999,53.529999,52.599998,53.02,1050300,52.60369
2016-11-21,51.900002,52.919998,51.709999,52.73,1092200,52.315966
2016-11-18,51.459999,52.209999,51.25,51.990002,827600,51.581778
2016-11-17,50.73,51.75,50.310001,51.560001,1876500,51.155154
2016-11-16,51.110001,51.439999,50.869999,51.00,1484600,50.59955
2016-11-15,51.990002,52.040001,51.400002,51.529999,1476400,51.125387
2016-11-14,50.50,52.389999,50.50,52.040001,2183100,51.631385
2016-11-11,50.290001,50.790001,49.869999,50.740002,1520800,50.341593
2016-11-10,48.25,51.439999,48.139999,50.900002,3290100,50.500337
2016-11-09,45.150002,46.619999,45.150002,46.349998,1936300,45.98606
2016-11-08,45.18,45.48,44.970001,45.119999,917100,44.765719
2016-11-07,45.02,45.220001,44.73,45.189999,688300,44.835169
2016-11-04,44.689999,44.689999,44.139999,44.32,605300,43.972001
2016-11-03,44.549999,45.169998,44.419998,44.610001,796300,44.259725
2016-11-02,44.470001,44.990002,44.380001,44.459999,845600,44.110901
