Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,29.83,29.83,28.57,28.940001,1169000,28.940001
2017-02-08,30.110001,30.32,29.799999,30.01,1038800,30.01
2017-02-07,29.60,30.15,29.469999,29.860001,1060000,29.860001
2017-02-06,29.35,29.709999,28.889999,29.700001,1805300,29.700001
2017-02-03,28.90,29.16,28.75,28.92,1508300,28.92
2017-02-02,29.25,29.49,28.82,28.91,1937600,28.91
2017-02-01,28.73,28.940001,28.34,28.870001,926400,28.870001
2017-01-31,28.43,29.120001,28.34,28.77,1342100,28.77
2017-01-30,28.25,28.35,27.690001,27.85,716800,27.85
2017-01-27,27.35,28.23,27.309999,28.15,1095200,28.15
2017-01-26,27.780001,28.00,27.379999,27.440001,1265900,27.440001
2017-01-25,28.280001,28.440001,27.950001,28.360001,1101500,28.360001
2017-01-24,28.99,29.18,28.450001,28.780001,1754600,28.780001
2017-01-23,28.690001,29.040001,28.469999,29.030001,1222400,29.030001
2017-01-20,27.969999,28.559999,27.82,28.309999,1887100,28.309999
2017-01-19,27.049999,27.969999,27.030001,27.77,1295400,27.77
2017-01-18,27.129999,27.92,26.98,27.280001,1766900,27.280001
2017-01-17,27.48,27.58,26.860001,27.129999,1583400,27.129999
2017-01-16,27.049999,27.200001,26.799999,26.959999,221400,26.959999
2017-01-13,26.290001,26.940001,25.879999,26.889999,1043400,26.889999
2017-01-12,27.17,27.200001,26.139999,26.370001,1518500,26.370001
2017-01-11,26.799999,26.98,26.01,26.75,1358400,26.75
2017-01-10,26.85,27.42,26.48,26.99,1150900,26.99
2017-01-09,27.50,27.52,26.620001,26.77,1165400,26.77
2017-01-06,27.219999,27.559999,26.34,26.85,1434300,26.85
2017-01-05,27.16,27.809999,27.01,27.719999,1814700,27.719999
2017-01-04,26.860001,26.870001,25.98,26.52,1403400,26.52
2017-01-03,26.049999,26.67,25.889999,26.620001,1360100,26.620001
2016-12-30,27.35,28.07,25.90,25.940001,1686000,25.940001
