Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,4.80,4.93,4.80,4.88,1330500,4.88
2017-02-09,4.99,5.00,4.82,4.86,1235400,4.86
2017-02-08,5.07,5.16,4.94,4.95,2117600,4.95
2017-02-07,5.05,5.24,4.99,5.00,1728700,5.00
2017-02-06,4.87,5.12,4.82,5.09,2621700,5.09
2017-02-03,4.81,4.84,4.76,4.80,1146900,4.80
2017-02-02,4.79,4.95,4.77,4.82,2403100,4.82
2017-02-01,4.77,4.92,4.74,4.88,1258100,4.88
2017-01-31,4.90,4.96,4.83,4.85,1289100,4.85
2017-01-30,4.90,4.98,4.80,4.83,972000,4.83
2017-01-27,4.75,4.89,4.73,4.88,660100,4.88
2017-01-26,4.68,4.80,4.60,4.75,850100,4.75
2017-01-25,4.73,4.82,4.73,4.82,896000,4.82
2017-01-24,4.95,4.98,4.82,4.84,1694100,4.84
2017-01-23,4.96,5.00,4.89,4.97,1156700,4.97
2017-01-20,4.83,4.99,4.77,4.90,939100,4.90
2017-01-19,4.79,4.87,4.70,4.83,951500,4.83
2017-01-18,4.91,4.93,4.78,4.83,1264200,4.83
2017-01-17,5.03,5.07,4.88,4.91,1196400,4.91
2017-01-16,4.93,4.93,4.85,4.92,274200,4.92
2017-01-13,4.84,4.92,4.74,4.87,1462700,4.87
2017-01-12,4.86,4.89,4.67,4.75,2136500,4.75
2017-01-11,4.81,4.86,4.64,4.76,2577100,4.76
2017-01-10,4.82,4.93,4.77,4.85,1520400,4.85
2017-01-09,4.82,4.90,4.70,4.75,2327900,4.75
2017-01-06,4.83,4.99,4.61,4.69,2322100,4.69
2017-01-05,4.67,5.04,4.67,4.99,2764600,4.99
2017-01-04,4.69,4.69,4.48,4.54,1717100,4.54
2017-01-03,4.45,4.67,4.40,4.65,2051700,4.65
2016-12-30,4.59,4.72,4.38,4.42,2043300,4.42
2016-12-29,4.26,4.60,4.23,4.58,2603100,4.58
2016-12-28,4.00,4.24,3.93,4.22,1641400,4.22
2016-12-23,3.84,4.00,3.84,3.95,807400,3.95
