Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,2.31,2.32,2.30,2.30,2800,2.30
2017-01-26,2.25,2.31,2.17,2.30,113100,2.30
2017-01-25,2.30,2.30,2.28,2.30,10100,2.30
2017-01-24,2.35,2.40,2.25,2.40,37400,2.40
2017-01-23,2.21,2.73,2.21,2.35,14000,2.35
2017-01-20,2.15,2.16,2.10,2.16,2100,2.16
2017-01-19,2.15,2.20,2.10,2.20,8600,2.20
2017-01-18,2.05,2.17,2.05,2.10,58200,2.10
2017-01-17,2.07,2.07,2.05,2.05,13700,2.05
2017-01-16,2.05,2.05,2.05,2.05,6100,2.05
2017-01-13,2.02,2.07,2.01,2.05,9300,2.05
2017-01-12,2.04,2.05,2.04,2.04,25100,2.04
2017-01-11,2.03,2.04,2.00,2.02,14700,2.02
2017-01-10,1.98,2.00,1.97,2.00,5500,2.00
2017-01-09,1.97,1.98,1.95,1.98,6300,1.98
2017-01-06,1.99,1.99,1.98,1.98,400,1.98
2017-01-05,1.99,2.00,1.95,1.96,23100,1.96
2017-01-04,1.96,1.96,1.95,1.96,80700,1.96
2017-01-03,2.00,2.00,1.95,1.95,100100,1.95
2016-12-30,2.06,2.06,2.06,2.06,100,2.06
2016-12-29,2.00,2.06,1.98,1.98,30300,1.98
2016-12-28,2.00,2.00,1.98,1.98,3000,1.98
2016-12-23,2.01,2.01,1.99,1.99,2900,1.99
2016-12-22,1.99,1.99,1.99,1.99,000,1.99
2016-12-21,2.01,2.05,1.97,1.99,27100,1.99
2016-12-20,2.10,2.10,2.07,2.09,23700,2.09
2016-12-19,1.95,2.10,1.95,2.10,66400,2.10
2016-12-16,1.96,1.98,1.95,1.95,162100,1.95
2016-12-15,2.08,2.08,2.02,2.02,14700,2.02
2016-12-14,2.05,2.07,2.05,2.05,6400,2.05
2016-12-13,2.05,2.05,2.05,2.05,71200,2.05
2016-12-12,1.90,2.08,1.90,2.08,24800,2.08
2016-12-09,2.04,2.04,1.90,1.90,6400,1.90
2016-12-08,1.95,2.05,1.95,2.05,4900,2.05
2016-12-07,2.01,2.02,1.95,1.95,7700,1.95
2016-12-06,2.04,2.04,2.04,2.04,200,2.04
2016-12-05,2.07,2.07,2.07,2.07,300,2.07
2016-12-02,2.31,2.31,2.00,2.00,21000,2.00
2016-12-01,2.20,2.35,2.00,2.02,38400,2.02
2016-11-30,1.90,1.90,1.83,1.83,400,1.83
2016-11-29,1.90,1.95,1.90,1.95,200,1.95
2016-11-28,1.95,1.95,1.90,1.90,7200,1.90
2016-11-25,1.84,1.93,1.84,1.93,4100,1.93
2016-11-24,1.83,1.83,1.83,1.83,000,1.83
2016-11-23,1.87,1.88,1.80,1.83,7100,1.83
2016-11-22,1.93,1.94,1.92,1.94,1000,1.94
2016-11-21,1.89,1.89,1.86,1.86,2300,1.86
2016-11-18,1.88,1.88,1.80,1.80,63400,1.80
2016-11-17,1.90,1.97,1.90,1.94,400,1.94
2016-11-16,1.94,1.95,1.90,1.90,1100,1.90
2016-11-15,1.80,1.80,1.80,1.80,6800,1.80
2016-11-14,1.90,1.95,1.80,1.80,18100,1.80
2016-11-11,1.95,1.96,1.95,1.95,2700,1.95
2016-11-10,1.89,1.98,1.89,1.95,29100,1.95
2016-11-09,1.80,1.80,1.80,1.80,000,1.80
2016-11-08,1.84,1.84,1.80,1.80,6800,1.80
2016-11-07,1.80,1.84,1.80,1.84,4100,1.84
2016-11-04,1.78,1.80,1.78,1.80,5600,1.80
2016-11-03,1.81,1.81,1.80,1.80,1800,1.80
2016-11-02,1.84,1.84,1.84,1.84,200,1.84
2016-11-01,1.82,1.85,1.76,1.76,13000,1.76
2016-10-31,1.82,1.82,1.82,1.82,1000,1.82
2016-10-28,1.82,1.82,1.82,1.82,000,1.82
2016-10-27,1.83,1.83,1.82,1.82,300,1.82
2016-10-26,1.84,1.84,1.83,1.84,2100,1.84
2016-10-25,1.74,1.74,1.74,1.74,000,1.74
2016-10-24,1.80,1.80,1.74,1.74,7700,1.74
2016-10-21,1.84,1.84,1.84,1.84,000,1.84
2016-10-20,1.84,1.84,1.84,1.84,300,1.84
2016-10-19,1.85,1.85,1.85,1.85,200,1.85
2016-10-18,1.85,1.85,1.85,1.85,100,1.85
2016-10-17,1.92,1.92,1.92,1.92,1000,1.92
2016-10-14,1.95,1.95,1.95,1.95,000,1.95
2016-10-13,1.95,1.95,1.95,1.95,2800,1.95
2016-10-12,2.00,2.05,1.90,2.05,20100,2.05
2016-10-11,1.90,1.90,1.90,1.90,900,1.90
2016-10-07,1.80,1.85,1.80,1.80,13800,1.80
2016-10-06,1.70,1.84,1.70,1.77,8300,1.77
2016-10-05,1.76,1.87,1.70,1.70,66800,1.70
2016-10-04,1.79,1.80,1.70,1.70,17800,1.70
2016-10-03,1.79,1.93,1.78,1.91,4400,1.91
2016-09-30,1.90,2.00,1.85,1.95,5000,1.95
2016-09-29,1.96,1.96,1.88,1.90,12300,1.90
2016-09-28,1.99,2.05,1.96,1.96,11600,1.96
2016-09-27,1.90,1.99,1.90,1.99,6600,1.99
2016-09-26,2.04,2.04,1.90,1.90,13400,1.90
2016-09-23,2.05,2.05,1.95,2.05,4800,2.05
2016-09-22,2.00,2.09,2.00,2.06,26300,2.06
2016-09-21,1.95,2.00,1.95,2.00,9500,2.00
2016-09-20,1.96,1.96,1.95,1.95,300,1.95
2016-09-19,2.05,2.05,1.98,2.02,6000,2.02
2016-09-16,2.05,2.05,2.05,2.05,000,2.05
2016-09-15,1.97,2.05,1.97,2.05,2100,2.05
2016-09-14,1.98,2.00,1.95,1.95,8000,1.95
2016-09-13,1.98,2.00,1.90,2.00,16900,2.00
2016-09-12,1.79,2.02,1.78,2.02,4900,2.02
2016-09-09,2.11,2.11,2.05,2.05,3100,2.05
2016-09-08,1.95,2.10,1.95,2.10,21400,2.10
2016-09-07,2.08,2.08,2.00,2.05,6600,2.05
2016-09-06,2.14,2.14,2.02,2.06,30700,2.06
2016-09-02,2.14,2.14,2.00,2.02,20400,2.02
2016-09-01,1.82,1.95,1.82,1.95,700,1.95
2016-08-31,1.88,2.08,1.88,1.95,21800,1.95
2016-08-30,2.00,2.01,1.90,2.00,65600,2.00
2016-08-29,2.00,2.00,1.90,1.96,16500,1.96
2016-08-26,1.96,2.00,1.90,2.00,14300,2.00
2016-08-25,2.00,2.00,1.78,1.80,24200,1.80
2016-08-24,2.03,2.04,1.81,1.81,78000,1.81
2016-08-23,2.02,2.04,2.00,2.02,34800,2.02
2016-08-22,2.14,2.14,1.96,1.98,11600,1.98
2016-08-19,2.10,2.10,2.00,2.07,60600,2.07
2016-08-18,2.11,2.14,2.02,2.11,27600,2.11
2016-08-17,1.85,2.19,1.75,2.06,80100,2.06
2016-08-16,1.78,1.85,1.73,1.85,23900,1.85
2016-08-15,1.76,1.81,1.76,1.78,3000,1.78
2016-08-12,1.80,1.80,1.80,1.80,5000,1.80
2016-08-11,1.80,1.80,1.72,1.80,59800,1.80
2016-08-10,1.78,1.80,1.78,1.80,14000,1.80
2016-08-09,1.75,1.80,1.71,1.79,66200,1.79
2016-08-08,1.75,1.75,1.65,1.75,7600,1.75
2016-08-05,1.63,1.70,1.63,1.70,3000,1.70
2016-08-04,1.70,1.70,1.60,1.70,11000,1.70
2016-08-03,1.67,1.70,1.57,1.70,16100,1.70
2016-08-02,1.62,1.65,1.60,1.65,31300,1.65
2016-07-29,1.63,1.63,1.51,1.55,17900,1.55
2016-07-28,1.65,1.65,1.49,1.58,32200,1.58
2016-07-27,1.45,1.49,1.45,1.45,1600,1.45
2016-07-26,1.50,1.50,1.45,1.45,1300,1.45
2016-07-25,1.45,1.46,1.43,1.45,8400,1.45
2016-07-22,1.48,1.48,1.48,1.48,1100,1.48
2016-07-21,1.43,1.48,1.40,1.42,12200,1.42
2016-07-20,1.55,1.55,1.43,1.43,24700,1.43
2016-07-19,1.63,1.64,1.55,1.60,12800,1.60
2016-07-18,1.63,1.63,1.61,1.61,500,1.61
2016-07-15,1.55,1.60,1.53,1.56,18300,1.56
2016-07-14,1.51,1.54,1.45,1.53,53100,1.53
2016-07-13,1.50,1.55,1.50,1.55,55800,1.55
2016-07-12,1.50,1.57,1.50,1.57,103600,1.57
2016-07-11,1.36,1.55,1.34,1.50,58100,1.50
2016-07-08,1.36,1.36,1.33,1.33,700,1.33
2016-07-07,1.37,1.37,1.30,1.33,24900,1.33
2016-07-06,1.36,1.36,1.28,1.30,99600,1.30
2016-07-05,1.38,1.38,1.29,1.30,62600,1.30
2016-07-04,1.32,1.39,1.31,1.36,19900,1.36
2016-06-30,1.32,1.37,1.30,1.31,34600,1.31
2016-06-29,1.31,1.32,1.30,1.30,109500,1.30
2016-06-28,1.25,1.29,1.25,1.25,1200,1.25
2016-06-27,1.30,1.30,1.21,1.26,21600,1.26
2016-06-24,1.37,1.38,1.25,1.28,47600,1.28
2016-06-23,1.29,1.34,1.29,1.30,25500,1.30
2016-06-22,1.30,1.31,1.27,1.29,72300,1.29
2016-06-21,1.31,1.31,1.26,1.29,12800,1.29
2016-06-20,1.40,1.40,1.28,1.30,50400,1.30
2016-06-17,1.60,1.60,1.30,1.30,117600,1.30
2016-06-16,1.69,1.70,1.55,1.55,65100,1.55
2016-06-15,1.70,1.70,1.65,1.65,23100,1.65
2016-06-14,1.70,1.70,1.65,1.70,6300,1.70
2016-06-13,1.70,1.70,1.70,1.70,3600,1.70
2016-06-10,1.65,1.75,1.65,1.70,80900,1.70
2016-06-09,1.60,1.65,1.58,1.65,16600,1.65
2016-06-08,1.61,1.65,1.57,1.61,13600,1.61
2016-06-07,1.45,1.50,1.45,1.50,1000,1.50
2016-06-06,1.51,1.65,1.51,1.57,26700,1.57
2016-06-03,1.51,1.51,1.41,1.42,7200,1.42
2016-06-02,1.43,1.50,1.43,1.48,2500,1.48
2016-06-01,1.43,1.43,1.43,1.43,1800,1.43
2016-05-31,1.40,1.43,1.40,1.43,22500,1.43
2016-05-30,1.41,1.41,1.41,1.41,000,1.41
2016-05-27,1.41,1.41,1.41,1.41,000,1.41
2016-05-26,1.40,1.41,1.40,1.41,5100,1.41
2016-05-25,1.54,1.54,1.37,1.37,9000,1.37
2016-05-24,1.67,1.67,1.47,1.47,8200,1.47
2016-05-20,1.64,1.64,1.64,1.64,1000,1.64
2016-05-19,1.38,1.38,1.38,1.38,1000,1.38
2016-05-18,1.64,1.80,1.57,1.75,54200,1.75
2016-05-17,1.32,1.65,1.30,1.65,22200,1.65
2016-05-16,1.26,1.32,1.26,1.32,6500,1.32
2016-05-13,1.29,1.32,1.25,1.32,3000,1.32
2016-05-12,1.30,1.31,1.30,1.30,7600,1.30
2016-05-11,1.35,1.35,1.29,1.29,5000,1.29
2016-05-10,1.32,1.32,1.32,1.32,000,1.32
2016-05-09,1.39,1.39,1.26,1.32,11600,1.32
2016-05-06,1.30,1.38,1.29,1.38,5700,1.38
2016-05-05,1.26,1.42,1.20,1.32,24300,1.32
2016-05-04,1.37,1.37,1.15,1.23,37400,1.23
2016-05-03,1.44,1.44,1.37,1.37,8700,1.37
2016-05-02,1.45,1.50,1.40,1.40,109300,1.40
2016-04-29,1.53,1.54,1.40,1.44,64300,1.44
2016-04-28,1.67,1.70,1.40,1.45,40600,1.45
2016-04-27,1.73,1.73,1.61,1.67,38900,1.67
2016-04-26,1.77,1.78,1.73,1.75,10800,1.75
2016-04-25,1.74,1.79,1.74,1.79,4700,1.79
2016-04-22,1.70,1.75,1.64,1.74,9400,1.74
2016-04-21,1.80,1.80,1.70,1.70,78800,1.70
2016-04-20,1.55,1.80,1.55,1.75,120000,1.75
2016-04-19,1.53,1.63,1.51,1.60,87100,1.60
2016-04-18,1.61,1.61,1.52,1.58,48000,1.58
2016-04-15,1.63,1.63,1.52,1.52,9400,1.52
2016-04-14,1.63,1.63,1.62,1.62,42600,1.62
2016-04-13,1.55,1.68,1.52,1.64,54700,1.64
2016-04-12,1.71,1.75,1.69,1.72,25000,1.72
2016-04-11,1.44,1.74,1.44,1.71,60200,1.71
2016-04-08,1.50,1.50,1.46,1.46,10500,1.46
2016-04-07,1.46,1.50,1.46,1.50,19200,1.50
2016-04-06,1.42,1.45,1.42,1.45,1600,1.45
2016-04-05,1.42,1.42,1.42,1.42,000,1.42
2016-04-04,1.42,1.42,1.42,1.42,700,1.42
2016-04-01,1.42,1.46,1.42,1.42,22300,1.42
2016-03-31,1.27,1.40,1.24,1.40,42000,1.40
2016-03-30,1.38,1.40,1.30,1.32,4200,1.32
2016-03-29,1.41,1.41,1.41,1.41,2000,1.41
2016-03-28,1.40,1.40,1.40,1.40,200,1.40
2016-03-24,1.46,1.46,1.46,1.46,300,1.46
2016-03-23,1.46,1.50,1.40,1.40,6300,1.40
2016-03-22,1.37,1.54,1.37,1.54,44200,1.54
2016-03-21,1.37,1.37,1.37,1.37,5200,1.37
2016-03-18,1.31,1.37,1.31,1.37,6500,1.37
2016-03-17,1.35,1.40,1.31,1.31,15600,1.31
2016-03-16,1.24,1.34,1.24,1.34,1100,1.34
2016-03-15,1.29,1.29,1.29,1.29,000,1.29
2016-03-14,1.29,1.33,1.29,1.29,6600,1.29
2016-03-11,1.22,1.32,1.22,1.32,9500,1.32
2016-03-10,1.10,1.16,1.10,1.16,16000,1.16
2016-03-09,1.18,1.18,1.11,1.18,45300,1.18
2016-03-08,1.20,1.24,1.15,1.18,12000,1.18
2016-03-07,1.18,1.18,1.11,1.13,12500,1.13
2016-03-04,1.05,1.17,1.05,1.17,17700,1.17
2016-03-03,1.05,1.07,1.04,1.04,8100,1.04
2016-03-02,1.02,1.02,1.02,1.02,400,1.02
2016-03-01,1.02,1.02,1.02,1.02,000,1.02
2016-02-29,1.02,1.02,1.02,1.02,000,1.02
2016-02-26,1.02,1.02,1.02,1.02,500,1.02
2016-02-25,1.02,1.02,1.02,1.02,000,1.02
2016-02-24,1.02,1.02,1.02,1.02,000,1.02
2016-02-23,1.02,1.02,1.00,1.02,1300,1.02
2016-02-22,1.00,1.00,1.00,1.00,000,1.00
2016-02-19,0.99,1.05,0.99,1.00,43100,1.00
2016-02-18,1.01,1.10,1.00,1.00,12500,1.00
2016-02-17,1.09,1.09,1.09,1.09,000,1.09
2016-02-16,1.09,1.09,1.09,1.09,4200,1.09
2016-02-12,1.08,1.08,1.08,1.08,000,1.08
2016-02-11,1.08,1.08,1.08,1.08,000,1.08
2016-02-10,1.08,1.08,1.08,1.08,3000,1.08
2016-02-09,1.05,1.05,1.00,1.00,8900,1.00
2016-02-08,1.05,1.05,1.05,1.05,3000,1.05
2016-02-05,1.07,1.07,1.07,1.07,000,1.07
2016-02-04,1.07,1.07,1.07,1.07,000,1.07
2016-02-03,1.07,1.07,1.07,1.07,2100,1.07
2016-02-02,1.09,1.09,1.09,1.09,1000,1.09
2016-02-01,1.09,1.09,1.08,1.08,4000,1.08
2016-01-29,1.15,1.15,1.15,1.15,000,1.15
2016-01-28,1.09,1.15,1.04,1.15,11700,1.15
