Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,57.00,57.599998,56.900002,57.41,146200,57.41
2017-02-09,56.369999,57.00,56.290001,56.810001,177900,56.810001
2017-02-08,56.380001,56.529999,55.91,56.419998,193500,56.419998
2017-02-07,55.970001,56.439999,55.959999,56.389999,150300,56.389999
2017-02-06,56.25,56.459999,55.75,55.959999,172500,55.959999
2017-02-03,56.279999,56.59,56.110001,56.52,265100,56.52
2017-02-02,55.889999,56.669998,55.709999,56.099998,215800,56.099998
2017-02-01,56.080002,56.32,55.57,55.950001,166300,55.950001
2017-01-31,56.259998,56.57,55.50,56.080002,392300,56.080002
2017-01-30,56.700001,56.700001,55.73,56.32,192900,56.32
2017-01-27,57.16,57.599998,56.630001,56.860001,183800,56.860001
2017-01-26,57.41,57.73,56.900002,57.25,134700,57.25
2017-01-25,56.849998,57.650002,56.279999,57.470001,356000,57.470001
2017-01-24,56.119999,56.849998,55.849998,56.740002,175800,56.740002
2017-01-23,57.009998,57.07,55.77,56.16,263700,56.16
2017-01-20,56.619999,57.580002,56.619999,57.080002,282800,57.080002
2017-01-19,56.290001,56.959999,56.290001,56.619999,202600,56.619999
2017-01-18,56.400002,56.900002,56.040001,56.18,355700,56.18
2017-01-17,57.849998,57.849998,56.919998,57.360001,237000,57.360001
2017-01-16,57.889999,58.130001,57.450001,57.849998,97500,57.849998
2017-01-13,57.470001,58.099998,57.330002,57.669998,187400,57.669998
2017-01-12,57.900002,58.00,57.110001,57.50,287700,57.50
2017-01-11,57.939999,58.200001,57.689999,58.07,191000,58.07
2017-01-10,57.619999,58.07,57.540001,57.91,159300,57.91
2017-01-09,57.950001,58.060001,57.549999,57.59,169400,57.59
2017-01-06,58.700001,58.700001,57.91,57.990002,229400,57.990002
2017-01-05,58.549999,59.240002,58.509998,58.540001,296500,58.540001
2017-01-04,58.419998,58.98,58.16,58.880001,247200,58.880001
2017-01-03,58.00,58.709999,57.830002,58.400002,171700,58.400002
2016-12-30,58.169998,58.189999,57.599998,57.790001,282700,57.790001
2016-12-29,58.189999,58.580002,57.82,58.130001,262800,58.130001
2016-12-28,58.459999,58.810001,58.080002,58.23,305000,58.23
2016-12-23,58.700001,59.25,58.459999,58.50,249000,58.50
2016-12-22,58.610001,58.91,58.040001,58.549999,250800,58.549999
2016-12-21,57.990002,59.630001,57.990002,58.549999,429300,58.549999
2016-12-20,56.959999,57.299999,56.830002,57.119999,177500,57.119999
2016-12-19,56.400002,57.25,56.400002,56.990002,260000,56.990002
2016-12-16,57.09,57.849998,56.299999,56.529999,966400,56.529999
2016-12-15,56.220001,57.549999,56.220001,56.810001,285000,56.810001
2016-12-14,56.799999,57.34,56.369999,57.029999,371200,57.029999
2016-12-13,56.360001,57.139999,56.360001,56.689999,227000,56.689999
2016-12-12,56.09,56.73,55.939999,56.27,200600,56.27
2016-12-09,55.549999,56.290001,55.400002,56.16,217400,56.16
2016-12-08,56.509998,56.77,55.52,55.540001,348400,55.540001
2016-12-07,56.650002,57.25,56.32,56.939999,228100,56.939999
2016-12-06,57.009998,57.490002,56.099998,56.549999,345300,56.549999
2016-12-05,57.490002,57.700001,57.130001,57.279999,263700,57.279999
2016-12-02,57.59,58.02,57.060001,57.50,327700,57.50
2016-12-01,57.200001,58.50,56.950001,57.669998,453800,57.669998
2016-11-30,56.110001,57.389999,55.84,56.919998,571400,56.919998
2016-11-29,55.900002,56.209999,55.650002,56.169998,161700,56.169998
2016-11-28,56.619999,56.619999,55.860001,56.060001,296800,56.060001
2016-11-25,56.849998,57.040001,56.650002,56.650002,153900,56.650002
2016-11-24,56.669998,57.169998,56.59,56.84,119400,56.84
2016-11-23,55.48,56.970001,55.259998,56.66,317400,56.66
2016-11-22,55.720001,56.18,55.25,55.790001,311900,55.790001
2016-11-21,55.16,55.93,55.16,55.599998,253500,55.599998
2016-11-18,55.02,55.560001,54.82,55.040001,263600,55.040001
2016-11-17,55.349998,55.59,54.799999,55.169998,285400,55.169998
2016-11-16,55.599998,55.619999,54.73,54.77,369700,54.77
2016-11-15,55.220001,55.82,54.900002,55.68,299000,55.68
2016-11-14,56.00,56.00,55.080002,55.709999,336700,55.449998
2016-11-11,56.869999,56.93,55.689999,55.849998,319100,55.589344
2016-11-10,55.349998,57.240002,55.299999,57.209999,779100,56.942998
2016-11-09,53.599998,55.290001,53.509998,55.209999,452100,54.952332
2016-11-08,53.799999,54.709999,53.799999,54.619999,596500,54.365085
2016-11-07,53.650002,54.540001,53.610001,53.720001,353100,53.469288
2016-11-04,54.080002,54.220001,53.299999,53.330002,490600,53.081108
2016-11-03,53.00,54.150002,52.830002,54.080002,389800,53.827608
2016-11-02,53.50,53.50,51.939999,52.110001,452600,51.866801
2016-11-01,54.389999,54.490002,53.73,53.860001,373200,53.608634
2016-10-31,54.290001,55.049999,54.25,54.50,344000,54.245646
2016-10-28,54.799999,55.040001,54.02,54.290001,290200,54.036627
2016-10-27,54.389999,54.939999,54.009998,54.799999,726500,54.544245
2016-10-26,53.900002,54.459999,53.27,54.400002,620600,54.146114
2016-10-25,53.57,54.259998,53.389999,54.00,965700,53.74798
2016-10-24,53.369999,53.580002,53.080002,53.560001,221100,53.310035
2016-10-21,52.630001,53.360001,52.240002,53.299999,183300,53.051246
2016-10-20,52.68,52.900002,52.049999,52.68,270500,52.43414
2016-10-19,52.259998,52.860001,52.169998,52.68,227400,52.43414
2016-10-18,52.540001,52.630001,52.169998,52.23,336900,51.98624
2016-10-17,51.93,52.450001,51.77,52.240002,226000,51.996195
2016-10-14,51.32,52.150002,51.310001,51.990002,371500,51.747362
2016-10-13,51.240002,51.50,50.959999,51.099998,335600,50.861513
2016-10-12,51.830002,52.049999,51.220001,51.720001,449800,51.478622
2016-10-11,52.00,52.099998,51.540001,51.830002,547900,51.588109
2016-10-07,51.630001,51.919998,51.189999,51.779999,349100,51.538339
2016-10-06,51.799999,52.200001,51.529999,51.799999,508900,51.558246
2016-10-05,51.220001,51.830002,50.889999,51.82,640000,51.578153
2016-10-04,51.009998,51.830002,50.27,50.68,397200,50.443475
2016-10-03,51.490002,51.52,50.669998,51.049999,483900,50.811747
2016-09-30,50.830002,52.150002,50.669998,51.529999,722600,51.289506
2016-09-29,53.00,53.029999,50.939999,51.099998,853200,50.861513
2016-09-28,54.959999,55.119999,54.700001,54.939999,232800,54.683591
2016-09-27,54.599998,55.43,54.50,54.959999,270100,54.703498
2016-09-26,54.490002,55.200001,54.209999,54.759998,181100,54.504431
2016-09-23,55.299999,55.369999,54.560001,54.59,352400,54.335226
2016-09-22,55.150002,55.799999,54.880001,55.290001,169800,55.03196
2016-09-21,54.400002,55.07,54.119999,54.91,253000,54.653732
2016-09-20,54.470001,55.00,54.00,54.32,287100,54.066486
2016-09-19,53.740002,54.43,53.630001,54.130001,218800,53.877374
2016-09-16,54.50,54.50,53.130001,53.580002,720400,53.329942
