Date,Open,High,Low,Close,Volume,Adj Close
2016-12-21,12.80,12.83,12.68,12.78,191100,12.78
2016-12-20,12.87,12.90,12.67,12.78,186900,12.78
2016-12-19,12.77,12.91,12.76,12.83,192500,12.83
2016-12-16,12.49,12.82,12.48,12.82,513400,12.82
2016-12-15,12.61,12.62,12.40,12.43,245300,12.43
2016-12-14,12.61,12.81,12.55,12.62,512700,12.62
2016-12-13,12.71,12.78,12.59,12.62,271300,12.62
2016-12-12,12.80,12.90,12.66,12.68,254100,12.68
2016-12-09,12.81,12.85,12.67,12.77,198900,12.77
2016-12-08,12.65,12.81,12.65,12.75,394900,12.75
2016-12-07,12.70,12.78,12.58,12.66,270500,12.66
2016-12-06,12.50,12.77,12.47,12.69,278800,12.69
2016-12-05,12.53,12.69,12.37,12.65,308600,12.65
2016-12-02,12.36,12.66,12.34,12.53,581500,12.53
2016-12-01,12.00,12.39,11.99,12.32,708800,12.32
2016-11-30,11.93,12.04,11.91,12.00,506700,12.00
2016-11-29,11.70,11.92,11.63,11.86,456800,11.86
2016-11-28,11.89,11.89,11.66,11.68,189000,11.68
2016-11-25,12.00,12.00,11.83,11.83,174200,11.77
2016-11-24,11.98,12.04,11.90,12.00,104500,11.939137
2016-11-23,11.86,12.04,11.86,11.89,410100,11.829696
2016-11-22,11.70,11.91,11.70,11.84,261100,11.779949
2016-11-21,11.84,11.87,11.71,11.73,229300,11.670506
2016-11-18,11.81,11.81,11.74,11.77,254000,11.710304
2016-11-17,11.70,11.86,11.70,11.76,266000,11.700355
2016-11-16,11.38,11.72,11.38,11.67,316300,11.610811
2016-11-15,11.42,11.60,11.29,11.38,441900,11.322282
2016-11-14,11.64,11.66,11.32,11.39,456600,11.332232
2016-11-11,11.73,11.73,11.55,11.60,207100,11.541167
2016-11-10,11.73,11.80,11.67,11.70,232600,11.640659
2016-11-09,11.60,11.82,11.57,11.66,193900,11.600862
2016-11-08,11.80,11.81,11.66,11.71,182700,11.650608
2016-11-07,11.64,11.85,11.63,11.81,361500,11.750102
2016-11-04,11.65,11.69,11.56,11.58,443300,11.521268
2016-11-03,11.61,11.72,11.60,11.65,385700,11.590912
2016-11-02,11.90,11.98,11.61,11.64,588300,11.580964
2016-11-01,11.98,12.00,11.86,11.90,607000,11.839644
2016-10-31,11.90,12.23,11.90,11.94,760500,11.879441
2016-10-28,11.32,11.84,11.32,11.73,691700,11.670506
2016-10-27,11.35,11.45,11.32,11.32,163000,11.262586
2016-10-26,11.47,11.63,11.35,11.38,278400,11.262587
2016-10-25,11.75,11.80,11.48,11.50,508700,11.381349
2016-10-24,11.70,11.74,11.70,11.70,227300,11.579285
2016-10-21,11.68,11.78,11.66,11.70,268500,11.579285
