Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,2.97,2.98,2.86,2.90,3627600,2.90
2017-01-17,3.05,3.08,3.00,3.01,1785800,3.01
2017-01-16,3.03,3.03,2.97,3.03,637400,3.03
2017-01-13,3.04,3.07,3.02,3.03,1516000,3.03
2017-01-12,3.08,3.10,2.98,3.04,2472900,3.04
2017-01-11,3.03,3.09,2.97,3.04,2680300,3.04
2017-01-10,3.14,3.16,2.99,3.00,6075600,3.00
2017-01-09,3.25,3.25,3.11,3.12,808300,3.12
2017-01-06,3.30,3.31,3.25,3.27,508300,3.27
2017-01-05,3.34,3.35,3.29,3.30,1531300,3.30
2017-01-04,3.33,3.34,3.27,3.32,1266700,3.32
2017-01-03,3.39,3.43,3.31,3.33,1904600,3.33
2016-12-30,3.34,3.36,3.32,3.33,725700,3.33
2016-12-29,3.34,3.38,3.32,3.34,410800,3.34
2016-12-28,3.37,3.37,3.33,3.36,412100,3.36
2016-12-23,3.35,3.36,3.31,3.32,504300,3.32
2016-12-22,3.35,3.38,3.32,3.36,634500,3.36
2016-12-21,3.34,3.39,3.33,3.33,983500,3.33
2016-12-20,3.35,3.40,3.30,3.32,2321700,3.32
2016-12-19,3.33,3.34,3.29,3.32,1175500,3.32
2016-12-16,3.36,3.36,3.31,3.34,2748000,3.34
2016-12-15,3.31,3.36,3.30,3.34,1717500,3.34
2016-12-14,3.39,3.45,3.29,3.34,9042800,3.34
2016-12-13,3.35,3.47,3.29,3.42,3354600,3.42
2016-12-12,3.41,3.45,3.32,3.33,4835100,3.33
2016-12-09,3.28,3.39,3.24,3.28,4405100,3.28
2016-12-08,3.26,3.28,3.20,3.25,2999400,3.25
2016-12-07,3.30,3.35,3.19,3.20,1941400,3.20
2016-12-06,3.28,3.33,3.24,3.32,1514100,3.32
2016-12-05,3.33,3.37,3.30,3.31,1668800,3.31
2016-12-02,3.33,3.37,3.25,3.29,2674600,3.29
2016-12-01,3.38,3.46,3.30,3.32,6585600,3.32
2016-11-30,3.25,3.29,3.14,3.28,9881200,3.28
2016-11-29,2.96,2.99,2.89,2.90,2262700,2.90
2016-11-28,3.10,3.10,3.00,3.01,2103300,3.01
2016-11-25,3.15,3.18,3.06,3.07,1805900,3.07
2016-11-24,3.16,3.21,3.16,3.17,1290200,3.17
2016-11-23,3.15,3.19,3.14,3.16,1554400,3.16
2016-11-22,3.16,3.17,3.13,3.16,2192400,3.16
2016-11-21,3.13,3.18,3.12,3.17,5237200,3.17
2016-11-18,3.09,3.18,3.07,3.08,10145300,3.08
2016-11-17,3.22,3.23,3.12,3.14,1660800,3.14
2016-11-16,3.23,3.30,3.15,3.16,1524700,3.16
2016-11-15,3.15,3.26,3.14,3.26,1602200,3.26
2016-11-14,3.10,3.15,3.06,3.11,1729400,3.11
2016-11-11,3.24,3.24,3.05,3.09,2125200,3.09
2016-11-10,3.17,3.26,3.15,3.24,4041800,3.24
2016-11-09,3.08,3.21,3.05,3.16,2533500,3.16
2016-11-08,3.06,3.15,3.06,3.11,1941700,3.11
2016-11-07,3.12,3.13,3.06,3.09,1160800,3.09
2016-11-04,3.08,3.18,3.06,3.08,3015800,3.08
2016-11-03,3.09,3.16,3.09,3.11,2643700,3.11
2016-11-02,3.09,3.12,3.07,3.10,2546000,3.10
2016-11-01,3.16,3.19,3.11,3.14,1355100,3.14
2016-10-31,3.18,3.18,3.08,3.12,1605000,3.12
2016-10-28,3.24,3.30,3.17,3.20,3391800,3.20
2016-10-27,3.29,3.31,3.22,3.25,4242900,3.25
2016-10-26,3.33,3.34,3.24,3.26,3865700,3.26
2016-10-25,3.46,3.48,3.33,3.37,2357000,3.37
2016-10-24,3.45,3.46,3.39,3.46,2359600,3.46
2016-10-21,3.48,3.52,3.43,3.44,5474400,3.44
2016-10-20,3.50,3.50,3.44,3.50,736600,3.50
2016-10-19,3.45,3.54,3.44,3.53,2694600,3.53
2016-10-18,3.46,3.47,3.40,3.41,2076600,3.41
2016-10-17,3.42,3.45,3.38,3.41,1326900,3.41
2016-10-14,3.39,3.44,3.37,3.41,1432500,3.41
2016-10-13,3.38,3.42,3.31,3.38,1859500,3.38
2016-10-12,3.44,3.48,3.37,3.38,1641000,3.38
2016-10-11,3.50,3.57,3.41,3.46,4036000,3.46
2016-10-07,3.55,3.55,3.41,3.44,1090100,3.44
2016-10-06,3.55,3.65,3.50,3.55,2683500,3.55
2016-10-05,3.35,3.57,3.32,3.56,6638600,3.56
2016-10-04,3.37,3.39,3.25,3.28,1636100,3.28
2016-10-03,3.37,3.41,3.33,3.37,1460900,3.37
2016-09-30,3.38,3.43,3.34,3.38,2177900,3.38
2016-09-29,3.39,3.45,3.32,3.36,3330200,3.36
2016-09-28,3.20,3.39,3.15,3.39,4781500,3.39
2016-09-27,3.21,3.21,3.13,3.17,1353700,3.17
2016-09-26,3.24,3.29,3.22,3.23,1084900,3.23
2016-09-23,3.29,3.29,3.17,3.23,1516900,3.23
2016-09-22,3.30,3.33,3.27,3.29,1089000,3.29
2016-09-21,3.25,3.30,3.21,3.26,2310500,3.26
2016-09-20,3.20,3.25,3.18,3.18,2396000,3.18
2016-09-19,3.26,3.30,3.21,3.22,1528500,3.22
2016-09-16,3.22,3.29,3.18,3.21,13271100,3.21
2016-09-15,3.25,3.32,3.24,3.28,2773100,3.28
2016-09-14,3.26,3.36,3.23,3.23,3543500,3.23
2016-09-13,3.36,3.37,3.20,3.29,1819100,3.29
2016-09-12,3.38,3.42,3.35,3.42,4972200,3.42
2016-09-09,3.51,3.51,3.40,3.42,1092600,3.42
2016-09-08,3.45,3.56,3.43,3.56,3450300,3.56
2016-09-07,3.47,3.53,3.41,3.41,1754600,3.41
2016-09-06,3.36,3.49,3.36,3.48,1344000,3.48
2016-09-02,3.42,3.42,3.35,3.36,610500,3.36
2016-09-01,3.32,3.42,3.29,3.37,843500,3.37
2016-08-31,3.36,3.38,3.25,3.37,1886300,3.37
2016-08-30,3.48,3.49,3.35,3.37,1479000,3.37
2016-08-29,3.42,3.48,3.42,3.48,848100,3.48
2016-08-26,3.51,3.51,3.44,3.46,1642900,3.46
2016-08-25,3.40,3.51,3.40,3.49,1502200,3.49
2016-08-24,3.40,3.48,3.38,3.44,1650600,3.44
2016-08-23,3.36,3.45,3.33,3.44,1028400,3.44
2016-08-22,3.41,3.41,3.35,3.39,1125000,3.39
2016-08-19,3.44,3.50,3.40,3.41,3373200,3.41
2016-08-18,3.49,3.52,3.45,3.46,3860500,3.46
2016-08-17,3.44,3.49,3.43,3.49,832300,3.49
2016-08-16,3.46,3.47,3.42,3.46,890400,3.46
2016-08-15,3.45,3.46,3.42,3.45,373500,3.45
2016-08-12,3.41,3.47,3.40,3.40,823800,3.40
2016-08-11,3.35,3.42,3.34,3.41,1271800,3.41
2016-08-10,3.37,3.38,3.31,3.35,901800,3.35
2016-08-09,3.38,3.40,3.30,3.34,1580500,3.34
2016-08-08,3.31,3.42,3.31,3.37,1493300,3.37
2016-08-05,3.26,3.28,3.21,3.25,1452800,3.25
2016-08-04,3.25,3.33,3.23,3.27,3990000,3.27
2016-08-03,3.22,3.36,3.22,3.31,1247500,3.31
2016-08-02,3.20,3.26,3.11,3.26,1529300,3.26
2016-07-29,3.20,3.32,3.19,3.28,820400,3.28
2016-07-28,3.20,3.25,3.17,3.21,494000,3.21
2016-07-27,3.28,3.35,3.18,3.20,725500,3.20
2016-07-26,3.25,3.29,3.21,3.27,1516000,3.27
2016-07-25,3.39,3.42,3.28,3.29,698600,3.29
2016-07-22,3.49,3.50,3.39,3.44,623300,3.44
2016-07-21,3.44,3.53,3.44,3.49,639400,3.49
2016-07-20,3.41,3.47,3.40,3.46,535500,3.46
2016-07-19,3.50,3.51,3.39,3.45,1104500,3.45
2016-07-18,3.44,3.53,3.43,3.50,871700,3.50
2016-07-15,3.41,3.47,3.41,3.44,1937600,3.44
2016-07-14,3.45,3.45,3.40,3.40,440500,3.40
2016-07-13,3.46,3.54,3.40,3.41,883900,3.41
2016-07-12,3.42,3.51,3.37,3.48,1364700,3.48
2016-07-11,3.45,3.48,3.36,3.36,575600,3.36
2016-07-08,3.44,3.47,3.36,3.44,432500,3.44
2016-07-07,3.42,3.48,3.36,3.39,1928400,3.39
2016-07-06,3.32,3.44,3.32,3.41,3402700,3.41
2016-07-05,3.34,3.38,3.32,3.36,594200,3.36
2016-07-04,3.36,3.46,3.36,3.40,424300,3.40
2016-06-30,3.39,3.48,3.38,3.39,3053900,3.39
2016-06-29,3.31,3.44,3.29,3.40,1967100,3.40
2016-06-28,3.13,3.15,3.10,3.12,806800,3.12
2016-06-27,3.05,3.07,3.00,3.06,1291900,3.06
2016-06-24,3.02,3.16,3.00,3.08,2615600,3.08
2016-06-23,3.21,3.23,3.17,3.19,1959500,3.19
2016-06-22,3.20,3.21,3.12,3.16,1068700,3.16
2016-06-21,3.19,3.22,3.14,3.18,835100,3.18
2016-06-20,3.22,3.25,3.18,3.22,1326400,3.22
2016-06-17,3.21,3.21,3.13,3.16,818100,3.16
2016-06-16,3.10,3.16,3.06,3.12,883400,3.12
2016-06-15,3.15,3.20,3.10,3.14,1320700,3.14
2016-06-14,3.17,3.24,3.13,3.15,819600,3.15
2016-06-13,3.09,3.25,3.07,3.23,1202800,3.23
2016-06-10,3.25,3.29,3.15,3.17,661100,3.17
2016-06-09,3.37,3.43,3.31,3.31,1751700,3.31
2016-06-08,3.48,3.56,3.40,3.44,3345800,3.44
2016-06-07,3.38,3.43,3.33,3.42,1776800,3.42
2016-06-06,3.26,3.36,3.25,3.36,1379400,3.36
2016-06-03,3.23,3.27,3.21,3.21,561500,3.21
2016-06-02,3.20,3.29,3.20,3.22,905800,3.22
2016-06-01,3.16,3.25,3.13,3.24,948900,3.24
2016-05-31,3.15,3.23,3.15,3.23,1254300,3.23
2016-05-30,3.12,3.15,3.10,3.14,261700,3.14
2016-05-27,3.23,3.25,3.14,3.17,545300,3.17
2016-05-26,3.26,3.31,3.19,3.25,1338800,3.25
2016-05-25,3.19,3.31,3.18,3.21,1404100,3.21
2016-05-24,3.20,3.22,3.14,3.16,939600,3.16
2016-05-20,3.17,3.25,3.12,3.16,1647400,3.16
2016-05-19,2.92,3.18,2.86,3.13,3890400,3.13
2016-05-18,3.10,3.14,2.89,2.97,1400900,2.97
2016-05-17,3.15,3.24,3.10,3.12,1915100,3.12
2016-05-16,3.08,3.16,3.08,3.14,806300,3.14
2016-05-13,3.00,3.08,2.98,3.01,1058600,3.01
2016-05-12,3.03,3.07,2.87,2.99,1798000,2.99
2016-05-11,2.87,2.99,2.80,2.98,2837100,2.98
2016-05-10,2.80,2.89,2.77,2.86,1687600,2.86
2016-05-09,2.89,2.94,2.74,2.76,973700,2.76
2016-05-06,2.80,2.93,2.80,2.93,1702700,2.93
2016-05-05,2.85,2.88,2.71,2.80,1609700,2.80
2016-05-04,2.80,2.82,2.70,2.73,1226800,2.73
2016-05-03,2.80,2.83,2.69,2.76,1137900,2.76
2016-05-02,2.87,2.93,2.82,2.82,1927800,2.82
2016-04-29,2.96,3.03,2.82,2.87,4434300,2.87
2016-04-28,3.12,3.12,2.92,2.92,1206400,2.92
2016-04-27,3.10,3.17,3.03,3.15,1059000,3.15
2016-04-26,3.08,3.11,3.03,3.06,1117400,3.06
2016-04-25,3.21,3.22,3.02,3.06,1669100,3.06
2016-04-22,3.15,3.24,3.13,3.23,2613600,3.23
2016-04-21,3.11,3.15,3.03,3.13,1899500,3.13
2016-04-20,2.88,3.14,2.88,3.08,3437100,3.08
2016-04-19,2.80,2.97,2.78,2.96,1535100,2.96
2016-04-18,2.69,2.91,2.69,2.77,844300,2.77
2016-04-15,2.80,2.85,2.75,2.84,380500,2.84
2016-04-14,2.90,2.90,2.78,2.83,1537000,2.83
2016-04-13,2.80,2.89,2.73,2.89,946700,2.89
2016-04-12,2.76,2.87,2.73,2.80,940600,2.80
2016-04-11,2.71,2.76,2.68,2.74,979100,2.74
2016-04-08,2.69,2.72,2.66,2.69,1583600,2.69
2016-04-07,2.67,2.67,2.59,2.60,1151100,2.60
2016-04-06,2.66,2.70,2.61,2.70,917300,2.70
2016-04-05,2.57,2.63,2.54,2.63,1832300,2.63
2016-04-04,2.56,2.64,2.56,2.61,843400,2.61
2016-04-01,2.60,2.62,2.55,2.56,2502900,2.56
2016-03-31,2.66,2.70,2.64,2.64,1684300,2.64
2016-03-30,2.73,2.77,2.65,2.66,2121700,2.66
2016-03-29,2.65,2.73,2.59,2.70,930900,2.70
2016-03-28,2.74,2.75,2.67,2.72,223700,2.72
2016-03-24,2.59,2.75,2.57,2.75,3081500,2.75
2016-03-23,2.67,2.71,2.60,2.66,2862600,2.66
2016-03-22,2.71,2.73,2.66,2.72,850900,2.72
2016-03-21,2.73,2.78,2.71,2.71,831600,2.71
2016-03-18,2.85,2.85,2.69,2.74,1014800,2.74
2016-03-17,2.72,2.83,2.72,2.76,2156100,2.76
2016-03-16,2.56,2.72,2.56,2.68,2177100,2.68
2016-03-15,2.62,2.62,2.52,2.57,875300,2.57
2016-03-14,2.61,2.65,2.58,2.63,487800,2.63
2016-03-11,2.57,2.73,2.55,2.67,1941500,2.67
2016-03-10,2.59,2.59,2.49,2.52,1168800,2.52
2016-03-09,2.58,2.64,2.55,2.59,2132200,2.59
2016-03-08,2.68,2.68,2.55,2.55,768100,2.55
2016-03-07,2.71,2.77,2.67,2.69,1104800,2.69
2016-03-04,2.68,2.78,2.66,2.73,900600,2.73
2016-03-03,2.62,2.79,2.62,2.67,1733900,2.67
2016-03-02,2.53,2.73,2.53,2.65,1166500,2.65
2016-03-01,2.54,2.59,2.47,2.56,1592200,2.56
2016-02-29,2.53,2.57,2.50,2.52,647400,2.52
2016-02-26,2.54,2.59,2.50,2.50,1244000,2.50
