Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,32.91,32.97,32.52,32.55,174200,32.55
2017-02-08,32.35,32.86,32.34,32.85,160700,32.85
2017-02-07,32.22,32.53,32.21,32.35,153300,32.35
2017-02-06,32.18,32.35,32.01,32.29,155800,32.29
2017-02-03,32.23,32.29,31.89,32.12,231100,32.12
2017-02-02,31.71,32.15,31.71,32.15,323300,32.15
2017-02-01,31.98,32.07,31.65,31.79,326000,31.79
2017-01-31,31.57,32.08,31.50,32.02,272300,32.02
2017-01-30,31.75,31.77,31.35,31.53,132800,31.53
2017-01-27,32.13,32.14,31.67,31.74,195800,31.74
2017-01-26,32.01,32.38,32.01,32.15,190500,32.15
2017-01-25,32.09,32.30,32.08,32.12,302400,32.12
2017-01-24,31.99,32.17,31.87,32.09,219300,32.09
2017-01-23,31.88,31.97,31.77,31.90,170900,31.90
2017-01-20,31.77,32.00,31.77,31.79,181300,31.79
2017-01-19,32.12,32.21,31.85,31.90,148000,31.90
2017-01-18,32.29,32.41,32.00,32.02,211500,32.02
2017-01-17,32.06,32.33,31.84,32.23,314500,32.23
2017-01-16,31.77,32.04,31.77,31.98,52300,31.98
2017-01-13,31.91,31.94,31.72,31.86,128500,31.86
2017-01-12,31.93,32.06,31.82,31.91,206700,31.91
2017-01-11,32.20,32.33,31.77,31.91,279000,31.91
2017-01-10,32.32,32.32,31.91,32.11,236600,32.11
2017-01-09,32.57,32.64,32.22,32.23,131100,32.23
2017-01-06,32.49,32.70,32.30,32.54,263200,32.54
2017-01-05,32.27,32.42,32.17,32.42,141200,32.42
2017-01-04,32.16,32.33,32.06,32.25,246900,32.25
2017-01-03,32.29,32.31,31.82,32.08,221500,32.08
2017-01-02,32.29,32.29,32.29,32.29,000,32.29
2016-12-30,32.06,32.33,31.90,32.29,159000,32.29
2016-12-29,31.62,32.15,31.62,32.10,156000,32.10
2016-12-28,31.80,31.83,31.53,31.63,132800,31.63
2016-12-27,31.89,31.89,31.89,31.89,000,31.74833
2016-12-26,31.89,31.89,31.89,31.89,000,31.74833
2016-12-23,31.76,31.965,31.76,31.89,97400,31.74833
2016-12-22,31.76,31.91,31.63,31.75,192100,31.60895
2016-12-21,31.59,31.90,31.59,31.77,194900,31.62886
2016-12-20,31.77,31.86,31.51,31.66,181400,31.51935
2016-12-19,31.75,31.93,31.55,31.81,263100,31.66869
2016-12-16,31.18,31.81,31.13,31.72,445900,31.57908
2016-12-15,31.13,31.25,30.97,31.05,311600,30.91206
2016-12-14,31.42,31.60,31.04,31.13,346700,30.99171
