Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,15.63,15.71,15.04,15.18,448500,15.18
2017-02-08,15.36,16.110001,15.36,15.58,573700,15.58
2017-02-07,15.17,15.60,15.03,15.15,414400,15.15
2017-02-06,14.59,15.40,14.59,15.36,496900,15.36
2017-02-03,14.30,14.44,14.21,14.36,295800,14.36
2017-02-02,14.24,14.42,14.01,14.30,339200,14.30
2017-02-01,13.51,13.95,13.48,13.81,286400,13.81
2017-01-31,13.69,13.95,13.56,13.75,602400,13.75
2017-01-30,13.44,13.67,13.25,13.38,362500,13.38
2017-01-27,12.96,13.41,12.86,13.39,292400,13.39
2017-01-26,12.84,13.14,12.76,12.92,284900,12.92
2017-01-25,13.10,13.21,12.92,13.20,342700,13.20
2017-01-24,13.55,13.75,13.18,13.35,296400,13.35
2017-01-23,13.56,13.63,13.35,13.59,484700,13.59
2017-01-20,13.25,13.70,13.08,13.39,381000,13.39
2017-01-19,12.98,13.31,12.86,13.18,300100,13.18
2017-01-18,13.50,13.60,12.96,13.14,448500,13.14
2017-01-17,13.45,13.63,13.27,13.47,358900,13.47
2017-01-16,13.36,13.36,12.99,13.04,139700,13.04
2017-01-13,12.93,13.23,12.66,13.22,332200,13.22
2017-01-12,13.34,13.46,12.92,13.08,392900,13.08
2017-01-11,13.38,13.38,12.64,12.97,619100,12.97
2017-01-10,13.44,13.90,13.24,13.43,400700,13.43
2017-01-09,13.32,13.83,13.18,13.33,465000,13.33
2017-01-06,13.41,13.84,12.64,13.00,484900,13.00
2017-01-05,13.06,13.89,12.95,13.85,626200,13.85
2017-01-04,12.90,12.90,12.53,12.73,530200,12.73
2017-01-03,12.09,12.77,12.06,12.73,297200,12.73
2016-12-30,12.81,13.19,11.93,12.01,477000,12.01
2016-12-29,12.12,12.90,12.03,12.78,446800,12.78
2016-12-28,11.27,12.07,11.26,11.95,307000,11.95
2016-12-23,10.91,11.14,10.81,10.97,342900,10.97
2016-12-22,10.73,11.18,10.67,10.80,158100,10.80
2016-12-21,10.88,10.95,10.69,10.74,168900,10.74
2016-12-20,10.75,10.88,10.32,10.80,441900,10.80
2016-12-19,10.98,11.19,10.81,10.98,278600,10.98
2016-12-16,11.16,11.37,10.86,11.02,971400,11.02
2016-12-15,11.15,11.41,10.82,11.02,571600,11.02
2016-12-14,12.50,12.55,11.61,11.63,880300,11.63
2016-12-13,12.25,12.57,12.09,12.32,429600,12.32
2016-12-12,12.25,12.58,12.03,12.21,345800,12.21
2016-12-09,12.91,12.97,12.13,12.23,382900,12.23
2016-12-08,13.27,13.32,12.86,13.04,238000,13.04
2016-12-07,13.57,13.67,13.25,13.29,576300,13.29
2016-12-06,13.80,13.92,13.22,13.33,438500,13.33
2016-12-05,13.17,13.88,12.99,13.75,602300,13.75
2016-12-02,12.90,13.40,12.90,13.35,710500,13.35
2016-12-01,13.16,13.29,12.66,12.85,653800,12.85
2016-11-30,13.35,13.40,12.97,13.29,692100,13.29
2016-11-29,13.04,13.52,13.01,13.39,332900,13.39
2016-11-28,13.15,13.43,12.95,13.38,354600,13.38
2016-11-25,13.35,13.37,12.85,13.02,188600,13.02
2016-11-24,13.07,13.28,13.07,13.10,70800,13.10
2016-11-23,13.71,13.71,12.98,13.16,849400,13.16
2016-11-22,13.74,14.22,13.27,14.16,906400,14.16
2016-11-21,13.59,13.70,13.32,13.54,531100,13.54
2016-11-18,13.18,13.54,13.08,13.48,587100,13.48
2016-11-17,13.50,13.91,13.17,13.32,992500,13.32
2016-11-16,13.71,13.73,13.25,13.52,561200,13.52
2016-11-15,12.93,13.82,12.89,13.71,860100,13.71
2016-11-14,12.63,13.48,12.30,12.89,1680700,12.89
2016-11-11,14.70,14.73,12.66,12.71,1743500,12.71
2016-11-10,16.16,16.49,14.56,14.66,1287500,14.66
2016-11-09,15.86,17.200001,15.69,16.16,1926800,16.16
2016-11-08,14.77,15.28,14.32,14.68,717500,14.68
2016-11-07,14.85,14.97,14.57,14.79,525900,14.79
2016-11-04,15.53,15.72,15.07,15.33,490800,15.33
2016-11-03,15.38,15.84,15.29,15.54,458400,15.54
2016-11-02,16.049999,16.43,15.30,15.47,924100,15.47
