Date,Open,High,Low,Close,Volume,Adj Close
2017-02-02,23.620001,23.620001,23.10,23.27,42400,23.27
2017-02-01,23.049999,23.459999,23.02,23.360001,62400,23.360001
2017-01-31,22.67,22.860001,22.50,22.75,30100,22.75
2017-01-30,23.049999,23.139999,22.870001,23.00,35200,23.00
2017-01-27,23.02,23.50,23.00,23.33,28500,23.33
2017-01-26,23.50,23.50,23.190001,23.309999,28900,23.309999
2017-01-25,23.459999,23.530001,22.889999,23.459999,57100,23.459999
2017-01-24,22.809999,23.190001,22.709999,23.049999,76900,23.049999
2017-01-23,21.51,23.08,21.440001,22.809999,139400,22.809999
2017-01-20,21.01,21.40,20.99,21.08,33100,21.08
2017-01-19,21.52,21.549999,21.030001,21.17,31200,21.17
2017-01-18,21.58,21.58,21.32,21.42,21700,21.42
2017-01-17,21.690001,21.91,21.540001,21.549999,27000,21.549999
2017-01-16,22.059999,22.09,21.790001,22.049999,13400,22.049999
2017-01-13,21.940001,22.16,21.809999,21.85,31500,21.85
2017-01-12,21.85,21.889999,21.41,21.73,54200,21.73
2017-01-11,21.43,21.959999,21.43,21.860001,27000,21.860001
2017-01-10,21.629999,21.74,21.50,21.629999,24900,21.629999
2017-01-09,21.129999,21.790001,21.129999,21.48,28400,21.48
2017-01-06,21.450001,21.559999,21.18,21.18,34500,21.18
2017-01-05,21.40,22.08,21.40,21.59,23900,21.59
2017-01-04,21.15,21.83,21.10,21.799999,45300,21.799999
2017-01-03,21.360001,21.76,21.219999,21.299999,22600,21.299999
2016-12-30,21.59,21.65,20.889999,21.02,37200,21.02
2016-12-29,21.879999,22.059999,21.629999,21.68,26600,21.68
2016-12-28,21.719999,22.26,21.719999,21.959999,43700,21.959999
2016-12-23,22.15,22.35,21.68,21.68,51000,21.68
2016-12-22,21.90,22.469999,21.860001,22.08,43800,22.08
2016-12-21,21.67,22.110001,21.629999,21.870001,34200,21.870001
2016-12-20,21.83,22.309999,21.610001,21.67,38800,21.67
2016-12-19,21.33,22.41,21.33,21.93,46600,21.93
2016-12-16,21.65,22.030001,21.440001,21.559999,45800,21.559999
2016-12-15,21.60,22.030001,21.27,21.58,84400,21.58
2016-12-14,21.25,21.58,20.940001,21.559999,255800,21.559999
2016-12-13,21.57,21.57,21.42,21.51,17500,21.51
2016-12-12,21.82,21.82,21.299999,21.41,18200,21.41
2016-12-09,21.66,21.66,21.40,21.60,33400,21.60
2016-12-08,21.01,21.73,21.01,21.40,60600,21.40
2016-12-07,20.50,21.049999,20.41,21.00,37600,21.00
2016-12-06,20.120001,20.73,20.120001,20.610001,30700,20.610001
2016-12-05,20.450001,20.66,20.00,20.120001,36900,20.120001
2016-12-02,19.76,20.389999,19.75,20.299999,49000,20.299999
2016-12-01,20.66,20.74,19.65,19.76,62200,19.76
2016-11-30,20.60,20.98,20.60,20.66,33300,20.66
2016-11-29,20.299999,20.940001,20.27,20.690001,41800,20.690001
2016-11-28,21.01,21.01,20.25,20.299999,34200,20.299999
2016-11-25,21.110001,21.290001,20.85,21.139999,19800,21.139999
2016-11-24,21.290001,21.42,21.01,21.01,4000,21.01
2016-11-23,21.07,21.370001,21.07,21.18,38900,21.18
2016-11-22,21.15,21.530001,21.049999,21.209999,42500,21.209999
2016-11-21,21.42,21.709999,21.049999,21.40,44700,21.40
2016-11-18,20.889999,21.799999,20.75,21.57,44800,21.57
2016-11-17,21.459999,21.790001,20.82,20.889999,51800,20.889999
2016-11-16,20.889999,21.50,20.889999,21.309999,33000,21.309999
2016-11-15,20.940001,21.33,20.700001,21.110001,43000,21.110001
2016-11-14,20.639999,21.43,20.52,20.66,43500,20.66
2016-11-11,20.309999,21.16,20.309999,20.82,72600,20.82
2016-11-10,19.99,20.49,19.959999,20.290001,95400,20.290001
2016-11-09,19.93,20.049999,19.25,19.809999,93200,19.809999
2016-11-08,19.709999,20.379999,19.530001,20.34,65100,20.34
2016-11-07,19.780001,20.709999,19.48,19.60,118800,19.60
2016-11-04,17.98,19.48,17.98,19.23,271100,19.23
2016-11-03,17.059999,17.059999,16.48,16.780001,40500,16.780001
2016-11-02,17.629999,17.629999,17.040001,17.200001,67700,17.200001
2016-11-01,17.91,18.26,17.559999,17.68,41900,17.68
2016-10-31,18.15,18.58,18.129999,18.34,20100,18.34
2016-10-28,18.01,18.530001,17.98,18.16,20200,18.16
2016-10-27,18.110001,18.219999,18.07,18.129999,13000,18.129999
2016-10-26,18.110001,18.620001,18.07,18.18,30000,18.18
2016-10-25,18.700001,18.700001,18.25,18.43,30300,18.43
2016-10-24,18.27,18.68,18.27,18.629999,19200,18.629999
2016-10-21,17.790001,18.27,17.68,18.25,23400,18.25
2016-10-20,17.809999,18.040001,17.73,17.780001,22700,17.780001
2016-10-19,17.60,17.950001,17.459999,17.91,16000,17.91
2016-10-18,17.469999,17.73,17.450001,17.57,19200,17.57
2016-10-17,17.790001,17.860001,17.48,17.530001,17100,17.530001
2016-10-14,17.969999,18.129999,17.75,17.85,28400,17.85
2016-10-13,18.030001,18.049999,17.549999,17.90,29900,17.90
2016-10-12,17.91,18.219999,17.719999,18.01,51000,18.01
2016-10-11,18.34,18.389999,17.959999,17.99,41400,17.99
2016-10-07,18.18,18.65,18.18,18.559999,21800,18.559999
2016-10-06,18.25,18.620001,18.24,18.52,35500,18.52
2016-10-05,18.450001,18.76,18.440001,18.690001,25300,18.690001
2016-10-04,18.450001,18.610001,18.25,18.549999,19000,18.549999
2016-10-03,18.82,18.82,18.24,18.27,52300,18.27
2016-09-30,18.58,19.01,18.58,18.92,33500,18.92
2016-09-29,18.389999,18.83,18.389999,18.719999,23500,18.719999
2016-09-28,18.370001,18.620001,18.309999,18.440001,20900,18.440001
2016-09-27,18.50,18.50,18.299999,18.35,21800,18.35
2016-09-26,18.74,18.74,18.32,18.34,16400,18.34
2016-09-23,18.65,18.76,18.530001,18.66,129100,18.66
2016-09-22,18.549999,18.700001,18.450001,18.65,20900,18.65
2016-09-21,18.450001,18.66,18.299999,18.43,14700,18.43
2016-09-20,18.469999,18.51,18.18,18.25,15800,18.25
2016-09-19,18.389999,18.66,18.129999,18.290001,40400,18.290001
2016-09-16,18.41,18.42,18.18,18.200001,24300,18.200001
2016-09-15,18.09,18.50,18.08,18.379999,20200,18.379999
2016-09-14,18.33,18.50,17.93,17.959999,46700,17.959999
2016-09-13,18.73,18.73,18.209999,18.50,28900,18.50
2016-09-12,18.34,18.60,17.969999,18.52,20700,18.52
2016-09-09,18.469999,18.559999,18.129999,18.25,37800,18.25
2016-09-08,18.780001,18.799999,18.52,18.57,16000,18.57
2016-09-07,18.450001,18.84,18.450001,18.67,37500,18.67
2016-09-06,18.940001,18.940001,18.40,18.52,45900,18.52
2016-09-02,18.59,18.690001,18.299999,18.65,23900,18.65
2016-09-01,18.530001,18.60,18.23,18.440001,28200,18.440001
2016-08-31,18.690001,18.690001,18.32,18.370001,18900,18.370001
2016-08-30,18.50,18.92,18.50,18.629999,16100,18.629999
2016-08-29,18.629999,18.77,18.459999,18.57,25800,18.57
2016-08-26,18.620001,18.860001,18.559999,18.73,23400,18.73
2016-08-25,18.59,18.74,18.379999,18.610001,26600,18.610001
2016-08-24,19.110001,19.110001,18.559999,18.59,43500,18.59
2016-08-23,18.90,19.10,18.85,18.870001,29000,18.870001
2016-08-22,18.610001,18.889999,18.530001,18.82,28000,18.82
2016-08-19,18.700001,18.93,18.68,18.719999,19600,18.719999
2016-08-18,18.76,18.90,18.629999,18.690001,24700,18.690001
2016-08-17,18.700001,18.82,18.58,18.690001,39100,18.690001
2016-08-16,18.620001,18.780001,18.51,18.639999,42000,18.639999
2016-08-15,18.620001,18.870001,18.41,18.77,24400,18.77
2016-08-12,18.82,18.969999,18.49,18.57,39300,18.57
2016-08-11,19.16,19.33,18.83,18.84,49800,18.84
2016-08-10,19.219999,19.35,19.10,19.280001,67400,19.280001
2016-08-09,19.00,19.549999,19.00,19.209999,120400,19.209999
2016-08-08,18.32,19.26,18.32,18.940001,105400,18.940001
2016-08-05,18.51,19.209999,17.790001,18.33,289200,18.33
2016-08-04,22.370001,22.549999,22.10,22.41,37300,22.41
2016-08-03,22.10,22.51,22.049999,22.379999,33000,22.379999
2016-08-02,23.08,23.129999,22.120001,22.209999,64100,22.209999
2016-07-29,23.700001,23.91,23.10,23.200001,31400,23.200001
2016-07-28,24.09,24.09,23.32,23.75,43500,23.75
2016-07-27,23.77,24.18,23.65,23.700001,37100,23.700001
2016-07-26,23.43,23.84,23.15,23.58,36900,23.58
2016-07-25,22.790001,23.35,22.790001,23.280001,31400,23.280001
2016-07-22,22.709999,23.23,22.709999,22.98,25500,22.98
2016-07-21,22.75,22.889999,22.629999,22.719999,23700,22.719999
2016-07-20,22.049999,22.780001,22.049999,22.639999,17700,22.639999
2016-07-19,22.48,22.809999,22.24,22.290001,19900,22.290001
2016-07-18,22.370001,23.07,22.370001,22.49,28900,22.49
2016-07-15,23.459999,23.459999,22.49,22.57,28000,22.57
2016-07-14,22.370001,23.32,22.370001,23.32,32800,23.32
2016-07-13,22.74,23.26,22.309999,22.459999,40900,22.459999
2016-07-12,23.00,23.16,22.790001,22.790001,32200,22.790001
2016-07-11,22.99,23.16,22.870001,22.959999,30700,22.959999
2016-07-08,22.40,22.940001,22.40,22.67,35300,22.67
2016-07-07,21.299999,22.299999,21.299999,22.18,35800,22.18
2016-07-06,21.540001,21.540001,20.73,21.24,29900,21.24
2016-07-05,22.110001,22.110001,21.059999,21.24,53800,21.24
2016-07-04,21.90,22.65,21.90,22.209999,10500,22.209999
2016-06-30,21.67,21.90,21.530001,21.889999,27200,21.889999
2016-06-29,21.700001,21.889999,21.370001,21.719999,31700,21.719999
2016-06-28,20.90,21.60,20.90,21.32,47600,21.32
2016-06-27,21.030001,21.469999,20.209999,20.389999,77200,20.389999
2016-06-24,21.17,21.93,21.00,21.82,75300,21.82
2016-06-23,22.290001,22.469999,22.059999,22.440001,26600,22.440001
2016-06-22,21.870001,22.610001,21.870001,22.110001,29600,22.110001
2016-06-21,22.33,22.34,21.85,21.85,50600,21.85
2016-06-20,23.040001,23.27,22.299999,22.299999,52600,22.299999
2016-06-17,22.50,22.889999,22.25,22.459999,88200,22.459999
2016-06-16,23.34,23.450001,22.200001,22.639999,65100,22.639999
2016-06-15,22.700001,23.780001,22.40,23.59,46500,23.59
2016-06-14,23.25,23.639999,22.57,22.719999,64400,22.719999
2016-06-13,23.67,23.879999,23.26,23.290001,38200,23.290001
2016-06-10,24.75,24.75,23.610001,23.790001,49700,23.790001
2016-06-09,25.40,25.52,24.90,24.99,26900,24.99
2016-06-08,25.90,25.90,25.18,25.51,76300,25.51
2016-06-07,25.50,25.82,25.280001,25.370001,40300,25.370001
2016-06-06,25.700001,25.790001,25.40,25.49,25900,25.49
2016-06-03,25.83,25.83,24.98,25.66,43700,25.66
2016-06-02,25.82,26.040001,25.76,25.969999,27800,25.969999
2016-06-01,25.719999,26.18,25.450001,25.879999,33300,25.879999
2016-05-31,25.98,26.48,25.73,25.92,62400,25.92
2016-05-30,25.77,26.00,25.58,25.65,13300,25.65
2016-05-27,26.00,26.26,25.809999,25.90,38800,25.90
2016-05-26,25.809999,26.129999,25.629999,25.799999,37500,25.799999
2016-05-25,26.16,26.50,25.76,25.799999,50000,25.799999
2016-05-24,25.379999,26.10,25.299999,25.90,79600,25.90
2016-05-20,24.780001,25.440001,24.629999,25.27,60000,25.27
2016-05-19,24.59,25.41,24.48,24.690001,55700,24.690001
2016-05-18,24.50,25.049999,24.49,24.629999,55500,24.629999
2016-05-17,24.59,25.08,24.200001,24.57,64000,24.57
2016-05-16,23.530001,25.24,23.530001,24.73,89500,24.73
2016-05-13,23.76,24.299999,23.58,23.65,51400,23.65
2016-05-12,23.66,24.059999,23.33,23.610001,51300,23.610001
2016-05-11,23.639999,23.68,23.00,23.60,104100,23.60
2016-05-10,23.040001,23.610001,22.99,23.459999,68200,23.459999
2016-05-09,22.969999,23.700001,22.809999,23.049999,113300,23.049999
2016-05-06,20.309999,24.50,20.309999,22.99,329900,22.99
2016-05-05,19.219999,19.639999,18.719999,18.83,50500,18.83
2016-05-04,19.23,20.059999,19.09,19.32,48500,19.32
2016-05-03,20.209999,20.290001,19.43,19.540001,56400,19.540001
2016-05-02,20.58,20.60,20.00,20.370001,37200,20.370001
2016-04-29,20.049999,20.40,19.82,20.27,55200,20.27
2016-04-28,20.25,20.67,20.09,20.190001,35500,20.190001
2016-04-27,19.879999,20.42,19.879999,20.290001,30200,20.290001
2016-04-26,20.59,20.790001,20.200001,20.290001,46800,20.290001
2016-04-25,20.540001,20.58,20.00,20.26,33100,20.26
2016-04-22,20.290001,20.68,20.200001,20.469999,29500,20.469999
2016-04-21,20.370001,20.610001,19.75,19.959999,33000,19.959999
2016-04-20,20.23,20.540001,20.15,20.360001,53900,20.360001
2016-04-19,20.09,20.24,19.809999,20.190001,27300,20.190001
2016-04-18,19.85,20.18,19.58,19.870001,33500,19.870001
2016-04-15,20.209999,20.40,19.83,19.92,38400,19.92
