Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,7.80,7.91,7.69,7.89,1696500,7.89
2017-02-09,7.86,7.98,7.78,7.83,613300,7.83
2017-02-08,7.53,7.86,7.52,7.84,745100,7.84
2017-02-07,7.68,7.68,7.55,7.57,303500,7.57
2017-02-06,7.74,7.79,7.65,7.68,246900,7.68
2017-02-03,7.64,7.84,7.62,7.72,593100,7.72
2017-02-02,7.62,7.68,7.55,7.62,304800,7.62
2017-02-01,7.75,7.75,7.55,7.64,301200,7.64
2017-01-31,7.59,7.71,7.50,7.70,459400,7.70
2017-01-30,7.71,7.73,7.50,7.56,639200,7.56
2017-01-27,7.77,7.85,7.70,7.77,426300,7.77
2017-01-26,7.89,7.98,7.77,7.80,490600,7.80
2017-01-25,7.81,7.97,7.81,7.93,563600,7.93
2017-01-24,7.84,7.87,7.77,7.81,364600,7.81
2017-01-23,7.69,7.86,7.68,7.83,638800,7.83
2017-01-20,7.85,7.88,7.74,7.76,519900,7.76
2017-01-19,7.99,8.00,7.80,7.87,1050600,7.87
2017-01-18,8.09,8.11,7.94,7.99,670900,7.99
2017-01-17,8.00,8.12,7.96,8.07,538200,8.07
2017-01-16,7.99,8.04,7.94,8.00,334700,8.00
2017-01-13,7.83,7.97,7.83,7.95,732600,7.95
2017-01-12,7.70,7.88,7.65,7.85,757500,7.85
2017-01-11,7.58,7.76,7.58,7.70,640500,7.70
2017-01-10,7.31,7.62,7.31,7.58,811200,7.58
2017-01-09,7.42,7.44,7.28,7.34,372300,7.34
2017-01-06,7.46,7.46,7.34,7.44,333900,7.44
2017-01-05,7.42,7.49,7.42,7.44,373700,7.44
2017-01-04,7.34,7.47,7.32,7.40,714000,7.40
2017-01-03,7.38,7.47,7.26,7.30,598200,7.30
2016-12-30,7.49,7.54,7.42,7.43,270000,7.43
2016-12-29,7.37,7.50,7.37,7.50,400900,7.50
2016-12-28,7.32,7.43,7.31,7.40,664000,7.40
2016-12-23,7.41,7.48,7.35,7.37,296600,7.37
2016-12-22,7.41,7.60,7.41,7.46,719800,7.46
2016-12-21,7.26,7.43,7.26,7.41,676800,7.41
2016-12-20,7.50,7.65,7.21,7.26,1149200,7.26
2016-12-19,7.26,7.63,7.26,7.48,1079600,7.48
2016-12-16,7.11,7.32,7.11,7.30,1109200,7.30
2016-12-15,7.20,7.27,7.03,7.17,682200,7.17
2016-12-14,7.24,7.34,7.22,7.23,770800,7.23
2016-12-13,7.36,7.40,7.24,7.30,674000,7.30
2016-12-12,7.47,7.56,7.32,7.36,766000,7.36
2016-12-09,7.47,7.66,7.45,7.54,1253800,7.54
2016-12-08,7.31,7.46,7.31,7.43,824500,7.43
2016-12-07,7.26,7.47,7.26,7.32,1006600,7.32
2016-12-06,7.26,7.37,7.25,7.31,478600,7.31
2016-12-05,7.25,7.40,7.23,7.32,638100,7.32
2016-12-02,7.23,7.31,7.23,7.25,536300,7.25
2016-12-01,7.35,7.49,7.18,7.23,944200,7.23
2016-11-30,7.22,7.39,7.22,7.35,1163000,7.35
2016-11-29,7.29,7.31,7.14,7.24,1061900,7.24
2016-11-28,7.25,7.38,7.12,7.35,1819900,7.31
2016-11-25,6.60,7.39,6.60,7.33,4811300,7.290109
2016-11-24,5.86,6.34,5.85,6.26,2155300,6.225932
2016-11-23,5.64,5.83,5.61,5.81,1226200,5.778381
2016-11-22,5.50,5.74,5.50,5.64,1000000,5.609306
2016-11-21,5.57,5.63,5.47,5.57,992700,5.539687
2016-11-18,5.36,5.66,5.36,5.62,1603200,5.589415
2016-11-17,5.25,5.40,5.25,5.36,739700,5.33083
2016-11-16,5.15,5.31,5.15,5.25,548600,5.221428
2016-11-15,5.15,5.24,5.11,5.22,589300,5.191591
2016-11-14,5.33,5.34,5.12,5.17,779800,5.141864
2016-11-11,5.45,5.45,5.25,5.31,842600,5.281102
2016-11-10,5.63,5.65,5.45,5.46,724100,5.430286
2016-11-09,5.67,5.75,5.57,5.61,552400,5.579469
2016-11-08,5.70,5.76,5.63,5.74,592600,5.708762
2016-11-07,5.82,5.90,5.71,5.73,1063700,5.698816
