Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,9.38,9.46,9.38,9.46,58400,9.46
2016-12-29,9.36,9.39,9.32,9.37,52000,9.37
2016-12-28,9.55,9.63,9.28,9.35,164700,9.35
2016-12-23,9.50,9.58,9.41,9.51,127500,9.445
2016-12-22,9.52,9.58,9.41,9.52,93300,9.454932
2016-12-21,9.67,9.73,9.54,9.54,151700,9.474795
2016-12-20,9.60,9.70,9.55,9.68,118000,9.613838
2016-12-19,9.59,9.68,9.54,9.60,112800,9.534385
2016-12-16,9.59,9.69,9.56,9.56,322700,9.494659
2016-12-15,9.55,9.63,9.43,9.54,235700,9.474795
2016-12-14,9.62,9.74,9.60,9.62,356600,9.554248
2016-12-13,9.83,9.83,9.61,9.64,248400,9.574112
2016-12-12,9.71,9.85,9.71,9.76,155700,9.693291
2016-12-09,9.62,9.77,9.59,9.73,119700,9.663496
2016-12-08,9.52,9.66,9.49,9.59,243800,9.524453
2016-12-07,9.45,9.51,9.40,9.51,154200,9.445
2016-12-06,9.40,9.47,9.32,9.40,153000,9.335751
2016-12-05,9.46,9.48,9.37,9.41,104600,9.345683
2016-12-02,9.48,9.53,9.40,9.44,102800,9.375478
2016-12-01,9.65,9.74,9.40,9.49,135300,9.425136
2016-11-30,9.59,9.74,9.49,9.69,193800,9.623769
2016-11-29,9.46,9.57,9.40,9.51,63700,9.445
2016-11-28,9.36,9.54,9.36,9.49,89400,9.425136
2016-11-25,9.36,9.49,9.15,9.44,96800,9.375478
2016-11-24,9.49,9.49,9.38,9.43,62500,9.365547
2016-11-23,9.21,9.53,9.19,9.48,202500,9.415204
2016-11-22,9.31,9.40,9.20,9.24,143300,9.176845
2016-11-21,9.34,9.40,9.18,9.26,205100,9.196709
2016-11-18,9.09,9.38,9.07,9.29,235700,9.226504
2016-11-17,8.90,9.16,8.90,9.09,231100,9.027871
2016-11-16,8.86,8.90,8.75,8.85,254700,8.789511
2016-11-15,9.03,9.11,8.86,8.92,217100,8.859033
2016-11-14,8.94,9.10,8.84,8.93,310500,8.868964
2016-11-11,9.02,9.03,8.78,8.85,174500,8.789511
2016-11-10,8.97,9.10,8.80,8.99,336600,8.928554
2016-11-09,8.29,8.45,8.26,8.40,124300,8.342586
2016-11-08,8.37,8.46,8.31,8.40,157500,8.342586
2016-11-07,8.67,8.68,8.34,8.37,358200,8.312792
2016-11-04,8.58,8.62,8.53,8.56,110600,8.501493
2016-11-03,8.56,8.76,8.54,8.60,110500,8.54122
2016-11-02,8.75,8.75,8.57,8.59,166300,8.531288
2016-11-01,8.75,8.83,8.74,8.76,196200,8.700126
2016-10-31,8.80,8.82,8.68,8.74,116600,8.680263
2016-10-28,8.99,9.01,8.77,8.80,454100,8.739853
2016-10-27,9.08,9.08,8.96,9.00,179800,8.938486
2016-10-26,8.96,9.13,8.96,9.04,275900,8.978212
2016-10-25,9.06,9.06,8.94,9.00,123200,8.938486
2016-10-24,9.05,9.05,8.94,9.05,75900,8.988144
2016-10-21,8.96,9.04,8.93,8.99,146000,8.928554
2016-10-20,8.99,9.03,8.92,8.97,109700,8.908691
2016-10-19,8.95,9.01,8.92,8.97,105800,8.908691
2016-10-18,8.95,9.10,8.85,8.94,277200,8.878895
2016-10-17,8.97,8.98,8.82,8.88,114500,8.819306
2016-10-14,9.02,9.06,8.90,8.95,219100,8.888827
2016-10-13,9.01,9.02,8.89,8.99,152700,8.928554
2016-10-12,9.06,9.15,8.91,9.03,218100,8.96828
2016-10-11,9.17,9.25,9.03,9.06,139900,8.998076
2016-10-07,9.21,9.31,9.12,9.15,86200,9.08746
2016-10-06,9.22,9.23,9.12,9.19,103700,9.127187
2016-10-05,9.17,9.24,9.15,9.20,121200,9.137119
2016-10-04,9.25,9.26,9.10,9.13,342800,9.067597
2016-10-03,9.27,9.28,9.19,9.21,150300,9.14705
2016-09-30,9.37,9.39,9.25,9.26,115700,9.196709
2016-09-29,9.31,9.38,9.22,9.31,255600,9.246367
2016-09-28,9.30,9.36,9.18,9.32,347400,9.256298
2016-09-27,9.21,9.36,9.20,9.25,316300,9.122221
2016-09-26,9.45,9.47,9.25,9.27,218600,9.141945
2016-09-23,9.55,9.57,9.39,9.51,429200,9.37863
2016-09-22,9.43,9.58,9.34,9.55,216800,9.418077
2016-09-21,9.19,9.37,9.16,9.36,147500,9.230701
2016-09-20,9.17,9.27,9.13,9.16,158100,9.033464
2016-09-19,8.99,9.21,8.96,9.17,381900,9.043326
2016-09-16,9.20,9.30,8.86,8.86,1293700,8.737608
2016-09-15,9.30,9.30,9.21,9.23,173600,9.102497
2016-09-14,9.18,9.32,9.18,9.26,270200,9.132083
2016-09-13,9.39,9.40,9.14,9.17,297800,9.043326
2016-09-12,9.50,9.50,9.35,9.42,180400,9.289873
2016-09-09,9.70,9.80,9.54,9.55,232400,9.418077
2016-09-08,9.57,9.76,9.57,9.73,414000,9.59559
2016-09-07,9.71,9.74,9.56,9.62,143400,9.48711
2016-09-06,9.75,9.80,9.56,9.68,208300,9.546282
2016-09-02,9.57,9.74,9.57,9.68,359600,9.546282
2016-09-01,9.65,9.65,9.56,9.58,103600,9.447663
2016-08-31,9.64,9.70,9.56,9.65,133500,9.516695
2016-08-30,9.72,9.82,9.63,9.68,127100,9.546282
2016-08-29,9.80,9.85,9.72,9.75,205700,9.615314
2016-08-26,9.91,9.96,9.79,9.83,130900,9.694209
2016-08-25,10.00,10.01,9.87,9.91,166100,9.773104
2016-08-24,10.15,10.16,10.02,10.02,145900,9.881585
2016-08-23,9.95,10.11,9.86,10.11,230000,9.970341
2016-08-22,9.95,9.98,9.77,9.87,210200,9.733657
2016-08-19,9.88,10.01,9.82,9.93,252400,9.792828
2016-08-18,10.09,10.09,9.87,9.93,140700,9.792828
2016-08-17,10.32,10.32,10.00,10.06,376000,9.921032
2016-08-16,10.22,10.28,10.15,10.24,185600,10.098545
2016-08-15,10.32,10.33,10.09,10.20,302800,10.059098
2016-08-12,10.07,10.34,10.02,10.26,875400,10.118269
2016-08-11,9.56,10.17,9.56,10.16,625800,10.01965
2016-08-10,9.57,9.60,9.36,9.45,253300,9.319458
2016-08-09,9.52,9.62,9.52,9.52,316500,9.388492
2016-08-08,9.45,9.54,9.41,9.51,122000,9.37863
2016-08-05,9.39,9.48,9.35,9.40,230200,9.270149
2016-08-04,9.46,9.48,9.29,9.36,174400,9.230701
2016-08-03,9.30,9.50,9.27,9.48,436500,9.349044
2016-08-02,9.45,9.45,9.18,9.28,149900,9.151807
2016-07-29,9.43,9.48,9.41,9.41,68400,9.280011
2016-07-28,9.52,9.54,9.41,9.48,115200,9.349044
2016-07-27,9.67,9.73,9.51,9.54,270700,9.408215
2016-07-26,9.74,9.82,9.56,9.62,303400,9.48711
2016-07-25,9.83,9.83,9.69,9.73,104800,9.59559
2016-07-22,9.72,9.80,9.65,9.77,118500,9.635039
2016-07-21,9.79,9.79,9.61,9.70,178800,9.566005
2016-07-20,9.60,9.78,9.53,9.73,478500,9.59559
2016-07-19,9.41,9.78,9.41,9.55,695100,9.418077
2016-07-18,9.13,9.45,9.13,9.41,415700,9.280011
2016-07-15,9.10,9.17,9.07,9.12,661000,8.994017
2016-07-14,9.08,9.10,9.03,9.08,107400,8.95457
2016-07-13,9.12,9.18,9.02,9.02,243500,8.895399
2016-07-12,9.06,9.14,9.03,9.08,285700,8.95457
2016-07-11,8.90,9.09,8.87,9.03,551000,8.90526
2016-07-08,8.60,8.92,8.56,8.89,269200,8.767195
2016-07-07,8.50,8.55,8.45,8.53,108200,8.412167
2016-07-06,8.65,8.70,8.44,8.45,500400,8.333272
2016-07-05,8.69,8.73,8.55,8.59,130500,8.471339
2016-07-04,8.80,8.80,8.54,8.68,154700,8.560096
2016-06-30,8.74,8.85,8.70,8.70,180000,8.579819
2016-06-29,8.48,8.76,8.46,8.75,351800,8.629128
2016-06-28,8.25,8.46,8.24,8.43,340800,8.313549
2016-06-27,8.50,8.52,8.18,8.18,294800,8.0029
2016-06-24,8.50,8.57,8.36,8.50,296000,8.315972
2016-06-23,8.66,8.79,8.62,8.64,139500,8.452941
2016-06-22,8.60,8.67,8.59,8.60,104300,8.413807
2016-06-21,8.68,8.68,8.57,8.57,169100,8.384456
2016-06-20,8.60,8.77,8.60,8.67,114700,8.482291
2016-06-17,8.64,8.66,8.57,8.57,281700,8.384456
2016-06-16,8.53,8.62,8.50,8.60,200700,8.413807
2016-06-15,8.63,8.74,8.53,8.53,195600,8.345322
2016-06-14,8.84,8.87,8.57,8.66,402000,8.472508
2016-06-13,8.92,8.92,8.80,8.84,138600,8.648611
2016-06-10,8.98,9.01,8.88,8.92,166200,8.726879
2016-06-09,9.13,9.13,8.99,9.06,103500,8.863848
2016-06-08,9.25,9.32,9.09,9.11,218600,8.912765
2016-06-07,9.09,9.22,9.06,9.21,185900,9.0106
2016-06-06,9.13,9.22,9.06,9.09,238200,8.893198
2016-06-03,8.83,9.09,8.72,9.08,317600,8.883415
2016-06-02,8.64,8.80,8.62,8.80,443800,8.609477
2016-06-01,8.52,8.67,8.48,8.64,316000,8.452941
2016-05-31,8.68,8.69,8.53,8.55,422100,8.364889
