Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,66.790001,67.50,66.68,67.449997,3263700,67.449997
2017-01-19,66.68,66.849998,66.529999,66.610001,1662800,66.610001
2017-01-18,66.449997,66.720001,66.080002,66.68,3482100,66.68
2017-01-17,66.82,66.870003,66.260002,66.370003,2590300,66.370003
2017-01-16,67.199997,67.220001,66.809998,67.00,921800,67.00
2017-01-13,67.379997,67.660004,67.099998,67.099998,2836500,67.099998
2017-01-12,67.199997,67.209999,66.790001,67.099998,2769400,67.099998
2017-01-11,67.25,67.389999,66.809998,67.349998,2801500,67.349998
2017-01-10,67.07,67.269997,66.919998,67.099998,1978500,67.099998
2017-01-09,67.199997,67.290001,66.730003,67.040001,2339000,67.040001
2017-01-06,67.330002,67.50,67.019997,67.349998,3504000,67.349998
2017-01-05,67.699997,68.080002,67.610001,67.809998,4040500,67.259999
2017-01-04,67.199997,67.82,67.00,67.650002,3754300,67.1013
2017-01-03,66.629997,66.959999,66.599998,66.910004,2196400,66.367305
2016-12-30,66.779999,66.779999,66.169998,66.220001,2146200,65.682899
2016-12-29,67.07,67.220001,66.400002,66.75,1810600,66.208599
2016-12-28,67.349998,67.379997,66.860001,67.099998,1648000,66.555758
2016-12-23,67.230003,67.389999,67.07,67.07,1384300,66.526003
2016-12-22,67.00,67.400002,66.769997,67.230003,3221200,66.684709
2016-12-21,66.989998,67.110001,66.900002,66.949997,1639800,66.406973
2016-12-20,66.959999,67.209999,66.889999,66.970001,2298000,66.426816
2016-12-19,66.580002,66.809998,66.440002,66.709999,2060700,66.168922
2016-12-16,66.849998,66.959999,66.32,66.440002,23210400,65.901115
2016-12-15,65.790001,66.779999,65.790001,66.510002,5925200,65.970547
2016-12-14,66.089996,66.099998,65.559998,65.769997,5220700,65.236544
2016-12-13,65.599998,66.290001,65.599998,66.050003,4375400,65.514279
2016-12-12,65.75,65.870003,65.330002,65.449997,2814700,64.91914
2016-12-09,65.309998,65.870003,65.199997,65.75,2214700,65.21671
2016-12-08,64.699997,65.360001,64.620003,65.169998,4079000,64.641412
2016-12-07,64.139999,64.669998,63.790001,64.559998,3138900,64.036359
2016-12-06,63.84,64.169998,63.84,63.98,2405400,63.461065
2016-12-05,63.619999,63.869999,63.43,63.599998,2369000,63.084146
2016-12-02,63.189999,63.52,62.939999,63.32,2986400,62.806419
2016-12-01,64.00,64.00,62.630001,63.07,4499400,62.558446
2016-11-30,64.239998,64.300003,63.549999,63.57,4069500,63.054391
2016-11-29,64.18,64.410004,63.990002,64.089996,2695000,63.57017
2016-11-28,64.269997,64.449997,63.68,63.93,2982300,63.411472
2016-11-25,64.300003,64.589996,63.82,64.32,1756800,63.798308
2016-11-24,63.900002,64.32,63.869999,64.129997,866800,63.609846
2016-11-23,63.599998,64.199997,63.59,63.950001,2099800,63.43131
2016-11-22,63.669998,63.880001,63.400002,63.59,2440300,63.074229
2016-11-21,63.509998,63.52,63.259998,63.32,2637900,62.806419
2016-11-18,62.700001,63.48,62.669998,63.27,1919000,62.756825
2016-11-17,62.450001,63.009998,62.119999,62.75,3095400,62.241042
2016-11-16,62.18,62.50,61.919998,62.400002,3430200,61.893883
2016-11-15,63.27,63.27,62.330002,62.400002,3223300,61.893883
2016-11-14,61.950001,62.959999,61.91,62.919998,4100900,62.409662
2016-11-11,61.869999,62.099998,61.169998,61.66,2563700,61.159883
2016-11-10,61.00,61.98,60.939999,61.889999,3349200,61.388017
2016-11-09,60.02,60.779999,60.02,60.560001,3107600,60.068806
2016-11-08,60.400002,60.650002,60.16,60.529999,1710900,60.039047
2016-11-07,60.200001,60.610001,60.189999,60.369999,3034500,59.880345
2016-11-04,60.080002,60.150002,59.599998,59.709999,2276200,59.225698
2016-11-03,60.540001,60.75,60.18,60.380001,2123300,59.890266
2016-11-02,60.59,60.73,60.349998,60.419998,2063200,59.929939
2016-11-01,60.91,60.950001,60.48,60.779999,2147100,60.287019
2016-10-31,60.490002,61.029999,60.450001,60.860001,2531700,60.366372
2016-10-28,60.68,60.799999,60.380001,60.52,4728400,60.02913
2016-10-27,60.73,60.990002,60.580002,60.75,4883400,60.257264
2016-10-26,60.220001,60.84,60.049999,60.630001,2907600,60.138238
2016-10-25,60.200001,60.34,60.040001,60.32,2154000,59.830751
2016-10-24,60.25,60.380001,60.040001,60.16,1885400,59.672049
2016-10-21,59.34,60.23,59.25,60.00,2496000,59.513347
2016-10-20,59.02,59.43,58.98,59.369999,2712600,58.888456
2016-10-19,58.98,59.279999,58.82,59.09,1770100,58.610728
2016-10-18,58.599998,58.959999,58.549999,58.93,2158400,58.452026
2016-10-17,58.279999,58.529999,58.209999,58.48,1525000,58.005675
2016-10-14,58.349998,58.560001,58.200001,58.290001,2688100,57.817218
2016-10-13,57.610001,58.27,57.419998,58.23,2589300,57.757703
2016-10-12,57.900002,58.150002,57.59,57.919998,1906100,57.450216
2016-10-11,58.279999,58.34,57.779999,57.919998,1818700,57.450216
2016-10-07,58.080002,58.34,57.869999,58.27,2097900,57.797379
2016-10-06,58.029999,58.389999,58.029999,58.16,1998600,57.688271
2016-10-05,57.849998,58.299999,57.849998,58.18,2157500,57.708109
2016-10-04,58.400002,58.59,58.119999,58.419998,3029200,57.400619
2016-10-03,58.299999,58.349998,57.959999,58.279999,2085500,57.263063
2016-09-30,58.450001,58.560001,58.240002,58.240002,2749900,57.223764
2016-09-29,58.349998,58.560001,58.110001,58.279999,1475600,57.263063
2016-09-28,58.049999,58.389999,58.049999,58.330002,1855500,57.312193
2016-09-27,57.849998,58.119999,57.560001,57.91,1888800,56.89952
2016-09-26,57.950001,58.00,57.75,57.82,1658100,56.81109
2016-09-23,58.169998,58.299999,57.98,58.16,1527300,57.145158
2016-09-22,58.09,58.369999,58.02,58.240002,1709800,57.223764
2016-09-21,57.720001,57.950001,57.619999,57.880001,1486200,56.870045
2016-09-20,57.599998,57.720001,57.41,57.599998,2007400,56.594928
2016-09-19,57.380001,57.700001,57.060001,57.279999,2203000,56.280512
2016-09-16,57.549999,57.66,56.950001,57.18,7597200,56.182258
2016-09-15,57.09,57.610001,57.00,57.549999,2299300,56.545801
2016-09-14,57.299999,57.389999,56.93,56.990002,1992600,55.995575
2016-09-13,57.650002,57.73,57.049999,57.330002,2662700,56.329643
2016-09-12,57.77,57.990002,57.689999,57.970001,2586800,56.958475
2016-09-09,58.099998,58.27,57.73,58.07,2063700,57.056728
2016-09-08,58.279999,58.43,58.060001,58.18,1392300,57.164809
2016-09-07,58.599998,58.68,58.23,58.48,1939300,57.459574
2016-09-06,58.889999,58.889999,58.299999,58.700001,1833300,57.675736
2016-09-02,58.810001,59.099998,58.66,58.77,2188000,57.744514
2016-09-01,58.43,58.919998,58.360001,58.669998,1788100,57.646257
2016-08-31,58.700001,58.849998,58.130001,58.52,3156400,57.498877
2016-08-30,58.130001,58.790001,58.130001,58.700001,3889800,57.675736
2016-08-29,57.48,58.130001,57.400002,58.060001,3024500,57.046904
2016-08-26,57.310001,57.59,57.169998,57.290001,2249700,56.29034
