Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,12.57,12.57,12.06,12.06,818500,12.06
2017-02-08,12.44,12.59,12.23,12.43,1025400,12.43
2017-02-07,12.29,12.48,12.16,12.35,1035100,12.35
2017-02-06,11.95,12.37,11.80,12.34,1663100,12.34
2017-02-03,11.75,11.87,11.66,11.77,726500,11.77
2017-02-02,11.93,12.00,11.59,11.73,1925600,11.73
2017-02-01,11.64,11.82,11.48,11.72,2209900,11.72
2017-01-31,12.00,12.04,11.72,11.87,1673900,11.87
2017-01-30,11.68,11.88,11.55,11.86,1093000,11.86
2017-01-27,11.30,11.66,11.27,11.61,1302100,11.61
2017-01-26,11.56,11.62,11.34,11.35,2693800,11.35
2017-01-25,11.80,11.91,11.68,11.79,1704100,11.79
2017-01-24,12.43,12.43,11.92,12.05,2163400,12.05
2017-01-23,12.31,12.42,12.14,12.34,1356900,12.34
2017-01-20,11.95,12.30,11.77,12.10,1446500,12.10
2017-01-19,11.89,12.00,11.70,11.92,2511900,11.92
2017-01-18,12.00,12.35,11.94,12.21,1718400,12.21
2017-01-17,12.15,12.16,11.82,11.94,1474300,11.94
2017-01-16,12.00,12.07,11.69,11.75,601400,11.724
2017-01-13,11.57,11.89,11.44,11.84,2111800,11.813801
2017-01-12,12.20,12.25,11.52,11.70,1998300,11.67411
2017-01-11,11.89,12.11,11.53,11.96,1758500,11.933535
2017-01-10,12.37,12.61,11.79,11.95,2936500,11.923557
2017-01-09,13.28,13.28,12.46,12.46,2335600,12.432429
2017-01-06,13.80,14.00,12.67,12.73,4992100,12.701831
2017-01-05,14.14,15.11,13.95,14.81,2405900,14.777229
2017-01-04,13.50,13.66,13.31,13.54,1492600,13.510039
2017-01-03,12.73,13.30,12.56,13.23,1295700,13.200725
2016-12-30,13.48,13.79,12.65,12.65,1353100,12.622008
2016-12-29,12.54,13.42,12.42,13.40,1452600,13.370349
2016-12-28,12.05,12.43,12.00,12.38,1546600,12.352606
2016-12-23,11.77,11.90,11.70,11.83,777900,11.803823
2016-12-22,11.78,11.96,11.68,11.75,703200,11.724
2016-12-21,11.67,11.87,11.60,11.75,962900,11.724
2016-12-20,11.50,11.61,11.13,11.50,1320500,11.474553
2016-12-19,11.80,11.96,11.60,11.69,1165900,11.664132
2016-12-16,11.84,11.95,11.51,11.64,2574100,11.614244
2016-12-15,12.46,12.46,11.37,11.66,2718200,11.634199
2016-12-14,13.55,13.93,12.70,12.75,1909600,12.721787
2016-12-13,13.06,13.33,12.93,13.24,1023600,13.210703
2016-12-12,12.94,13.22,12.83,12.98,1247400,12.925335
2016-12-09,13.00,13.06,12.60,12.64,1294700,12.586768
2016-12-08,13.31,13.32,12.96,13.21,1138200,13.154367
2016-12-07,13.36,13.59,13.25,13.30,1035700,13.243988
2016-12-06,13.16,13.49,13.05,13.18,752600,13.124494
2016-12-05,13.08,13.31,12.64,13.17,1503200,13.114536
2016-12-02,12.73,13.46,12.73,13.26,1105000,13.204157
2016-12-01,12.74,13.07,12.57,12.64,1187700,12.586768
2016-11-30,12.66,12.91,12.51,12.91,2210000,12.85563
2016-11-29,12.62,12.92,12.45,12.80,1508400,12.746094
2016-11-28,12.68,12.90,12.53,12.86,2262100,12.805841
2016-11-25,12.72,12.92,12.49,12.53,828100,12.477231
2016-11-24,12.59,12.59,12.39,12.55,267500,12.497147
2016-11-23,12.59,12.63,11.95,12.60,1740400,12.546936
2016-11-22,13.15,13.26,12.93,13.10,869900,13.044831
2016-11-21,12.77,13.16,12.75,13.11,1284300,13.054788
2016-11-18,12.88,13.07,12.43,12.64,1286400,12.586768
2016-11-17,12.95,13.49,12.82,13.04,1844700,12.985083
2016-11-16,13.15,13.21,12.62,12.92,1895000,12.865588
2016-11-15,13.26,13.62,12.90,13.13,1703700,13.074704
2016-11-14,12.86,13.56,12.38,13.23,1809100,13.174282
2016-11-11,13.80,14.50,13.12,13.16,2104500,13.077691
2016-11-10,14.61,14.64,13.73,13.80,1354200,13.713689
