Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2.97,2.99,2.92,2.99,28200,2.99
2017-02-08,2.99,3.00,2.90,2.98,107800,2.98
2017-02-07,3.02,3.09,2.92,3.00,87900,3.00
2017-02-06,2.96,3.12,2.95,2.99,111900,2.99
2017-02-03,2.99,3.00,2.89,2.97,154500,2.97
2017-02-02,3.00,3.00,2.77,3.00,192100,3.00
2017-02-01,3.02,3.04,2.90,2.95,111300,2.95
2017-01-31,2.84,3.12,2.76,3.00,154200,3.00
2017-01-30,2.90,2.90,2.69,2.84,108100,2.84
2017-01-27,2.47,2.95,2.44,2.86,478300,2.86
2017-01-26,2.32,2.48,2.20,2.41,157700,2.41
2017-01-25,2.26,2.28,2.16,2.27,50300,2.27
2017-01-24,2.24,2.35,2.19,2.20,38900,2.20
2017-01-23,2.03,2.27,2.03,2.20,112700,2.20
2017-01-20,2.14,2.14,2.03,2.04,28100,2.04
2017-01-19,2.15,2.15,2.12,2.13,10500,2.13
2017-01-18,2.05,2.15,2.05,2.15,41200,2.15
2017-01-17,2.19,2.20,2.01,2.10,30600,2.10
2017-01-16,2.23,2.23,2.17,2.19,21200,2.19
2017-01-13,2.18,2.23,2.10,2.18,42200,2.18
2017-01-12,2.24,2.24,2.16,2.20,33900,2.20
2017-01-11,2.26,2.26,2.11,2.24,58800,2.24
2017-01-10,2.30,2.30,2.04,2.23,151500,2.23
2017-01-09,2.07,2.31,2.04,2.24,159500,2.24
2017-01-06,2.54,2.54,2.00,2.01,256500,2.01
2017-01-05,2.48,2.59,2.47,2.52,205800,2.52
2017-01-04,2.42,2.50,2.39,2.48,219900,2.48
2017-01-03,2.45,2.51,2.30,2.41,106100,2.41
2016-12-30,2.12,2.41,2.12,2.40,98200,2.40
2016-12-29,2.04,2.15,1.77,2.12,292700,2.12
2016-12-28,2.25,2.48,1.81,2.04,165800,2.04
2016-12-23,2.28,2.29,2.16,2.29,76500,2.29
2016-12-22,2.35,2.35,2.18,2.26,87400,2.26
2016-12-21,2.09,2.34,2.08,2.25,202300,2.25
2016-12-20,1.98,2.15,1.97,2.09,159600,2.09
2016-12-19,1.90,1.99,1.88,1.95,315600,1.95
2016-12-16,1.68,1.90,1.63,1.90,70400,1.90
2016-12-15,1.72,1.72,1.65,1.66,32500,1.66
2016-12-14,1.75,1.77,1.64,1.72,113000,1.72
2016-12-13,1.80,1.80,1.70,1.75,52200,1.75
2016-12-12,1.70,1.79,1.70,1.78,47500,1.78
2016-12-09,1.72,1.72,1.55,1.69,121100,1.69
2016-12-08,1.66,1.78,1.61,1.74,56600,1.74
2016-12-07,1.71,1.73,1.65,1.73,50000,1.73
2016-12-06,1.80,1.80,1.65,1.71,190900,1.71
2016-12-05,1.76,1.82,1.73,1.80,27400,1.80
2016-12-02,1.84,1.96,1.78,1.81,126700,1.81
2016-12-01,1.77,1.99,1.77,1.88,150600,1.88
2016-11-30,1.66,1.75,1.63,1.75,95800,1.75
2016-11-29,1.55,1.64,1.52,1.62,128800,1.62
2016-11-28,1.56,1.56,1.52,1.55,28700,1.55
2016-11-25,1.54,1.59,1.50,1.59,132700,1.59
2016-11-24,1.60,1.63,1.50,1.59,28000,1.59
2016-11-23,1.49,1.59,1.46,1.53,57200,1.53
2016-11-22,1.49,1.53,1.45,1.45,78900,1.45
2016-11-21,1.38,1.55,1.32,1.50,290600,1.50
2016-11-18,1.30,1.37,1.28,1.32,128300,1.32
2016-11-17,1.19,1.36,1.19,1.26,130100,1.26
2016-11-16,1.13,1.18,1.11,1.15,40200,1.15
2016-11-15,1.17,1.18,1.15,1.15,289400,1.15
2016-11-14,1.16,1.19,1.14,1.15,85400,1.15
2016-11-11,1.22,1.22,1.11,1.16,94300,1.16
2016-11-10,1.06,1.20,1.06,1.20,23800,1.20
2016-11-09,1.05,1.10,1.05,1.10,87500,1.10
2016-11-08,1.20,1.25,1.15,1.16,48500,1.16
2016-11-07,1.12,1.21,1.12,1.17,26000,1.17
2016-11-04,1.16,1.16,1.16,1.16,14100,1.16
2016-11-03,1.15,1.16,1.13,1.15,6300,1.15
2016-11-02,1.12,1.20,1.12,1.17,25600,1.17
2016-11-01,1.08,1.08,1.08,1.08,700,1.08
2016-10-31,1.05,1.16,1.05,1.08,18200,1.08
2016-10-28,1.08,1.10,1.07,1.07,6500,1.07
2016-10-27,1.10,1.10,1.06,1.08,11300,1.08
2016-10-26,1.10,1.10,1.05,1.06,13200,1.06
2016-10-25,1.11,1.11,1.09,1.10,3300,1.10
2016-10-24,1.16,1.16,1.11,1.11,2600,1.11
2016-10-21,1.09,1.15,1.09,1.15,11200,1.15
2016-10-20,1.10,1.10,1.10,1.10,6400,1.10
2016-10-19,1.16,1.16,1.10,1.13,4000,1.13
2016-10-18,1.16,1.16,1.16,1.16,000,1.16
2016-10-17,1.15,1.21,1.15,1.16,17000,1.16
2016-10-14,1.15,1.17,1.15,1.15,13800,1.15
2016-10-13,1.10,1.20,1.06,1.17,50700,1.17
2016-10-12,1.12,1.15,1.10,1.14,12800,1.14
2016-10-11,1.20,1.28,1.13,1.20,152000,1.20
2016-10-07,1.08,1.35,1.05,1.30,192400,1.30
2016-10-06,0.95,1.09,0.93,1.09,71300,1.09
2016-10-05,0.90,0.95,0.90,0.93,39900,0.93
2016-10-04,0.91,0.92,0.90,0.92,13600,0.92
2016-10-03,0.89,0.91,0.89,0.91,4200,0.91
2016-09-30,0.91,0.91,0.91,0.91,000,0.91
2016-09-29,0.88,0.91,0.88,0.91,30400,0.91
2016-09-28,0.89,0.90,0.88,0.90,11300,0.90
2016-09-27,0.91,0.91,0.90,0.90,29000,0.90
2016-09-26,0.92,0.94,0.91,0.91,16200,0.91
2016-09-23,0.94,0.97,0.92,0.92,14900,0.92
2016-09-22,0.92,0.93,0.92,0.93,8300,0.93
2016-09-21,0.94,0.94,0.92,0.92,8700,0.92
2016-09-20,0.93,0.95,0.92,0.92,11400,0.92
2016-09-19,0.96,0.96,0.96,0.96,1000,0.96
2016-09-16,0.95,0.97,0.92,0.96,25500,0.96
2016-09-15,0.95,0.97,0.95,0.95,7500,0.95
2016-09-14,0.95,0.95,0.95,0.95,3500,0.95
2016-09-13,0.93,0.95,0.93,0.94,4000,0.94
2016-09-12,0.95,0.95,0.92,0.94,63600,0.94
2016-09-09,0.97,0.97,0.97,0.97,23000,0.97
2016-09-08,1.00,1.01,0.95,0.98,71100,0.98
2016-09-07,1.00,1.01,0.98,1.00,10800,1.00
2016-09-06,1.00,1.01,0.98,1.01,29900,1.01
2016-09-02,0.99,1.00,0.96,1.00,39600,1.00
2016-09-01,0.99,1.00,0.97,1.00,11000,1.00
2016-08-31,1.00,1.01,0.96,0.99,12300,0.99
2016-08-30,1.00,1.02,1.00,1.00,63700,1.00
2016-08-29,0.98,1.01,0.98,1.00,26500,1.00
2016-08-26,1.00,1.01,0.99,1.01,16200,1.01
2016-08-25,0.97,1.00,0.97,1.00,40600,1.00
2016-08-24,0.98,0.98,0.97,0.97,57700,0.97
2016-08-23,0.97,0.97,0.97,0.97,3000,0.97
2016-08-22,0.98,0.98,0.96,0.97,15000,0.97
2016-08-19,0.98,0.98,0.98,0.98,000,0.98
2016-08-18,0.99,1.00,0.98,0.98,8000,0.98
2016-08-17,0.98,0.99,0.98,0.98,20000,0.98
2016-08-16,1.00,1.00,1.00,1.00,7900,1.00
2016-08-15,0.98,1.00,0.98,1.00,3100,1.00
2016-08-12,0.97,1.00,0.97,1.00,31600,1.00
2016-08-11,0.97,0.99,0.97,0.99,5200,0.99
2016-08-10,0.98,0.99,0.95,0.97,77000,0.97
2016-08-09,0.99,1.00,0.97,0.99,29000,0.99
2016-08-08,1.01,1.01,0.98,0.99,71800,0.99
2016-08-05,1.01,1.01,0.99,1.00,60200,1.00
2016-08-04,1.02,1.03,1.00,1.01,20200,1.01
2016-08-03,1.05,1.05,1.01,1.04,24100,1.04
2016-08-02,1.08,1.08,1.05,1.06,10100,1.06
2016-07-29,1.04,1.08,1.03,1.03,26000,1.03
2016-07-28,1.11,1.15,1.00,1.00,141800,1.00
2016-07-27,1.07,1.08,1.04,1.05,28400,1.05
2016-07-26,1.07,1.08,1.06,1.06,20000,1.06
2016-07-25,1.04,1.05,1.04,1.05,10400,1.05
2016-07-22,1.04,1.06,1.03,1.03,32500,1.03
2016-07-21,1.03,1.05,1.02,1.04,9200,1.04
2016-07-20,1.03,1.05,1.02,1.02,15800,1.02
2016-07-19,1.04,1.06,0.98,1.04,29900,1.04
2016-07-18,1.05,1.06,1.04,1.04,23900,1.04
2016-07-15,1.03,1.03,1.02,1.03,4300,1.03
2016-07-14,0.99,1.04,0.99,1.04,15100,1.04
2016-07-13,1.03,1.03,0.97,1.00,92500,1.00
2016-07-12,0.98,1.04,0.98,1.04,61900,1.04
2016-07-11,1.00,1.00,0.96,0.98,17700,0.98
2016-07-08,1.02,1.03,1.00,1.00,19400,1.00
2016-07-07,0.96,1.05,0.96,1.03,99600,1.03
2016-07-06,1.00,1.00,0.90,0.95,56600,0.95
2016-07-05,1.04,1.05,1.02,1.02,40800,1.02
2016-07-04,1.01,1.08,1.01,1.05,35100,1.05
2016-06-30,1.10,1.14,1.07,1.08,6300,1.08
2016-06-29,1.17,1.17,1.07,1.08,13800,1.08
2016-06-28,1.06,1.15,1.06,1.14,30900,1.14
2016-06-27,1.06,1.14,1.06,1.13,3000,1.13
2016-06-24,1.06,1.13,1.04,1.07,59100,1.07
2016-06-23,1.20,1.20,1.07,1.10,60600,1.10
2016-06-22,1.30,1.30,1.21,1.21,15800,1.21
2016-06-21,1.31,1.32,1.30,1.31,11500,1.31
2016-06-20,1.30,1.39,1.30,1.33,13700,1.33
2016-06-17,1.32,1.37,1.30,1.30,6600,1.30
2016-06-16,1.35,1.35,1.32,1.35,6900,1.35
2016-06-15,1.30,1.36,1.30,1.36,35500,1.36
2016-06-14,1.33,1.35,1.30,1.30,17500,1.30
2016-06-13,1.30,1.40,1.27,1.30,101600,1.30
2016-06-10,1.28,1.45,1.28,1.30,73100,1.30
2016-06-09,1.31,1.36,1.31,1.31,13900,1.31
2016-06-08,1.32,1.35,1.30,1.31,21300,1.31
2016-06-07,1.32,1.35,1.28,1.28,29700,1.28
2016-06-06,1.28,1.35,1.27,1.28,18100,1.28
2016-06-03,1.35,1.40,1.29,1.30,54500,1.30
2016-06-02,1.36,1.36,1.27,1.36,17600,1.36
2016-06-01,1.36,1.39,1.30,1.36,11800,1.36
2016-05-31,1.34,1.36,1.30,1.35,27000,1.35
2016-05-30,1.20,1.39,1.20,1.36,52100,1.36
2016-05-27,1.10,1.21,1.08,1.21,44700,1.21
2016-05-26,1.10,1.15,1.10,1.15,3100,1.15
2016-05-25,1.06,1.15,1.06,1.10,15000,1.10
2016-05-24,1.06,1.12,1.06,1.12,4200,1.12
2016-05-20,1.12,1.12,1.06,1.06,21200,1.06
2016-05-19,1.14,1.17,1.14,1.14,5900,1.14
2016-05-18,1.15,1.18,1.14,1.14,34200,1.14
2016-05-17,1.14,1.16,1.14,1.14,36300,1.14
2016-05-16,1.10,1.16,1.10,1.16,74500,1.16
2016-05-13,1.05,1.14,1.05,1.12,51100,1.12
2016-05-12,1.06,1.08,1.03,1.04,8200,1.04
2016-05-11,1.10,1.11,1.03,1.07,34800,1.07
2016-05-10,1.08,1.11,1.05,1.11,41300,1.11
2016-05-09,1.04,1.10,1.01,1.05,36100,1.05
2016-05-06,0.97,1.02,0.97,1.01,62300,1.01
2016-05-05,0.94,0.96,0.91,0.96,34600,0.96
2016-05-04,0.90,0.94,0.90,0.90,40700,0.90
2016-05-03,0.91,0.91,0.87,0.87,35400,0.87
2016-05-02,0.89,0.93,0.89,0.91,37300,0.91
2016-04-29,0.91,0.92,0.89,0.89,12000,0.89
2016-04-28,0.85,0.92,0.85,0.92,32500,0.92
2016-04-27,0.84,0.89,0.83,0.89,39700,0.89
2016-04-26,0.83,0.87,0.83,0.83,42600,0.83
2016-04-25,0.86,0.86,0.85,0.85,16800,0.85
2016-04-22,0.87,0.87,0.83,0.85,6400,0.85
2016-04-21,0.84,0.87,0.84,0.84,5100,0.84
2016-04-20,0.83,0.85,0.83,0.85,4500,0.85
2016-04-19,0.85,0.87,0.81,0.87,47000,0.87
2016-04-18,0.85,0.87,0.84,0.84,23600,0.84
2016-04-15,0.89,0.89,0.85,0.85,7200,0.85
2016-04-14,0.85,0.85,0.85,0.85,2900,0.85
2016-04-13,0.89,0.89,0.87,0.89,25400,0.89
2016-04-12,0.88,0.88,0.85,0.88,13600,0.88
