Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,7.52,7.64,7.25,7.28,1848600,7.28
2017-01-25,7.44,7.55,7.36,7.42,495000,7.42
2017-01-24,7.08,7.68,7.08,7.52,1281600,7.52
2017-01-23,7.12,7.12,6.94,6.99,1424500,6.99
2017-01-20,7.33,7.37,7.11,7.13,958100,7.13
2017-01-19,7.41,7.43,7.18,7.23,1830400,7.23
2017-01-18,7.75,7.75,7.28,7.33,1615100,7.33
2017-01-17,7.60,7.88,7.56,7.85,1140500,7.85
2017-01-16,7.58,7.58,7.38,7.52,438900,7.52
2017-01-13,7.60,7.64,7.54,7.59,377200,7.59
2017-01-12,7.67,7.76,7.54,7.65,801700,7.65
2017-01-11,7.65,7.65,7.42,7.55,1243100,7.55
2017-01-10,7.88,7.91,7.57,7.58,1046300,7.58
2017-01-09,8.06,8.10,7.78,7.81,646000,7.81
2017-01-06,8.36,8.36,8.11,8.12,392800,8.12
2017-01-05,8.50,8.54,8.25,8.34,588200,8.34
2017-01-04,8.47,8.48,8.28,8.40,1080700,8.40
2017-01-03,8.42,8.73,8.32,8.48,911600,8.48
2016-12-30,8.29,8.39,8.26,8.27,245200,8.27
2016-12-29,8.30,8.36,8.17,8.32,826600,8.32
2016-12-28,8.42,8.46,8.29,8.35,215800,8.35
2016-12-23,8.45,8.45,8.19,8.31,493600,8.290001
2016-12-22,8.45,8.57,8.39,8.49,439600,8.469567
2016-12-21,8.37,8.54,8.32,8.41,568600,8.389759
2016-12-20,8.34,8.34,8.24,8.32,432300,8.299976
2016-12-19,8.34,8.39,8.24,8.28,329300,8.260072
2016-12-16,8.37,8.57,8.32,8.33,1087100,8.309952
2016-12-15,8.15,8.42,8.10,8.30,494700,8.280024
2016-12-14,8.43,8.56,8.17,8.25,610600,8.230145
2016-12-13,8.42,8.72,8.29,8.58,1055200,8.55935
2016-12-12,8.55,8.80,8.24,8.29,912700,8.270048
2016-12-09,8.05,8.20,7.99,8.06,317300,8.040602
2016-12-08,8.09,8.17,7.87,7.98,489500,7.960794
2016-12-07,7.95,8.14,7.93,7.98,399100,7.960794
2016-12-06,8.04,8.14,7.77,8.02,1513100,8.000699
2016-12-05,8.33,8.41,8.12,8.16,354300,8.140361
2016-12-02,8.30,8.49,8.18,8.23,306300,8.210192
2016-12-01,8.55,8.91,8.30,8.31,971400,8.290001
2016-11-30,7.83,8.45,7.82,8.41,3776800,8.389759
2016-11-29,7.36,7.37,7.07,7.19,990100,7.172696
2016-11-28,7.85,7.85,7.46,7.48,319100,7.461998
2016-11-25,7.90,7.98,7.67,7.70,448500,7.661516
2016-11-24,8.03,8.09,7.93,7.95,90000,7.910266
2016-11-23,7.94,8.14,7.93,8.02,433700,7.979917
2016-11-22,8.06,8.14,7.87,8.05,650900,8.009767
2016-11-21,7.84,8.09,7.82,8.05,1158400,8.009767
2016-11-18,7.73,7.88,7.57,7.63,1317300,7.591866
2016-11-17,7.99,8.02,7.67,7.69,765500,7.651566
2016-11-16,8.06,8.08,7.80,7.84,429400,7.800817
2016-11-15,7.82,8.20,7.81,8.12,900900,8.079417
2016-11-14,7.61,7.77,7.52,7.69,479500,7.651566
2016-11-11,7.66,7.70,7.39,7.65,703300,7.611766
2016-11-10,7.76,7.81,7.58,7.68,430000,7.641616
2016-11-09,7.36,7.77,7.36,7.75,1350700,7.711266
2016-11-08,7.51,7.55,7.40,7.43,523400,7.392865
2016-11-07,7.59,7.65,7.46,7.58,512300,7.542116
2016-11-04,7.50,7.57,7.36,7.47,744800,7.432665
2016-11-03,7.68,7.71,7.53,7.56,460800,7.522216
2016-11-02,7.68,7.72,7.46,7.69,619700,7.651566
2016-11-01,7.68,7.77,7.52,7.74,746900,7.701316
2016-10-31,7.66,7.72,7.58,7.59,372100,7.552066
2016-10-28,7.91,8.02,7.68,7.69,569100,7.651566
2016-10-27,8.00,8.04,7.85,7.94,370100,7.900317
2016-10-26,8.17,8.18,7.82,7.92,912400,7.860517
2016-10-25,8.34,8.40,8.19,8.25,1056600,8.188038
2016-10-24,8.52,8.64,8.29,8.33,1011200,8.267437
2016-10-21,8.50,8.62,8.39,8.61,541300,8.545334
2016-10-20,8.51,8.66,8.46,8.55,406900,8.485785
2016-10-19,8.38,8.70,8.38,8.63,910700,8.565184
2016-10-18,8.40,8.41,8.22,8.33,1025400,8.267437
2016-10-17,8.30,8.31,8.14,8.27,630800,8.207888
2016-10-14,8.29,8.34,8.22,8.32,602900,8.257512
2016-10-13,8.11,8.33,8.10,8.25,599900,8.188038
2016-10-12,8.38,8.38,8.10,8.19,841800,8.128488
2016-10-11,8.36,8.49,8.28,8.39,878000,8.326987
2016-10-07,8.53,8.53,8.29,8.31,402200,8.247588
2016-10-06,8.53,8.64,8.39,8.48,495500,8.41631
2016-10-05,8.20,8.59,8.17,8.51,1302100,8.446086
2016-10-04,8.20,8.26,8.00,8.03,619700,7.96969
2016-10-03,8.13,8.19,7.94,8.17,523900,8.108639
2016-09-30,8.05,8.19,8.00,8.07,1147300,8.00939
2016-09-29,8.05,8.34,7.90,8.04,1536800,7.979615
2016-09-28,7.51,8.02,7.39,7.98,1116300,7.920066
2016-09-27,7.44,7.47,7.35,7.43,919700,7.354347
2016-09-26,7.66,7.74,7.53,7.54,767100,7.463227
2016-09-23,7.86,7.87,7.48,7.59,787900,7.512718
2016-09-22,7.79,8.01,7.78,7.91,1091300,7.82946
2016-09-21,7.59,7.68,7.52,7.62,633100,7.542412
2016-09-20,7.47,7.66,7.39,7.45,810500,7.374143
2016-09-19,7.54,7.70,7.44,7.49,856500,7.413736
2016-09-16,7.31,7.60,7.30,7.40,1612900,7.324653
2016-09-15,7.43,7.60,7.32,7.43,1224900,7.354347
2016-09-14,7.53,7.72,7.35,7.38,925200,7.304856
2016-09-13,7.80,7.82,7.30,7.59,1638000,7.512718
2016-09-12,7.90,8.06,7.75,7.88,596300,7.799765
2016-09-09,8.18,8.19,7.91,7.96,441200,7.878951
2016-09-08,7.89,8.32,7.89,8.31,1520500,8.225387
2016-09-07,7.92,8.03,7.79,7.80,935600,7.72058
2016-09-06,7.83,7.94,7.77,7.90,549100,7.819562
