Date,Open,High,Low,Close,Volume,Adj Close
2016-12-21,8.10,8.10,7.50,7.50,24200,7.50
2016-12-20,8.12,8.30,7.97,8.10,19700,8.10
2016-12-19,8.28,8.66,7.98,8.10,30500,8.10
2016-12-16,8.10,8.25,8.10,8.24,7900,8.24
2016-12-15,7.96,8.15,7.90,8.02,4700,8.02
2016-12-14,8.08,8.09,7.80,7.90,21100,7.90
2016-12-13,8.07,8.43,8.05,8.05,7100,8.05
2016-12-12,8.94,8.94,8.00,8.08,26100,8.08
2016-12-09,8.69,9.20,8.50,8.51,16400,8.51
2016-12-08,9.23,9.23,8.50,8.74,29300,8.74
2016-12-07,9.30,9.51,9.00,9.17,17900,9.17
2016-12-06,9.87,9.95,9.50,9.57,20900,9.57
2016-12-05,9.10,9.93,8.96,9.75,45200,9.75
2016-12-02,9.53,9.53,8.89,8.90,65400,8.90
2016-12-01,10.26,10.27,9.50,9.53,32100,9.53
2016-11-30,10.59,10.62,10.12,10.13,9800,10.13
2016-11-29,10.93,11.20,10.44,10.75,8600,10.75
2016-11-28,11.10,11.10,10.75,10.75,7400,10.75
2016-11-25,11.25,11.49,11.07,11.09,3000,11.09
2016-11-24,11.25,11.26,11.25,11.25,1500,11.25
2016-11-23,11.56,11.56,10.81,11.25,6900,11.25
2016-11-22,12.32,12.78,11.60,11.62,26800,11.62
2016-11-21,12.00,12.23,11.31,12.20,19400,12.20
2016-11-18,11.70,11.70,11.29,11.50,9400,11.50
2016-11-17,11.95,11.95,11.45,11.76,11900,11.76
2016-11-16,10.51,11.77,10.51,11.68,43400,11.68
2016-11-15,10.15,10.69,9.71,10.38,13600,10.38
2016-11-14,11.24,11.26,9.90,10.20,35200,10.20
2016-11-11,10.64,11.28,10.47,10.81,35000,10.81
2016-11-10,10.21,10.80,9.70,10.50,23100,10.50
2016-11-09,9.50,11.28,9.50,10.15,46500,10.15
2016-11-08,9.90,9.90,9.20,9.20,46200,9.20
2016-11-07,9.91,9.95,9.35,9.57,32200,9.57
2016-11-04,10.01,10.01,9.20,9.32,29400,9.32
2016-11-03,19.34,19.34,9.10,9.20,117600,9.20
2016-11-02,18.76,20.82,18.76,19.35,24300,19.35
2016-11-01,18.290001,18.35,18.00,18.35,3800,18.35
2016-10-31,18.719999,18.719999,18.24,18.57,4100,18.57
2016-10-28,19.040001,19.040001,18.200001,19.00,13900,19.00
2016-10-27,19.92,19.92,18.92,19.030001,6900,19.030001
2016-10-26,19.459999,20.07,19.459999,19.76,3800,19.76
2016-10-25,19.950001,19.950001,18.77,18.799999,5100,18.799999
2016-10-24,20.959999,20.959999,19.50,19.50,3300,19.50
2016-10-21,20.280001,20.540001,19.950001,20.540001,3800,20.540001
2016-10-20,19.200001,20.18,19.200001,20.18,1400,20.18
2016-10-19,20.450001,20.450001,19.440001,19.540001,2400,19.540001
2016-10-18,19.50,20.18,19.35,20.18,5300,20.18
2016-10-17,19.00,19.35,18.25,19.35,6400,19.35
2016-10-14,19.51,19.59,19.00,19.25,5500,19.25
2016-10-13,20.02,20.059999,19.51,19.799999,10600,19.799999
2016-10-12,20.76,21.17,20.15,20.15,3800,20.15
2016-10-11,23.48,23.48,20.799999,20.809999,10000,20.809999
2016-10-07,22.120001,23.35,21.629999,22.15,10200,22.15
2016-10-06,21.00,22.459999,20.84,21.639999,6700,21.639999
2016-10-05,20.50,22.379999,20.49,21.60,13200,21.60
2016-10-04,19.610001,20.389999,19.610001,20.389999,5300,20.389999
2016-10-03,18.690001,20.00,18.690001,19.43,3600,19.43
2016-09-30,19.00,19.879999,18.629999,19.43,4200,19.43
2016-09-29,20.18,20.24,19.00,19.00,7600,19.00
