Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,62.310001,62.450001,61.830002,61.959999,1326200,61.959999
2017-02-09,61.98,62.470001,61.639999,61.98,987500,61.98
2017-02-08,61.450001,61.959999,60.799999,61.810001,1007000,61.810001
2017-02-07,61.849998,62.049999,60.91,61.43,1221600,61.43
2017-02-06,62.34,62.549999,61.709999,61.849998,1117800,61.849998
2017-02-03,62.07,62.790001,61.849998,62.48,1464300,62.48
2017-02-02,61.689999,62.00,61.599998,61.799999,1029800,61.799999
2017-02-01,61.549999,61.990002,61.09,61.580002,1276700,61.580002
2017-01-31,61.669998,61.75,61.200001,61.389999,2076800,61.389999
2017-01-30,62.700001,62.709999,61.470001,61.669998,1917700,61.669998
2017-01-27,63.52,63.650002,62.299999,62.709999,1840700,62.709999
2017-01-26,64.400002,64.550003,63.110001,63.549999,2047600,63.549999
2017-01-25,64.690002,65.239998,64.449997,64.470001,2770100,64.470001
2017-01-24,63.209999,64.480003,62.759998,64.239998,4758300,64.239998
2017-01-23,62.439999,62.799999,62.029999,62.540001,1120300,62.540001
2017-01-20,62.009998,62.849998,62.00,62.529999,1641000,62.529999
2017-01-19,61.98,62.299999,61.830002,61.91,795100,61.91
2017-01-18,61.59,62.299999,61.580002,61.98,1005200,61.98
2017-01-17,61.310001,62.07,61.209999,61.799999,1131100,61.799999
2017-01-16,61.259998,61.380001,61.009998,61.209999,267300,61.209999
2017-01-13,60.849998,61.189999,60.470001,61.169998,890500,61.169998
2017-01-12,60.799999,61.009998,60.299999,60.779999,1290100,60.779999
2017-01-11,60.669998,60.810001,60.360001,60.75,756300,60.75
2017-01-10,61.18,61.400002,60.41,60.560001,910000,60.560001
2017-01-09,60.66,61.299999,60.459999,60.959999,885000,60.959999
2017-01-06,61.220001,61.220001,60.639999,60.849998,823400,60.849998
2017-01-05,60.68,61.119999,60.529999,61.099998,1651700,61.099998
2017-01-04,60.709999,60.959999,60.330002,60.619999,1127500,60.619999
2017-01-03,60.830002,61.299999,60.279999,60.650002,1095500,60.650002
2016-12-30,61.099998,61.189999,60.52,60.540001,869300,60.540001
2016-12-29,60.990002,61.290001,60.84,61.09,761100,61.09
2016-12-28,61.66,61.970001,60.950001,60.98,1576800,60.98
2016-12-23,62.540001,62.84,62.130001,62.130001,843200,61.565002
2016-12-22,61.950001,62.529999,61.669998,62.419998,1072100,61.852362
2016-12-21,61.349998,62.18,61.200001,61.75,1238900,61.188457
2016-12-20,61.919998,61.959999,61.110001,61.349998,1494300,60.792093
2016-12-19,61.75,62.169998,61.380001,61.68,1145300,61.119093
2016-12-16,60.299999,61.700001,60.220001,61.599998,8735700,61.039819
2016-12-15,60.310001,60.619999,59.959999,60.080002,1453600,59.533645
2016-12-14,60.599998,60.689999,60.119999,60.259998,1907300,59.712005
2016-12-13,59.380001,60.75,59.200001,60.599998,2006100,60.048913
2016-12-12,59.299999,59.450001,58.900002,58.970001,1553200,58.433739
2016-12-09,59.580002,59.630001,58.619999,58.84,1518200,58.30492
2016-12-08,60.040001,60.040001,59.330002,59.48,1386500,58.939099
2016-12-07,59.07,60.00,58.790001,60.00,1244600,59.454371
2016-12-06,58.52,59.150002,58.119999,59.150002,1382600,58.612102
2016-12-05,58.830002,58.959999,58.150002,58.619999,1619000,58.086919
2016-12-02,59.00,59.18,58.509998,58.66,1773700,58.126556
2016-12-01,61.00,61.00,58.880001,58.880001,2057000,58.344557
2016-11-30,60.959999,61.23,60.16,60.330002,2864200,59.781372
2016-11-29,60.599998,60.700001,59.599998,60.459999,3058900,59.910187
2016-11-28,61.549999,61.549999,60.759998,60.939999,1220600,60.385821
2016-11-25,61.459999,61.709999,61.18,61.560001,897800,61.000186
2016-11-24,61.150002,61.73,61.119999,61.41,424700,60.851548
2016-11-23,61.09,61.459999,61.049999,61.25,978000,60.693003
2016-11-22,61.360001,61.650002,61.049999,61.209999,1261000,60.653366
2016-11-21,60.700001,61.330002,60.560001,61.09,1955900,60.534459
2016-11-18,60.380001,60.689999,60.220001,60.380001,1240100,59.830916
2016-11-17,60.110001,60.84,59.529999,60.380001,9913100,59.830916
2016-11-16,59.00,60.00,58.880001,60.00,2558500,59.454371
2016-11-15,59.34,59.50,58.650002,59.50,4000800,58.958918
2016-11-14,59.00,59.099998,57.93,58.50,1943500,57.968011
2016-11-11,59.799999,59.91,58.790001,58.91,2305100,58.374283
2016-11-10,60.25,60.709999,59.73,60.200001,2697300,59.652553
2016-11-09,58.50,60.130001,58.349998,59.959999,5151400,59.414734
2016-11-08,58.400002,58.52,58.150002,58.240002,1467100,57.710378
2016-11-07,58.209999,58.41,58.049999,58.389999,1687000,57.859011
2016-11-04,57.529999,58.34,57.360001,57.939999,2014100,57.413103
2016-11-03,57.82,58.00,57.369999,57.549999,2625800,57.02665
2016-11-02,58.25,58.349998,57.50,57.82,6698800,57.294195
2016-11-01,60.91,61.060001,60.43,60.59,1058900,60.039006
2016-10-31,60.84,61.150002,60.610001,60.720001,1432000,60.167824
2016-10-28,61.369999,61.509998,60.630001,60.82,1207300,60.266914
2016-10-27,61.560001,61.639999,61.16,61.400002,1396400,60.841641
2016-10-26,60.82,61.599998,60.73,61.389999,1217300,60.83173
2016-10-25,61.849998,61.849998,60.950001,61.130001,1344400,60.574096
2016-10-24,62.75,62.759998,61.75,61.939999,1142900,61.376727
2016-10-21,62.34,63.00,62.32,62.84,832800,62.268544
2016-10-20,62.439999,62.849998,62.009998,62.34,1048700,61.773091
2016-10-19,62.240002,62.830002,61.810001,62.470001,981900,61.90191
2016-10-18,61.310001,62.450001,61.310001,62.080002,1306100,61.515457
2016-10-17,60.549999,61.169998,60.380001,61.139999,776000,60.584003
2016-10-14,61.220001,62.029999,60.48,60.52,947800,59.969642
2016-10-13,60.810001,61.240002,60.389999,61.099998,1169500,60.544366
2016-10-12,60.450001,61.279999,60.220001,61.139999,1080700,60.584003
2016-10-11,61.540001,61.860001,60.110001,60.450001,1329700,59.900279
2016-10-07,61.549999,61.709999,61.130001,61.459999,830400,60.901093
2016-10-06,61.810001,62.029999,61.580002,61.59,633000,61.029912
2016-10-05,62.220001,62.669998,61.68,61.810001,1050500,61.247912
2016-10-04,62.34,62.740002,61.360001,61.959999,1054600,61.396546
2016-10-03,62.52,62.91,62.139999,62.259998,961700,61.693817
2016-09-30,62.990002,63.060001,62.310001,62.310001,1662000,61.743365
2016-09-29,62.580002,62.93,62.41,62.599998,1059400,62.030725
2016-09-28,61.880001,62.669998,61.880001,62.450001,1816700,61.882092
2016-09-27,62.23,62.470001,62.00,62.18,944100,61.054685
2016-09-26,62.799999,62.889999,62.189999,62.34,751300,61.21179
2016-09-23,63.130001,63.41,62.540001,62.959999,966600,61.820568
2016-09-22,62.880001,63.279999,62.619999,63.139999,930600,61.997311
2016-09-21,62.080002,62.849998,61.900002,62.470001,1055700,61.339438
2016-09-20,62.25,62.720001,61.959999,61.959999,1039000,60.838666
2016-09-19,61.93,62.139999,61.669998,62.07,1133000,60.946676
2016-09-16,61.540001,61.990002,61.290001,61.849998,3419100,60.730656
2016-09-15,61.09,61.790001,60.950001,61.490002,1160300,60.377174
2016-09-14,60.50,61.099998,60.110001,60.98,1474300,59.876402
2016-09-13,61.169998,61.169998,60.450001,60.740002,1836100,59.640747
2016-09-12,60.950001,61.799999,60.700001,61.560001,1668700,60.445907
2016-09-09,60.68,61.139999,60.299999,60.959999,1710200,59.856763
2016-09-08,59.889999,61.209999,59.860001,61.040001,1786200,59.935317
2016-09-07,59.490002,60.150002,59.279999,59.970001,1602100,58.884682
2016-09-06,60.799999,61.279999,58.98,59.380001,2477400,58.30536
2016-09-02,60.57,60.970001,60.419998,60.66,1020400,59.562193
2016-09-01,59.509998,60.779999,59.450001,60.419998,1251000,59.326535
2016-08-31,59.790001,59.900002,58.759998,59.470001,7619500,58.393731
2016-08-30,60.209999,60.68,59.639999,59.84,1636700,58.757034
2016-08-29,60.169998,60.529999,59.939999,60.209999,1525200,59.120337
2016-08-26,60.490002,60.830002,59.720001,60.189999,913400,59.100698
2016-08-25,60.50,60.59,59.93,60.349998,1043300,59.257802
2016-08-24,61.119999,61.200001,60.23,60.490002,984300,59.395272
2016-08-23,61.77,61.779999,61.16,61.299999,601800,60.19061
2016-08-22,61.00,61.970001,60.939999,61.799999,1038500,60.681561
2016-08-19,61.150002,61.43,60.93,61.209999,796100,60.102239
2016-08-18,61.09,61.209999,60.73,61.060001,731400,59.954956
2016-08-17,61.419998,61.52,60.759998,61.099998,1127700,59.994229
2016-08-16,62.200001,62.200001,61.099998,61.369999,1382500,60.259343
