Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,4.72,4.73,4.63,4.65,496900,4.65
2017-02-08,4.76,4.76,4.66,4.71,914800,4.71
2017-02-07,4.67,4.76,4.67,4.71,630700,4.71
2017-02-06,4.64,4.68,4.61,4.66,433300,4.66
2017-02-03,4.84,4.84,4.63,4.64,1366700,4.64
2017-02-02,4.90,4.92,4.79,4.83,1329700,4.83
2017-02-01,4.74,4.83,4.70,4.83,1130800,4.83
2017-01-31,4.66,4.71,4.63,4.71,2418900,4.71
2017-01-30,4.61,4.65,4.53,4.64,1948600,4.64
2017-01-27,4.73,4.76,4.63,4.63,948700,4.63
2017-01-26,4.75,4.79,4.71,4.73,1381400,4.73
2017-01-25,4.73,4.84,4.67,4.77,2298900,4.77
2017-01-24,4.64,4.75,4.60,4.74,1446300,4.74
2017-01-23,4.58,4.62,4.52,4.60,815100,4.60
2017-01-20,4.48,4.57,4.46,4.57,940500,4.57
2017-01-19,4.45,4.50,4.45,4.48,635800,4.48
2017-01-18,4.46,4.49,4.43,4.45,588900,4.45
2017-01-17,4.47,4.49,4.39,4.46,813000,4.46
2017-01-16,4.50,4.58,4.43,4.46,388700,4.46
2017-01-13,4.41,4.50,4.40,4.49,1559100,4.49
2017-01-12,4.60,4.65,4.40,4.40,1912800,4.40
2017-01-11,4.70,4.72,4.56,4.56,1533500,4.56
2017-01-10,4.43,4.72,4.42,4.71,2564700,4.71
2017-01-09,4.46,4.46,4.35,4.36,580300,4.36
2017-01-06,4.58,4.59,4.43,4.46,758000,4.46
2017-01-05,4.60,4.65,4.49,4.59,1134000,4.59
2017-01-04,4.46,4.60,4.45,4.59,1479200,4.59
2017-01-03,4.33,4.46,4.33,4.44,891700,4.44
2016-12-30,4.35,4.41,4.31,4.31,963900,4.31
2016-12-29,4.24,4.36,4.23,4.34,766600,4.34
2016-12-28,4.32,4.38,4.26,4.26,765200,4.26
2016-12-23,4.33,4.33,4.28,4.31,330300,4.31
2016-12-22,4.33,4.37,4.29,4.30,468700,4.30
2016-12-21,4.35,4.39,4.28,4.34,828100,4.34
2016-12-20,4.38,4.41,4.32,4.33,1057000,4.33
2016-12-19,4.39,4.44,4.33,4.39,1568500,4.39
2016-12-16,4.46,4.50,4.38,4.43,2637000,4.43
2016-12-15,4.47,4.53,4.41,4.52,1406900,4.52
2016-12-14,4.55,4.63,4.47,4.49,1698300,4.49
2016-12-13,4.64,4.65,4.47,4.55,1334800,4.55
2016-12-12,4.62,4.69,4.53,4.63,1207400,4.63
2016-12-09,4.61,4.72,4.61,4.65,805900,4.65
2016-12-08,4.67,4.71,4.64,4.67,1424900,4.67
2016-12-07,4.59,4.69,4.59,4.62,1344300,4.62
2016-12-06,4.45,4.63,4.45,4.57,1093000,4.57
2016-12-05,4.44,4.59,4.44,4.49,1593400,4.49
2016-12-02,4.39,4.46,4.28,4.42,1271300,4.42
2016-12-01,4.41,4.51,4.37,4.45,1561500,4.45
2016-11-30,4.64,4.69,4.49,4.49,2650300,4.49
2016-11-29,4.74,4.77,4.59,4.61,1692700,4.61
2016-11-28,4.85,4.88,4.76,4.79,1188200,4.79
2016-11-25,4.83,4.94,4.74,4.81,1199300,4.81
2016-11-24,4.82,5.03,4.82,4.92,523500,4.92
2016-11-23,4.58,4.80,4.58,4.78,2463400,4.78
2016-11-22,4.54,4.67,4.54,4.65,1410100,4.65
2016-11-21,4.59,4.60,4.55,4.58,753900,4.58
2016-11-18,4.48,4.57,4.47,4.55,780500,4.55
2016-11-17,4.54,4.58,4.46,4.48,965900,4.48
2016-11-16,4.57,4.57,4.44,4.50,1698500,4.50
2016-11-15,4.62,4.64,4.49,4.61,1964500,4.61
2016-11-14,4.75,4.77,4.65,4.68,2745200,4.68
2016-11-11,4.51,4.66,4.50,4.57,1933300,4.57
2016-11-10,4.59,4.67,4.44,4.51,2342200,4.51
2016-11-09,4.27,4.47,4.25,4.39,2102900,4.39
2016-11-08,4.03,4.30,4.03,4.27,4031300,4.27
2016-11-07,3.97,4.04,3.92,4.03,1411500,4.03
2016-11-04,4.01,4.07,3.92,3.92,1309900,3.92
2016-11-03,4.07,4.11,4.03,4.05,687900,4.05
2016-11-02,4.14,4.16,4.04,4.04,1090400,4.04
2016-11-01,4.20,4.24,4.09,4.11,1639400,4.11
2016-10-31,4.21,4.23,4.15,4.16,778300,4.16
2016-10-28,4.12,4.19,4.11,4.18,655700,4.18
2016-10-27,4.10,4.17,4.05,4.12,1491400,4.12
2016-10-26,4.10,4.16,4.05,4.07,1171500,4.07
2016-10-25,4.18,4.25,4.10,4.11,1518800,4.11
2016-10-24,4.15,4.16,4.07,4.14,613000,4.14
2016-10-21,4.05,4.24,4.05,4.12,1445800,4.12
2016-10-20,3.95,4.03,3.95,4.01,941900,4.01
2016-10-19,3.99,4.01,3.94,3.97,630300,3.97
