Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,31.50,31.57,30.33,31.139999,486300,31.139999
2017-02-08,33.02,33.849998,31.549999,31.690001,623700,31.690001
2017-02-07,32.310001,33.450001,32.139999,32.849998,407400,32.849998
2017-02-06,30.00,33.150002,29.85,32.939999,774900,32.939999
2017-02-03,29.700001,30.200001,29.24,30.040001,432500,30.040001
2017-02-02,28.48,29.870001,28.280001,29.610001,503200,29.610001
2017-02-01,27.459999,28.10,27.18,27.959999,485100,27.959999
2017-01-31,26.690001,27.90,26.690001,27.60,695500,27.60
2017-01-30,26.00,26.99,25.959999,26.27,227000,26.27
2017-01-27,25.690001,26.35,25.469999,26.26,266100,26.26
2017-01-26,25.639999,26.49,25.35,25.809999,446500,25.809999
2017-01-25,26.120001,26.58,25.90,26.139999,352100,26.139999
2017-01-24,27.67,28.02,26.559999,26.780001,251300,26.780001
2017-01-23,27.98,27.99,27.440001,27.709999,244500,27.709999
2017-01-20,27.09,28.00,26.83,27.48,472500,27.48
2017-01-19,26.98,27.74,26.51,26.950001,351800,26.950001
2017-01-18,27.48,27.780001,27.030001,27.32,508900,27.32
2017-01-17,27.82,28.00,27.01,27.530001,536300,27.530001
2017-01-16,26.530001,27.52,26.530001,27.33,147500,27.33
2017-01-13,27.50,27.700001,26.190001,26.74,454400,26.74
2017-01-12,28.700001,28.799999,27.299999,27.83,655600,27.83
2017-01-11,27.469999,28.23,26.940001,27.950001,550500,27.950001
2017-01-10,26.889999,27.40,26.469999,27.219999,575300,27.219999
2017-01-09,26.110001,27.290001,25.950001,26.620001,813600,26.620001
2017-01-06,26.02,26.450001,25.25,25.83,908400,25.83
2017-01-05,23.90,27.26,23.77,26.75,2003600,26.75
2017-01-04,21.83,22.40,21.77,22.030001,543900,22.030001
2017-01-03,20.90,21.620001,20.450001,21.58,545600,21.58
2016-12-30,21.719999,22.360001,20.67,20.790001,585200,20.790001
2016-12-29,19.629999,21.90,19.17,21.799999,830600,21.799999
2016-12-28,18.290001,19.549999,18.00,19.360001,434400,19.360001
2016-12-23,17.709999,18.459999,17.709999,18.09,348600,18.09
2016-12-22,17.459999,18.16,17.450001,17.559999,379200,17.559999
2016-12-21,17.799999,17.799999,17.24,17.52,312800,17.52
2016-12-20,17.83,17.90,17.049999,17.690001,512800,17.690001
2016-12-19,18.129999,18.65,17.799999,18.219999,654400,18.219999
2016-12-16,18.459999,18.99,17.799999,17.799999,2515600,17.799999
2016-12-15,19.940001,20.01,18.25,18.49,727800,18.49
2016-12-14,21.530001,21.530001,20.469999,20.629999,982200,20.629999
2016-12-13,21.00,21.49,20.959999,21.299999,606700,21.299999
2016-12-12,20.99,21.35,20.74,21.030001,626000,21.030001
2016-12-09,21.360001,21.48,20.709999,20.780001,885800,20.780001
2016-12-08,21.35,21.66,21.280001,21.49,536800,21.49
2016-12-07,21.639999,22.15,21.16,21.379999,468300,21.379999
2016-12-06,21.530001,21.66,20.870001,21.17,526400,21.17
2016-12-05,20.49,21.620001,20.43,21.49,563400,21.49
2016-12-02,20.76,21.030001,20.42,20.90,610100,20.90
2016-12-01,20.129999,20.889999,19.799999,20.450001,661000,20.450001
2016-11-30,20.629999,20.76,19.75,20.120001,707100,20.120001
2016-11-29,20.08,20.860001,19.76,20.83,452600,20.83
2016-11-28,19.440001,20.57,18.91,20.41,741800,20.41
2016-11-25,19.35,19.49,19.040001,19.07,359700,19.07
2016-11-24,18.59,19.32,18.59,19.18,84600,19.18
2016-11-23,19.709999,19.969999,18.639999,18.76,789700,18.76
2016-11-22,20.35,20.549999,19.91,20.379999,382200,20.379999
2016-11-21,20.01,20.450001,19.780001,20.18,426200,20.18
2016-11-18,19.74,20.09,19.43,20.01,389800,20.01
2016-11-17,20.00,20.84,19.65,19.91,531300,19.91
2016-11-16,20.01,20.34,19.77,20.120001,717300,20.120001
2016-11-15,19.52,20.57,19.309999,20.450001,462400,20.450001
2016-11-14,18.43,19.92,18.23,19.40,569100,19.40
2016-11-11,20.290001,20.57,18.620001,18.85,721700,18.85
2016-11-10,22.84,22.84,20.209999,20.41,769000,20.41
2016-11-09,23.25,23.969999,22.389999,23.030001,1155000,23.030001
2016-11-08,21.940001,22.23,21.26,21.85,728000,21.85
2016-11-07,22.809999,22.950001,21.52,21.879999,470900,21.879999
2016-11-04,24.98,24.99,23.25,23.549999,486000,23.549999
2016-11-03,24.629999,25.32,24.24,24.440001,480800,24.440001
2016-11-02,26.60,26.60,24.200001,24.35,380500,24.35
2016-11-01,25.85,26.360001,25.139999,25.76,422100,25.76
2016-10-31,24.08,25.190001,23.799999,24.950001,326400,24.950001
2016-10-28,24.459999,25.040001,23.77,24.040001,612500,24.040001
2016-10-27,25.49,25.68,24.530001,24.65,334900,24.65
2016-10-26,25.940001,26.059999,24.98,25.23,256800,25.23
2016-10-25,25.50,26.24,25.35,26.030001,515200,26.030001
2016-10-24,26.030001,26.49,24.90,25.379999,396200,25.379999
2016-10-21,26.299999,26.50,25.90,26.190001,237800,26.190001
2016-10-20,26.860001,26.969999,25.77,26.34,323200,26.34
2016-10-19,26.719999,27.110001,25.85,26.82,496400,26.82
2016-10-18,25.280001,26.16,24.75,25.879999,391000,25.879999
2016-10-17,24.58,24.99,24.35,24.66,132000,24.66
2016-10-14,24.59,25.16,24.360001,24.379999,315500,24.379999
2016-10-13,25.07,25.90,24.459999,25.030001,576300,25.030001
2016-10-12,23.370001,25.10,23.33,25.01,502400,25.01
2016-10-11,23.700001,23.799999,22.950001,23.219999,371400,23.219999
2016-10-07,23.27,24.49,23.00,23.75,815500,23.75
2016-10-06,23.440001,23.50,22.08,22.59,751200,22.59
2016-10-05,24.26,24.48,22.860001,23.879999,824300,23.879999
2016-10-04,26.790001,26.790001,23.77,23.84,765800,23.84
2016-10-03,28.280001,28.629999,26.59,27.559999,563000,27.559999
2016-09-30,29.040001,29.32,28.129999,28.379999,352600,28.379999
2016-09-29,29.15,29.360001,28.299999,28.889999,441600,28.889999
2016-09-28,29.73,30.00,28.690001,29.549999,565600,29.549999
2016-09-27,29.940001,31.07,29.51,29.65,553800,29.65
2016-09-26,30.99,31.030001,30.15,30.389999,289000,30.389999
2016-09-23,31.219999,31.33,30.059999,30.379999,387000,30.379999
2016-09-22,32.75,32.75,30.639999,31.23,441100,31.23
2016-09-21,30.57,32.41,30.43,32.259998,644600,32.259998
2016-09-20,29.40,30.25,29.139999,29.969999,514800,29.969999
2016-09-19,28.91,29.76,28.91,29.51,457400,29.51
2016-09-16,30.15,30.889999,27.83,28.43,2452700,28.43
2016-09-15,30.57,31.209999,30.02,30.219999,626900,30.219999
2016-09-14,31.33,32.50,30.610001,30.639999,575600,30.639999
2016-09-13,32.169998,32.369999,30.629999,31.049999,677100,31.049999
2016-09-12,30.889999,32.619999,30.26,32.189999,1273800,32.189999
2016-09-09,33.830002,33.889999,31.030001,31.440001,725800,31.440001
2016-09-08,34.240002,34.880001,33.509998,34.25,559000,34.25
2016-09-07,35.009998,35.150002,33.720001,34.450001,672400,34.450001
2016-09-06,33.959999,35.169998,33.91,35.099998,605900,35.099998
2016-09-02,32.669998,33.630001,31.959999,33.419998,721500,33.419998
2016-09-01,29.73,32.419998,29.17,31.66,957200,31.66
2016-08-31,30.360001,30.93,29.059999,30.040001,654600,30.040001
2016-08-30,31.950001,31.950001,30.16,30.709999,523800,30.709999
2016-08-29,31.17,32.75,31.17,32.27,534100,32.27
2016-08-26,32.00,32.939999,31.129999,31.83,868200,31.83
2016-08-25,29.92,32.279999,29.219999,31.610001,867300,31.610001
2016-08-24,31.129999,31.74,29.809999,30.08,1104400,30.08
2016-08-23,33.52,33.709999,31.43,31.58,799000,31.58
2016-08-22,32.52,33.549999,32.139999,33.290001,676300,33.290001
2016-08-19,32.709999,33.57,32.599998,32.98,669000,32.98
2016-08-18,33.00,33.57,32.830002,33.310001,594700,33.310001
2016-08-17,32.349998,33.529999,31.59,32.82,1122700,32.82
2016-08-16,32.02,32.990002,31.85,32.73,631800,32.73
2016-08-15,32.25,32.299999,31.709999,31.93,856900,31.93
2016-08-12,30.02,32.240002,30.02,32.02,948000,32.02
2016-08-11,27.889999,30.40,27.889999,29.620001,672300,29.620001
2016-08-10,27.60,27.639999,27.120001,27.25,348300,27.25
