Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,53.450001,54.029999,53.080002,53.400002,310100,53.400002
2017-02-02,53.75,54.099998,53.060001,53.360001,390200,53.360001
2017-02-01,54.470001,54.470001,53.23,53.84,249900,53.84
2017-01-31,53.310001,53.68,52.830002,53.68,477400,53.68
2017-01-30,53.98,54.00,52.790001,53.099998,250500,53.099998
2017-01-27,54.50,54.599998,53.740002,54.02,194700,54.02
2017-01-26,55.200001,55.400002,54.459999,54.650002,214200,54.650002
2017-01-25,54.599998,55.060001,54.459999,55.049999,217200,55.049999
2017-01-24,54.73,55.369999,54.50,54.639999,319900,54.639999
2017-01-23,54.73,55.029999,54.23,54.41,301600,54.41
2017-01-20,55.400002,55.77,55.09,55.169998,201800,55.169998
2017-01-19,55.00,55.450001,54.98,55.130001,152800,54.915001
2017-01-18,55.00,55.25,54.400002,54.91,271700,54.695858
2017-01-17,56.00,56.540001,55.299999,55.389999,371800,55.173985
2017-01-16,55.990002,56.080002,55.540001,55.650002,99900,55.432974
2017-01-13,55.459999,56.150002,55.040001,56.040001,182400,55.821452
2017-01-12,56.810001,56.810001,55.490002,55.669998,310600,55.452892
2017-01-11,56.490002,56.610001,56.040001,56.32,413700,56.100359
2017-01-10,56.360001,56.790001,56.040001,56.330002,276900,56.110322
2017-01-09,56.810001,56.82,55.98,56.18,261200,55.960905
2017-01-06,57.57,57.57,56.790001,57.110001,191500,56.887279
2017-01-05,57.639999,57.98,57.09,57.57,192500,57.345484
2017-01-04,57.099998,57.810001,56.740002,57.25,265100,57.026732
2017-01-03,57.00,57.849998,56.279999,57.139999,289000,56.917161
2016-12-30,56.25,57.130001,56.189999,56.490002,171300,56.269698
2016-12-29,56.549999,56.93,55.900002,56.43,242500,56.209931
2016-12-28,57.400002,57.73,56.41,56.82,241700,56.598409
2016-12-23,57.450001,57.450001,56.93,57.099998,110600,56.877316
2016-12-22,57.799999,58.25,57.02,57.470001,183300,57.245876
2016-12-21,58.200001,58.700001,57.439999,57.57,250000,57.345484
2016-12-20,58.259998,58.459999,57.75,58.02,279600,57.79373
2016-12-19,57.50,58.419998,57.25,58.130001,192400,57.689141
2016-12-16,58.099998,58.169998,57.139999,57.630001,375300,57.192933
2016-12-15,57.459999,57.889999,56.610001,57.66,328700,57.222704
2016-12-14,58.00,58.450001,57.110001,57.57,444300,57.133387
2016-12-13,57.990002,58.700001,57.48,58.380001,322500,57.937245
2016-12-12,58.970001,58.98,57.09,57.290001,435200,56.855512
2016-12-09,56.869999,57.25,56.529999,57.209999,295700,56.776116
2016-12-08,56.110001,56.630001,55.799999,56.380001,238800,55.952413
2016-12-07,55.869999,56.41,55.299999,55.799999,302200,55.37681
2016-12-06,55.830002,56.349998,55.50,55.98,366600,55.555445
2016-12-05,56.310001,57.080002,56.240002,56.279999,390700,55.853169
2016-12-02,55.360001,56.049999,55.040001,55.880001,337100,55.456205
2016-12-01,55.25,55.889999,54.900002,55.41,527100,54.989768
2016-11-30,54.439999,55.00,53.490002,54.490002,1033300,54.076748
2016-11-29,51.490002,51.619999,50.830002,51.27,398700,50.881167
2016-11-28,53.459999,53.459999,51.759998,51.889999,306500,51.496464
2016-11-25,54.25,54.25,53.029999,53.25,223700,52.84615
2016-11-24,54.310001,54.91,54.25,54.689999,85400,54.275228
2016-11-23,53.759998,54.91,53.759998,54.259998,275700,53.848489
2016-11-22,54.689999,54.799999,53.950001,54.349998,260100,53.937806
2016-11-21,54.75,54.939999,54.400002,54.509998,223200,54.096593
2016-11-18,53.419998,54.049999,53.25,53.66,220700,53.253041
2016-11-17,54.43,54.799999,53.200001,53.48,292100,52.861036
2016-11-16,53.619999,54.02,53.32,53.639999,304200,53.019184
2016-11-15,54.099998,55.200001,53.830002,53.889999,400400,53.266291
2016-11-14,52.360001,53.349998,52.00,53.130001,261100,52.515089
2016-11-11,53.240002,53.240002,51.619999,52.380001,260800,51.773769
2016-11-10,53.139999,53.860001,52.950001,53.310001,243000,52.693006
2016-11-09,51.84,53.919998,51.84,53.41,288300,52.791847
2016-11-08,52.98,53.169998,52.16,52.299999,305600,51.694693
2016-11-07,52.93,53.080002,52.139999,52.990002,298400,52.37671
2016-11-04,52.619999,53.18,51.91,52.07,364200,51.467355
2016-11-03,52.900002,53.189999,52.619999,53.00,267800,52.386592
2016-11-02,53.580002,53.889999,52.189999,52.93,350200,52.317403
2016-11-01,52.860001,54.470001,52.709999,54.349998,738500,53.720966
2016-10-31,52.48,53.139999,51.290001,52.599998,602000,51.99122
