Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,1.55,1.59,1.52,1.59,28700,1.59
2017-02-09,1.59,1.60,1.55,1.55,4900,1.55
2017-02-08,1.55,1.61,1.55,1.61,600,1.61
2017-02-07,1.58,1.63,1.58,1.60,115900,1.60
2017-02-06,1.59,1.60,1.54,1.60,32900,1.60
2017-02-03,1.56,1.60,1.50,1.59,21000,1.59
2017-02-02,1.57,1.57,1.56,1.57,11600,1.57
2017-02-01,1.53,1.60,1.53,1.55,55300,1.55
2017-01-31,1.59,1.59,1.59,1.59,1800,1.59
2017-01-30,1.55,1.58,1.55,1.58,95400,1.58
2017-01-27,1.52,1.55,1.52,1.55,3800,1.55
2017-01-26,1.55,1.55,1.50,1.50,1000,1.50
2017-01-25,1.50,1.54,1.50,1.54,30000,1.54
2017-01-24,1.51,1.51,1.48,1.50,110600,1.50
2017-01-23,1.49,1.55,1.46,1.55,68900,1.55
2017-01-20,1.49,1.50,1.48,1.48,181700,1.48
2017-01-19,1.45,1.50,1.45,1.50,66000,1.50
2017-01-18,1.42,1.42,1.42,1.42,5700,1.42
2017-01-17,1.45,1.45,1.40,1.42,48400,1.42
2017-01-16,1.44,1.44,1.44,1.44,200,1.44
2017-01-13,1.46,1.46,1.46,1.46,000,1.46
2017-01-12,1.46,1.46,1.46,1.46,000,1.46
2017-01-11,1.43,1.46,1.43,1.46,2500,1.46
2017-01-10,1.38,1.46,1.38,1.40,5300,1.40
2017-01-09,1.40,1.40,1.40,1.40,4400,1.40
2017-01-06,1.40,1.40,1.40,1.40,1000,1.40
2017-01-05,1.39,1.46,1.39,1.46,15100,1.46
2017-01-04,1.40,1.40,1.32,1.40,11300,1.40
2017-01-03,1.44,1.44,1.39,1.39,5800,1.39
2016-12-30,1.35,1.35,1.35,1.35,2800,1.35
2016-12-29,1.32,1.32,1.30,1.31,9700,1.31
2016-12-28,1.44,1.44,1.32,1.34,5200,1.34
2016-12-23,1.45,1.45,1.43,1.45,13400,1.45
2016-12-22,1.45,1.45,1.44,1.45,10700,1.45
2016-12-21,1.33,1.45,1.33,1.45,562700,1.45
2016-12-20,1.33,1.33,1.31,1.31,900,1.31
2016-12-19,1.36,1.36,1.36,1.36,3200,1.36
2016-12-16,1.37,1.37,1.32,1.32,5000,1.32
2016-12-15,1.30,1.30,1.30,1.30,2100,1.30
