Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,19.860001,20.09,19.610001,19.639999,1182800,19.639999
2017-01-19,20.08,20.379999,19.790001,19.860001,1060200,19.860001
2017-01-18,20.030001,20.24,19.57,20.059999,1398400,20.059999
2017-01-17,19.969999,20.450001,19.57,19.93,1134800,19.93
2017-01-16,20.299999,20.299999,20.00,20.120001,203100,20.120001
2017-01-13,20.66,20.76,20.049999,20.120001,874700,20.120001
2017-01-12,20.280001,20.799999,19.889999,20.540001,1338700,20.540001
2017-01-11,21.790001,22.08,20.200001,20.309999,1920000,20.309999
2017-01-10,22.950001,23.139999,21.280001,21.82,2955900,21.82
2017-01-09,20.389999,20.67,20.040001,20.290001,879800,20.290001
2017-01-06,20.68,20.809999,20.17,20.290001,985900,20.290001
2017-01-05,20.950001,21.049999,20.40,20.870001,1499800,20.870001
2017-01-04,19.969999,21.040001,19.610001,20.700001,1519700,20.700001
2017-01-03,19.690001,20.60,19.309999,20.52,1661000,20.52
2016-12-30,19.16,19.700001,18.959999,19.469999,1098800,19.469999
2016-12-29,19.25,19.42,18.83,19.16,952100,19.16
2016-12-28,19.299999,19.48,18.74,19.27,913200,19.27
2016-12-23,19.290001,19.75,19.07,19.379999,874800,19.379999
2016-12-22,19.10,19.83,19.040001,19.209999,1229200,19.209999
2016-12-21,19.610001,20.15,18.98,19.02,1265500,19.02
2016-12-20,19.75,19.879999,19.219999,19.629999,839300,19.629999
2016-12-19,19.01,20.09,19.01,19.48,1367200,19.48
2016-12-16,18.290001,19.049999,18.24,18.85,2760200,18.85
2016-12-15,18.620001,18.620001,17.42,18.15,2501500,18.15
2016-12-14,19.41,19.48,18.299999,18.790001,2091200,18.790001
2016-12-13,19.51,19.66,19.24,19.440001,873700,19.440001
2016-12-12,20.360001,20.48,19.280001,19.32,1363500,19.32
2016-12-09,20.389999,20.93,20.219999,20.370001,931200,20.370001
2016-12-08,20.00,20.530001,19.75,20.370001,1350600,20.370001
2016-12-07,20.59,20.59,19.709999,19.950001,1401600,19.950001
2016-12-06,20.450001,20.870001,20.01,20.73,1072700,20.73
2016-12-05,20.57,20.74,19.92,20.370001,951200,20.370001
2016-12-02,20.280001,20.93,20.16,20.549999,1502400,20.549999
2016-12-01,21.17,21.51,20.360001,20.370001,1363000,20.370001
2016-11-30,22.889999,22.889999,20.48,21.24,2640300,21.24
2016-11-29,23.360001,23.66,22.870001,23.049999,805900,23.049999
2016-11-28,23.040001,23.66,22.40,23.469999,1003000,23.469999
2016-11-25,23.280001,23.639999,22.90,22.959999,787600,22.959999
2016-11-24,22.879999,23.639999,22.85,23.50,410000,23.50
2016-11-23,23.60,23.60,22.610001,22.85,1299800,22.85
2016-11-22,24.85,24.969999,23.68,23.99,977700,23.99
2016-11-21,24.27,24.74,24.01,24.65,1064900,24.65
2016-11-18,24.059999,25.219999,23.90,24.35,1527100,24.35
2016-11-17,23.68,24.450001,22.190001,24.299999,3117200,24.299999
2016-11-16,24.389999,24.780001,23.809999,24.030001,1424900,24.030001
2016-11-15,23.700001,25.00,22.60,24.549999,1725800,24.549999
2016-11-14,24.85,25.379999,23.42,23.790001,1608400,23.790001
2016-11-11,22.530001,24.809999,22.35,24.42,1644900,24.42
2016-11-10,21.860001,22.92,21.65,22.700001,1998100,22.700001
2016-11-09,20.75,21.58,20.120001,21.50,2556800,21.50
2016-11-08,18.90,21.030001,18.41,19.92,3833600,19.92
2016-11-07,26.08,26.24,25.09,25.51,1023700,25.51
2016-11-04,25.84,26.950001,25.50,25.74,1152000,25.74
2016-11-03,28.40,28.40,25.65,25.860001,1645900,25.860001
2016-11-02,30.209999,31.18,27.83,28.34,2759000,28.34
2016-11-01,24.469999,32.50,24.18,31.18,2920400,31.18
2016-10-31,27.440001,27.76,23.809999,23.940001,1776900,23.940001
2016-10-28,29.60,29.68,27.040001,27.209999,1955200,27.209999
2016-10-27,29.43,30.030001,29.200001,29.540001,831500,29.540001
2016-10-26,29.290001,29.610001,28.969999,29.219999,743300,29.219999
2016-10-25,28.959999,30.17,28.799999,29.43,745600,29.43
2016-10-24,29.40,29.42,28.549999,28.91,826100,28.91
