Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,10.53,10.63,10.37,10.56,2041700,10.56
2017-02-08,10.17,10.41,9.99,10.40,2356400,10.40
2017-02-07,10.27,10.35,10.06,10.25,1936400,10.25
2017-02-06,10.73,10.73,10.21,10.30,1818200,10.30
2017-02-03,10.89,11.00,10.70,10.73,2276700,10.73
2017-02-02,10.58,11.01,10.54,10.85,2000700,10.85
2017-02-01,10.48,10.67,10.38,10.51,1238500,10.51
2017-01-31,10.25,10.41,10.19,10.36,2008400,10.36
2017-01-30,10.64,10.64,10.24,10.24,1581600,10.24
2017-01-27,10.85,10.91,10.60,10.71,1145100,10.71
2017-01-26,11.16,11.30,10.88,10.90,1834500,10.877
2017-01-25,11.06,11.22,10.99,11.06,863700,11.036663
2017-01-24,10.77,11.11,10.76,11.06,1868200,11.036663
2017-01-23,11.23,11.25,10.69,10.69,1635800,10.667443
2017-01-20,11.25,11.37,11.18,11.32,1211000,11.296114
2017-01-19,11.12,11.16,11.02,11.10,963500,11.076579
2017-01-18,11.15,11.19,11.04,11.08,1858400,11.05662
2017-01-17,11.28,11.37,11.13,11.29,680800,11.266177
2017-01-16,11.35,11.35,11.10,11.18,613200,11.15641
2017-01-13,11.21,11.50,11.17,11.35,854600,11.326051
2017-01-12,11.51,11.54,11.14,11.25,1577000,11.226262
2017-01-11,11.71,11.79,11.33,11.37,2791400,11.346008
2017-01-10,11.85,11.92,11.51,11.58,1471700,11.555565
2017-01-09,12.14,12.18,11.77,11.82,1168500,11.795059
2017-01-06,12.57,12.58,12.21,12.24,722000,12.214173
2017-01-05,12.51,12.76,12.40,12.45,600300,12.42373
2017-01-04,12.23,12.51,12.10,12.45,2183800,12.42373
2017-01-03,12.32,12.50,12.02,12.21,1143200,12.184236
2016-12-30,12.19,12.27,12.13,12.16,332400,12.134341
2016-12-29,12.23,12.25,12.08,12.19,305500,12.164278
2016-12-28,12.20,12.35,12.17,12.23,519600,12.204193
2016-12-23,12.30,12.37,12.13,12.21,625100,12.161284
2016-12-22,12.12,12.41,12.05,12.33,857500,12.280805
2016-12-21,12.10,12.32,12.05,12.06,808200,12.011883
2016-12-20,12.12,12.18,11.99,12.01,341300,11.962083
2016-12-19,12.04,12.20,11.94,12.06,755700,12.011883
2016-12-16,12.06,12.25,11.95,12.01,1040700,11.962083
2016-12-15,11.85,12.12,11.81,12.03,1368200,11.982002
