Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,2.04,2.06,2.02,2.05,900900,2.05
2017-02-09,2.03,2.08,2.00,2.04,2139800,2.04
2017-02-08,1.96,2.03,1.96,2.02,3654000,2.02
2017-02-07,1.92,1.96,1.91,1.96,1065200,1.96
2017-02-06,1.88,1.93,1.86,1.93,1006800,1.93
2017-02-03,1.91,1.91,1.87,1.88,367600,1.88
2017-02-02,1.87,1.91,1.85,1.91,1047600,1.91
2017-02-01,1.87,1.88,1.85,1.88,909500,1.88
2017-01-31,1.86,1.88,1.85,1.86,477700,1.86
2017-01-30,1.88,1.89,1.87,1.88,359100,1.88
2017-01-27,1.91,1.91,1.88,1.88,372200,1.88
2017-01-26,1.89,1.91,1.88,1.90,1040000,1.90
2017-01-25,1.87,1.88,1.85,1.88,1216800,1.88
2017-01-24,1.85,1.87,1.81,1.87,2621900,1.87
2017-01-23,1.81,1.83,1.79,1.83,994000,1.83
2017-01-20,1.85,1.85,1.81,1.81,423500,1.81
2017-01-19,1.80,1.85,1.79,1.85,1054100,1.85
2017-01-18,1.82,1.83,1.79,1.80,1366900,1.80
2017-01-17,1.86,1.86,1.82,1.82,921700,1.82
2017-01-16,1.84,1.86,1.84,1.85,192200,1.85
2017-01-13,1.82,1.86,1.82,1.84,499900,1.84
2017-01-12,1.82,1.85,1.80,1.84,4607400,1.84
2017-01-11,1.85,1.86,1.81,1.82,2747500,1.82
2017-01-10,1.83,1.87,1.82,1.85,1417300,1.85
2017-01-09,1.86,1.88,1.83,1.84,1332400,1.84
2017-01-06,1.89,1.89,1.84,1.86,802600,1.86
2017-01-05,1.87,1.90,1.86,1.89,910200,1.89
2017-01-04,1.85,1.89,1.85,1.89,545100,1.89
2017-01-03,1.90,1.90,1.83,1.86,1131400,1.86
2016-12-30,1.92,1.92,1.89,1.89,277000,1.89
2016-12-29,1.91,1.92,1.90,1.91,197700,1.91
2016-12-28,1.92,1.94,1.91,1.91,363200,1.91
2016-12-23,1.86,1.92,1.85,1.91,1949000,1.91
2016-12-22,1.87,1.90,1.86,1.86,990200,1.86
