Date,Open,High,Low,Close,Volume,Adj Close
2017-02-06,22.450001,22.450001,22.209999,22.24,184000,22.24
2017-02-03,22.58,22.60,22.219999,22.48,179400,22.48
2017-02-02,22.52,22.889999,22.450001,22.59,338000,22.59
2017-02-01,22.030001,22.700001,22.030001,22.50,231200,22.50
2017-01-31,22.190001,22.33,21.959999,21.959999,329600,21.959999
2017-01-30,22.709999,22.709999,22.299999,22.35,206500,22.35
2017-01-27,22.799999,22.93,22.57,22.809999,215000,22.809999
2017-01-26,22.93,23.040001,22.799999,22.83,215200,22.83
2017-01-25,23.01,23.09,22.92,22.92,223400,22.92
2017-01-24,22.99,23.299999,22.950001,23.01,251700,23.01
2017-01-23,22.709999,23.16,22.709999,23.01,166600,23.01
2017-01-20,22.98,23.200001,22.74,22.940001,174500,22.940001
2017-01-19,23.07,23.34,22.950001,22.969999,153700,22.969999
2017-01-18,23.25,23.629999,23.15,23.200001,192800,23.200001
2017-01-17,23.209999,23.48,23.209999,23.280001,334800,23.280001
2017-01-16,23.00,23.35,23.00,23.32,186600,23.32
2017-01-13,23.299999,23.459999,23.190001,23.23,250800,23.23
2017-01-12,23.00,23.65,23.00,23.33,474300,23.33
2017-01-11,23.049999,23.549999,23.030001,23.52,289800,23.52
2017-01-10,22.73,23.200001,22.709999,23.09,227200,23.09
2017-01-09,22.82,22.91,22.50,22.610001,172200,22.610001
2017-01-06,23.15,23.299999,22.870001,22.91,256300,22.91
2017-01-05,23.379999,23.50,23.139999,23.200001,317600,23.200001
2017-01-04,23.290001,24.00,23.200001,23.73,583100,23.73
2017-01-03,22.59,23.24,22.299999,23.08,445400,23.08
2016-12-30,23.290001,23.40,23.01,23.040001,144400,23.040001
2016-12-29,23.559999,23.59,23.25,23.35,173300,23.35
2016-12-28,23.360001,23.74,23.35,23.549999,116200,23.549999
2016-12-23,23.35,23.49,23.219999,23.41,195800,23.41
2016-12-22,23.280001,23.469999,23.280001,23.299999,220500,23.299999
2016-12-21,23.370001,23.59,23.34,23.379999,164200,23.379999
2016-12-20,23.280001,23.620001,23.27,23.370001,199500,23.370001
2016-12-19,23.10,23.799999,23.10,23.299999,315800,23.299999
2016-12-16,22.809999,23.290001,22.65,23.16,612900,23.16
2016-12-15,22.620001,22.99,22.50,22.85,219000,22.85
2016-12-14,23.09,23.290001,22.51,22.74,506500,22.74
2016-12-13,23.00,23.200001,22.85,23.09,454900,23.09
2016-12-12,22.26,23.18,22.030001,22.99,1017900,22.99
2016-12-09,21.75,22.620001,21.610001,22.59,579900,22.45
2016-12-08,21.309999,21.799999,21.299999,21.77,370800,21.635082
2016-12-07,21.059999,21.299999,20.92,21.299999,210100,21.167994
2016-12-06,20.82,21.40,20.780001,21.07,193100,20.939419
2016-12-05,20.85,20.91,20.690001,20.75,446900,20.621403
2016-12-02,20.719999,21.24,20.709999,20.860001,200400,20.730722
2016-12-01,21.16,21.16,20.52,20.790001,484700,20.661156
2016-11-30,21.35,21.360001,21.059999,21.059999,452200,20.929481
2016-11-29,21.41,21.440001,21.23,21.35,118300,21.217685
2016-11-28,21.25,21.57,21.030001,21.40,451600,21.267374
2016-11-25,21.299999,21.440001,21.25,21.26,211100,21.128242
2016-11-24,21.459999,21.530001,21.25,21.33,89100,21.197808
2016-11-23,21.450001,21.530001,21.32,21.370001,129800,21.237561
2016-11-22,21.469999,21.709999,21.440001,21.52,300400,21.386631
2016-11-21,21.35,21.50,21.129999,21.43,320600,21.297189
2016-11-18,21.60,21.68,21.18,21.309999,484900,21.177932
2016-11-17,21.809999,21.82,21.60,21.620001,243000,21.486012
2016-11-16,21.120001,21.799999,21.040001,21.610001,309800,21.476074
2016-11-15,21.00,21.50,21.00,21.200001,463600,21.068615
2016-11-14,20.969999,21.110001,20.790001,20.98,346800,20.849977
2016-11-11,20.65,21.049999,20.65,20.790001,226700,20.661156
2016-11-10,20.93,21.32,20.75,20.77,342200,20.641279
2016-11-09,20.60,21.09,20.60,20.93,199000,20.800288
2016-11-08,20.700001,21.49,20.60,21.190001,276000,21.058677
2016-11-07,20.719999,20.93,20.66,20.780001,285200,20.651218
2016-11-04,21.01,21.16,20.59,20.610001,786500,20.482271
2016-11-03,21.450001,21.57,21.00,21.120001,419800,20.989111
