Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,46.889999,47.27,46.57,46.91,159500,46.91
2017-01-26,46.169998,47.02,46.169998,46.939999,276300,46.939999
2017-01-25,44.900002,46.509998,44.73,46.25,196200,46.25
2017-01-24,44.290001,45.009998,44.139999,44.689999,109800,44.689999
2017-01-23,44.029999,44.25,43.790001,44.040001,87300,44.040001
2017-01-20,43.75,44.57,43.75,44.369999,164400,44.369999
2017-01-19,43.849998,43.900002,43.560001,43.610001,122300,43.610001
2017-01-18,44.57,44.669998,43.650002,43.82,175900,43.82
2017-01-17,44.52,44.880001,44.279999,44.650002,133700,44.650002
2017-01-16,44.57,44.799999,44.349998,44.50,50000,44.50
2017-01-13,44.509998,44.599998,44.139999,44.580002,121800,44.580002
2017-01-12,45.130001,45.139999,44.139999,44.540001,194700,44.540001
2017-01-11,45.009998,45.360001,44.73,45.150002,168200,45.150002
2017-01-10,44.560001,45.41,44.50,44.91,173500,44.91
2017-01-09,44.310001,44.57,44.00,44.299999,117200,44.299999
2017-01-06,44.82,44.860001,44.34,44.580002,146000,44.580002
2017-01-05,45.959999,45.990002,44.610001,44.860001,185100,44.860001
2017-01-04,44.509998,46.029999,44.509998,45.91,201400,45.91
2017-01-03,44.810001,45.02,44.200001,44.529999,72400,44.529999
2016-12-30,45.169998,45.169998,44.57,44.689999,60300,44.689999
2016-12-29,45.139999,45.290001,44.98,45.130001,49000,45.130001
2016-12-28,45.130001,45.299999,44.849998,45.080002,58200,45.080002
2016-12-23,44.91,45.490002,44.630001,45.380001,89000,45.005002
2016-12-22,45.439999,45.439999,44.57,45.189999,180400,44.81657
2016-12-21,45.169998,45.900002,44.59,45.59,216900,45.213266
2016-12-20,45.869999,45.869999,45.080002,45.68,171000,45.302522
2016-12-19,46.139999,46.860001,45.060001,46.07,151400,45.689299
2016-12-16,46.779999,47.709999,46.209999,46.349998,85800,45.966984
2016-12-15,46.779999,47.16,46.389999,46.77,109600,46.383515
2016-12-14,47.130001,47.145,46.509998,46.84,134400,46.452936
2016-12-13,46.50,47.459999,46.450001,47.139999,134400,46.750457
2016-12-12,46.709999,46.709999,46.130001,46.490002,102200,46.10583
2016-12-09,46.799999,46.950001,46.41,46.759998,102200,46.373596
2016-12-08,46.82,47.110001,46.43,46.84,83800,46.452936
2016-12-07,47.18,47.18,46.23,46.799999,160800,46.413266
2016-12-06,47.669998,47.77,46.990002,47.259998,170200,46.869464
2016-12-05,47.299999,47.900002,47.299999,47.700001,114900,47.30583
2016-12-02,47.540001,47.715,47.099998,47.299999,165700,46.909134
2016-12-01,48.00,48.25,47.389999,47.529999,154400,47.137233
2016-11-30,46.860001,47.830002,46.715,47.630001,285600,47.236409
2016-11-29,47.009998,47.150002,46.200001,46.540001,304100,46.155416
2016-11-28,46.98,47.310001,46.939999,47.080002,731300,46.690955
2016-11-25,48.310001,48.50,47.790001,47.790001,170800,47.395087
2016-11-24,48.369999,48.50,48.23,48.360001,73800,47.960376
2016-11-23,47.860001,48.50,47.860001,48.369999,162900,47.970292
2016-11-22,48.110001,48.470001,47.950001,48.099998,211700,47.702523
2016-11-21,47.639999,48.27,47.639999,48.139999,191300,47.742193
2016-11-18,47.75,47.950001,47.59,47.639999,247000,47.246325
2016-11-17,47.439999,47.84,47.099998,47.689999,289500,47.295911
2016-11-16,47.02,47.389999,46.880001,47.25,323200,46.859548
2016-11-15,46.700001,47.50,46.599998,47.279999,234400,46.889299
2016-11-14,46.049999,46.889999,45.799999,46.799999,228700,46.413266
