Date,Open,High,Low,Close,Volume,Adj Close
2017-01-10,2.19,2.23,2.19,2.23,88000,2.23
2017-01-09,2.11,2.16,2.10,2.16,32900,2.16
2017-01-06,2.09,2.15,2.09,2.15,13300,2.15
2017-01-05,2.17,2.17,2.08,2.09,25500,2.09
2017-01-04,2.17,2.17,2.05,2.14,33700,2.14
2017-01-03,2.11,2.11,2.01,2.01,3200,2.01
2016-12-30,2.29,2.30,2.11,2.11,9000,2.11
2016-12-29,2.31,2.42,2.28,2.28,1400,2.28
2016-12-28,2.30,2.30,2.26,2.30,2000,2.30
2016-12-23,2.20,2.35,2.18,2.35,45500,2.35
2016-12-22,2.18,2.30,2.08,2.25,100600,2.25
2016-12-21,1.90,2.09,1.89,2.08,159100,2.08
2016-12-20,1.86,1.86,1.86,1.86,1400,1.86
2016-12-19,1.96,1.99,1.85,1.85,13100,1.85
2016-12-16,2.00,2.19,1.97,2.00,160800,2.00
2016-12-15,1.85,2.00,1.85,2.00,103000,2.00
2016-12-14,1.94,2.10,1.79,1.80,79200,1.80
2016-12-13,1.93,2.00,1.91,1.91,41000,1.91
2016-12-12,1.95,2.00,1.89,1.93,20300,1.93
2016-12-09,1.89,1.89,1.80,1.80,2400,1.80
2016-12-08,1.80,1.85,1.65,1.76,15600,1.76
2016-12-07,1.95,1.95,1.85,1.85,3400,1.85
2016-12-06,1.85,2.00,1.80,1.98,43200,1.98
2016-12-05,1.64,1.95,1.64,1.90,79900,1.90
2016-12-02,1.64,1.65,1.64,1.65,8400,1.65
2016-12-01,1.53,1.68,1.53,1.64,118100,1.64
2016-11-30,1.57,1.57,1.57,1.57,3000,1.57
2016-11-29,1.63,1.63,1.63,1.63,1000,1.63
2016-11-28,1.60,1.66,1.60,1.65,73300,1.65
2016-11-25,1.57,1.60,1.57,1.60,24700,1.60
2016-11-24,1.51,1.51,1.50,1.51,3200,1.51
2016-11-23,1.48,1.54,1.48,1.54,4200,1.54
2016-11-22,1.51,1.53,1.47,1.48,23000,1.48
2016-11-21,1.52,1.52,1.51,1.51,30000,1.51
2016-11-18,1.51,1.58,1.51,1.51,17700,1.51
2016-11-17,1.51,1.55,1.51,1.53,7400,1.53
2016-11-16,1.56,1.56,1.50,1.51,14200,1.51
2016-11-15,1.45,1.61,1.43,1.50,37200,1.50
2016-11-14,1.55,1.55,1.47,1.54,14400,1.54
2016-11-11,1.59,1.60,1.55,1.55,4000,1.55
2016-11-10,1.60,1.60,1.60,1.60,100,1.60
2016-11-09,1.46,1.57,1.46,1.57,18100,1.57
2016-11-08,1.61,1.63,1.61,1.63,10300,1.63
2016-11-07,1.58,1.65,1.58,1.65,43300,1.65
2016-11-04,1.60,1.63,1.60,1.60,10100,1.60
2016-11-03,1.42,1.65,1.42,1.57,220000,1.57
2016-11-02,1.44,1.44,1.39,1.40,13300,1.40
2016-11-01,1.48,1.48,1.48,1.48,3500,1.48
2016-10-31,1.48,1.48,1.48,1.48,000,1.48
2016-10-28,1.51,1.51,1.48,1.48,15000,1.48
2016-10-27,1.53,1.53,1.51,1.51,9700,1.51
2016-10-26,1.51,1.53,1.51,1.53,5300,1.53
2016-10-25,1.51,1.55,1.51,1.55,7300,1.55
2016-10-24,1.53,1.53,1.53,1.53,000,1.53
2016-10-21,1.53,1.53,1.53,1.53,600,1.53
2016-10-20,1.60,1.60,1.53,1.60,44400,1.60
2016-10-19,1.60,1.61,1.60,1.61,4300,1.61
2016-10-18,1.58,1.61,1.58,1.60,13900,1.60
2016-10-17,1.60,1.60,1.58,1.58,2600,1.58
2016-10-14,1.57,1.60,1.57,1.58,25300,1.58
2016-10-13,1.60,1.61,1.60,1.60,7100,1.60
2016-10-12,1.60,1.65,1.50,1.63,80700,1.63
2016-10-11,1.52,1.60,1.52,1.60,58600,1.60
2016-10-07,1.46,1.51,1.46,1.50,77900,1.50
2016-10-06,1.43,1.45,1.41,1.45,19800,1.45
2016-10-05,1.45,1.45,1.36,1.42,9000,1.42
