Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,11.39,11.47,11.30,11.41,35900,11.41
2017-02-09,11.04,11.35,10.91,11.30,69700,11.30
2017-02-08,10.80,11.01,10.79,10.92,34900,10.92
2017-02-07,10.40,10.84,10.39,10.76,29200,10.76
2017-02-06,10.48,10.56,10.32,10.38,37300,10.38
2017-02-03,10.40,10.54,10.29,10.45,138100,10.45
2017-02-02,10.88,11.07,10.70,10.82,106400,10.82
2017-02-01,10.29,10.45,10.15,10.41,20000,10.41
2017-01-31,10.38,10.38,10.19,10.28,43700,10.28
2017-01-30,10.60,10.60,10.38,10.44,20100,10.44
2017-01-27,10.72,10.75,10.49,10.54,56000,10.54
2017-01-26,11.00,11.00,10.72,10.73,19200,10.73
2017-01-25,10.73,11.15,10.73,10.96,43900,10.96
2017-01-24,10.70,10.76,10.60,10.72,15200,10.72
2017-01-23,10.74,10.75,10.59,10.67,45200,10.67
2017-01-20,10.57,10.73,10.55,10.73,31400,10.73
2017-01-19,10.59,10.80,10.53,10.62,43500,10.62
2017-01-18,10.75,10.75,10.53,10.59,42600,10.59
2017-01-17,10.85,10.85,10.66,10.75,43500,10.75
2017-01-16,11.09,11.09,10.69,10.79,40300,10.79
2017-01-13,11.22,11.29,11.07,11.08,32900,11.08
2017-01-12,11.37,11.40,11.10,11.10,23000,11.10
2017-01-11,11.09,11.46,11.09,11.32,39700,11.32
2017-01-10,11.62,11.65,11.00,11.03,76100,11.03
2017-01-09,11.41,11.65,11.36,11.49,78900,11.49
2017-01-06,11.00,11.28,10.99,11.20,30000,11.20
2017-01-05,10.90,11.06,10.80,10.93,35400,10.93
2017-01-04,10.75,10.98,10.75,10.83,96400,10.83
2017-01-03,10.67,10.86,10.63,10.76,45100,10.76
2016-12-30,10.72,10.80,10.64,10.78,15500,10.78
2016-12-29,10.65,10.72,10.60,10.69,20000,10.69
2016-12-28,11.01,11.15,10.57,10.66,30000,10.66
2016-12-23,10.76,11.28,10.72,11.01,62500,11.01
2016-12-22,10.74,10.82,10.70,10.75,24900,10.75
2016-12-21,10.75,10.87,10.65,10.65,40600,10.65
2016-12-20,10.54,10.75,10.41,10.72,67300,10.72
2016-12-19,10.78,10.79,10.45,10.45,32000,10.45
2016-12-16,10.76,11.00,10.67,10.72,35700,10.72
2016-12-15,10.70,10.79,10.57,10.74,41200,10.74
2016-12-14,11.13,11.13,10.56,10.70,244400,10.70
