Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1.82,2.03,1.82,2.03,5500,2.03
2017-02-08,1.89,1.89,1.89,1.89,300,1.89
2017-02-07,1.85,1.95,1.85,1.95,7900,1.95
2017-02-06,1.78,1.90,1.78,1.90,2100,1.90
2017-02-03,1.81,1.82,1.70,1.75,4400,1.75
2017-02-02,1.82,1.82,1.82,1.82,000,1.82
2017-02-01,1.82,1.82,1.82,1.82,000,1.82
2017-01-31,1.95,1.95,1.82,1.82,1800,1.82
2017-01-30,2.05,2.05,2.05,2.05,2100,2.05
2017-01-27,2.05,2.05,2.05,2.05,300,2.05
2017-01-26,2.05,2.05,2.05,2.05,000,2.05
2017-01-25,2.08,2.08,2.05,2.05,2600,2.05
2017-01-24,2.05,2.05,2.05,2.05,000,2.05
2017-01-23,2.05,2.05,2.05,2.05,100,2.05
2017-01-20,2.10,2.10,2.10,2.10,500,2.10
2017-01-19,2.15,2.15,2.15,2.15,700,2.15
2017-01-18,2.10,2.32,2.10,2.30,2200,2.30
2017-01-17,2.12,2.12,2.11,2.11,1100,2.11
2017-01-16,2.10,2.10,2.10,2.10,000,2.10
2017-01-13,2.10,2.10,2.10,2.10,000,2.10
2017-01-12,2.11,2.11,2.10,2.10,2400,2.10
2017-01-11,2.20,2.44,2.07,2.22,6100,2.22
2017-01-10,2.03,2.30,2.03,2.04,9200,2.04
2017-01-09,1.75,2.20,1.75,2.20,5400,2.20
2017-01-06,1.56,1.70,1.56,1.70,600,1.70
2017-01-05,1.49,1.50,1.49,1.50,81300,1.50
2017-01-04,1.45,1.45,1.45,1.45,000,1.45
2017-01-03,1.45,1.45,1.45,1.45,000,1.45
2016-12-30,1.45,1.45,1.45,1.45,100,1.45
2016-12-29,1.50,1.50,1.50,1.50,000,1.50
2016-12-28,1.50,1.50,1.50,1.50,000,1.50
2016-12-23,1.49,1.50,1.49,1.50,1400,1.50
2016-12-22,1.45,1.45,1.45,1.45,000,1.45
2016-12-21,1.65,1.65,1.45,1.45,3600,1.45
2016-12-20,1.65,1.65,1.65,1.65,000,1.65
2016-12-19,1.65,1.65,1.65,1.65,100,1.65
2016-12-16,1.65,1.70,1.65,1.70,800,1.70
2016-12-15,1.51,1.70,1.51,1.70,2100,1.70
2016-12-14,1.50,1.50,1.50,1.50,000,1.50
2016-12-13,1.50,1.50,1.50,1.50,900,1.50
2016-12-12,1.52,1.52,1.52,1.52,000,1.52
2016-12-09,1.60,1.60,1.52,1.52,3900,1.52
2016-12-08,1.50,1.59,1.50,1.51,2400,1.51
2016-12-07,1.30,1.40,1.30,1.40,700,1.40
2016-12-06,1.20,1.25,1.20,1.25,1300,1.25
2016-12-05,1.22,1.26,1.22,1.26,1200,1.26
2016-12-02,1.20,1.20,1.20,1.20,000,1.20
2016-12-01,1.20,1.20,1.20,1.20,100,1.20
2016-11-30,1.10,1.10,1.10,1.10,000,1.10
2016-11-29,1.15,1.15,1.10,1.10,1600,1.10
2016-11-28,1.20,1.20,1.18,1.18,3700,1.18
2016-11-25,1.16,1.16,1.16,1.16,000,1.16
2016-11-24,1.16,1.16,1.16,1.16,900,1.16
2016-11-23,1.10,1.10,1.10,1.10,2800,1.10
2016-11-22,1.20,1.20,1.20,1.20,9000,1.20
2016-11-21,1.15,1.15,1.15,1.15,500,1.15
2016-11-18,1.25,1.25,1.25,1.25,000,1.25
2016-11-17,1.25,1.25,1.25,1.25,000,1.25
2016-11-16,1.25,1.25,1.25,1.25,000,1.25
2016-11-15,1.25,1.25,1.25,1.25,000,1.25
2016-11-14,1.30,1.30,1.25,1.25,200,1.25
2016-11-11,1.10,1.20,1.10,1.20,3700,1.20
2016-11-10,1.00,1.10,1.00,1.10,3600,1.10
2016-11-09,0.90,0.90,0.90,0.90,000,0.90
2016-11-08,0.90,0.90,0.90,0.90,000,0.90
2016-11-07,0.95,0.95,0.90,0.90,1700,0.90
2016-11-04,0.95,0.95,0.95,0.95,000,0.95
2016-11-03,0.95,0.95,0.95,0.95,000,0.95
2016-11-02,0.95,0.95,0.95,0.95,000,0.95
2016-11-01,0.95,0.95,0.95,0.95,000,0.95
2016-10-31,0.95,0.95,0.95,0.95,000,0.95
2016-10-28,0.95,0.95,0.95,0.95,000,0.95
2016-10-27,0.95,0.95,0.95,0.95,000,0.95
2016-10-26,0.95,0.95,0.95,0.95,000,0.95
2016-10-25,0.95,0.95,0.95,0.95,000,0.95
2016-10-24,0.95,0.95,0.95,0.95,000,0.95
2016-10-21,1.00,1.00,0.95,0.95,1200,0.95
2016-10-20,1.00,1.00,1.00,1.00,000,1.00
2016-10-19,1.00,1.00,1.00,1.00,000,1.00
2016-10-18,0.95,1.00,0.95,1.00,1200,1.00
2016-10-17,1.00,1.00,1.00,1.00,000,1.00
2016-10-14,0.91,1.00,0.91,1.00,7500,1.00
2016-10-13,0.95,0.95,0.95,0.95,000,0.95
2016-10-12,0.95,0.95,0.95,0.95,000,0.95
2016-10-11,0.95,0.95,0.95,0.95,000,0.95
2016-10-07,0.95,0.95,0.95,0.95,1400,0.95
2016-10-06,0.96,0.96,0.96,0.96,000,0.96
2016-10-05,0.96,0.96,0.96,0.96,000,0.96
2016-10-04,0.96,0.96,0.96,0.96,000,0.96
2016-10-03,0.96,0.96,0.96,0.96,600,0.96
2016-09-30,1.02,1.02,1.02,1.02,000,1.02
2016-09-29,1.02,1.02,1.02,1.02,000,1.02
2016-09-28,1.02,1.02,1.02,1.02,000,1.02
2016-09-27,1.02,1.02,1.02,1.02,000,1.02
2016-09-26,1.02,1.02,1.02,1.02,000,1.02
2016-09-23,1.02,1.02,1.02,1.02,4400,1.02
2016-09-22,1.07,1.07,1.07,1.07,000,1.07
2016-09-21,1.07,1.07,1.07,1.07,7000,1.07
2016-09-20,1.03,1.03,1.03,1.03,000,1.03
2016-09-19,1.03,1.03,1.03,1.03,900,1.03
2016-09-16,1.02,1.02,1.02,1.02,000,1.02
2016-09-15,1.02,1.02,1.02,1.02,000,1.02
2016-09-14,1.03,1.03,1.02,1.02,7100,1.02
2016-09-13,1.16,1.16,1.16,1.16,000,1.16
2016-09-12,1.16,1.16,1.16,1.16,000,1.16
2016-09-09,1.16,1.16,1.16,1.16,000,1.16
2016-09-08,1.16,1.16,1.16,1.16,000,1.16
2016-09-07,1.05,1.16,1.05,1.16,7300,1.16
2016-09-06,1.05,1.05,1.00,1.00,6300,1.00
2016-09-02,1.10,1.10,1.10,1.10,000,1.10
2016-09-01,1.10,1.10,1.10,1.10,000,1.10
2016-08-31,1.10,1.10,1.10,1.10,2200,1.10
2016-08-30,1.22,1.22,1.22,1.22,000,1.22
2016-08-29,1.15,1.22,1.10,1.22,6500,1.22
2016-08-26,1.05,1.05,1.05,1.05,1600,1.05
2016-08-25,1.08,1.15,0.98,1.13,4400,1.13
2016-08-24,0.95,0.95,0.95,0.95,000,0.95
2016-08-23,0.95,0.95,0.95,0.95,000,0.95
2016-08-22,0.95,0.95,0.95,0.95,000,0.95
2016-08-19,0.95,0.95,0.95,0.95,000,0.95
2016-08-18,0.95,0.95,0.95,0.95,000,0.95
2016-08-17,0.95,0.95,0.95,0.95,000,0.95
2016-08-16,0.95,0.95,0.95,0.95,000,0.95
2016-08-15,0.95,0.95,0.95,0.95,000,0.95
2016-08-12,0.95,0.95,0.95,0.95,700,0.95
2016-08-11,1.06,1.06,1.06,1.06,000,1.06
2016-08-10,1.06,1.06,1.06,1.06,000,1.06
2016-08-09,1.06,1.06,1.06,1.06,000,1.06
2016-08-08,0.95,1.06,0.95,1.06,13000,1.06
2016-08-05,0.90,0.90,0.89,0.89,2000,0.89
2016-08-04,0.87,0.87,0.87,0.87,000,0.87
2016-08-03,0.87,0.87,0.87,0.87,000,0.87
2016-08-02,0.87,0.87,0.87,0.87,000,0.87
2016-07-29,0.87,0.87,0.87,0.87,000,0.87
2016-07-28,0.87,0.87,0.87,0.87,000,0.87
2016-07-27,0.87,0.87,0.87,0.87,000,0.87
2016-07-26,0.87,0.87,0.87,0.87,000,0.87
2016-07-25,0.92,0.92,0.87,0.87,14400,0.87
2016-07-22,0.92,0.92,0.92,0.92,000,0.92
2016-07-21,0.92,0.92,0.92,0.92,000,0.92
2016-07-20,0.92,0.92,0.92,0.92,000,0.92
2016-07-19,0.92,0.92,0.92,0.92,000,0.92
2016-07-18,0.92,0.92,0.92,0.92,000,0.92
2016-07-15,0.92,0.92,0.92,0.92,000,0.92
2016-07-14,0.92,0.92,0.92,0.92,1400,0.92
2016-07-13,0.85,0.85,0.85,0.85,000,0.85
2016-07-12,0.85,0.85,0.85,0.85,000,0.85
2016-07-11,0.85,0.85,0.85,0.85,400,0.85
2016-07-08,0.90,0.90,0.85,0.85,3500,0.85
2016-07-07,0.95,0.95,0.91,0.91,2600,0.91
2016-07-06,0.95,0.95,0.95,0.95,000,0.95
