Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,4.52,4.64,4.49,4.61,4700900,4.61
2017-02-09,4.76,4.76,4.55,4.60,3683800,4.60
2017-02-08,4.67,4.80,4.67,4.75,4628700,4.75
2017-02-07,4.64,4.73,4.61,4.67,5096400,4.67
2017-02-06,4.49,4.69,4.46,4.67,4044400,4.67
2017-02-03,4.36,4.45,4.33,4.43,3545700,4.43
2017-02-02,4.45,4.47,4.33,4.36,4053000,4.36
2017-02-01,4.25,4.37,4.21,4.35,9046400,4.35
2017-01-31,4.29,4.30,4.21,4.30,5966800,4.30
2017-01-30,4.23,4.29,4.18,4.20,3858200,4.20
2017-01-27,4.15,4.22,4.14,4.21,2818300,4.21
2017-01-26,4.18,4.21,4.11,4.15,3776900,4.15
2017-01-25,4.29,4.32,4.20,4.26,4617400,4.26
2017-01-24,4.36,4.45,4.32,4.37,7100000,4.37
2017-01-23,4.34,4.39,4.28,4.36,4530700,4.36
2017-01-20,4.20,4.32,4.18,4.30,5818000,4.30
2017-01-19,4.13,4.27,4.11,4.20,4132100,4.20
2017-01-18,4.26,4.29,4.13,4.18,3586900,4.18
2017-01-17,4.31,4.32,4.22,4.26,4126000,4.26
2017-01-16,4.18,4.24,4.18,4.24,1022300,4.24
2017-01-13,4.01,4.18,3.99,4.17,5275800,4.17
2017-01-12,4.30,4.31,4.06,4.11,6225000,4.11
2017-01-11,4.20,4.27,4.07,4.19,5974600,4.19
2017-01-10,4.24,4.33,4.13,4.22,5792800,4.22
2017-01-09,4.20,4.33,4.12,4.19,7330600,4.19
2017-01-06,4.18,4.22,4.01,4.07,7256400,4.07
2017-01-05,4.14,4.29,4.14,4.27,9135500,4.27
2017-01-04,4.10,4.10,3.93,4.03,6592300,4.03
2017-01-03,3.81,4.03,3.81,4.03,7367100,4.03
2016-12-30,4.10,4.19,3.76,3.77,7829900,3.77
2016-12-29,3.81,4.04,3.77,4.01,5781000,4.01
2016-12-28,3.51,3.73,3.51,3.72,5571600,3.72
2016-12-23,3.41,3.46,3.40,3.43,2511800,3.423
2016-12-22,3.42,3.49,3.37,3.38,4310700,3.373102
2016-12-21,3.47,3.49,3.41,3.43,4700900,3.423
2016-12-20,3.35,3.47,3.29,3.45,5968600,3.442959
2016-12-19,3.49,3.53,3.40,3.42,5555200,3.413021
2016-12-16,3.57,3.66,3.51,3.55,12179900,3.542755
2016-12-15,3.63,3.63,3.34,3.51,9604500,3.502837
2016-12-14,3.98,4.05,3.72,3.73,8445100,3.722388
2016-12-13,3.96,3.96,3.79,3.93,4440500,3.92198
2016-12-12,3.95,3.95,3.78,3.92,5037300,3.912
2016-12-09,3.96,3.97,3.81,3.81,5856200,3.802224
2016-12-08,4.06,4.08,3.94,3.99,5845700,3.981857
2016-12-07,4.19,4.20,4.05,4.07,4663300,4.061694
2016-12-06,4.02,4.16,4.01,4.08,5406800,4.071673
2016-12-05,3.94,4.05,3.89,4.01,10818500,4.001817
2016-12-02,3.93,4.10,3.90,4.03,6478900,4.021776
2016-12-01,3.96,4.00,3.86,3.89,6475200,3.882061
2016-11-30,3.98,4.01,3.90,4.01,8285100,4.001817
2016-11-29,4.02,4.10,3.97,4.01,4825800,4.001817
2016-11-28,3.97,4.11,3.92,4.10,4975500,4.091633
2016-11-25,3.97,4.01,3.90,3.91,2911900,3.902021
2016-11-24,3.92,3.98,3.90,3.94,1533300,3.931959
2016-11-23,4.00,4.03,3.90,3.96,7132900,3.951918
2016-11-22,4.15,4.18,4.02,4.16,9236200,4.15151
2016-11-21,4.17,4.20,4.05,4.13,6170500,4.121572
2016-11-18,4.09,4.17,4.01,4.10,5593400,4.091633
2016-11-17,4.23,4.32,4.05,4.15,7130400,4.141531
2016-11-16,4.23,4.27,4.13,4.24,6593900,4.231347
2016-11-15,4.20,4.27,4.10,4.23,7012700,4.221367
2016-11-14,3.98,4.38,3.95,4.19,10987800,4.181449
2016-11-11,4.44,4.52,4.03,4.07,8340200,4.061694
2016-11-10,4.82,4.82,4.40,4.48,8871700,4.470857
2016-11-09,5.10,5.10,4.72,4.83,11945500,4.820143
2016-11-08,4.81,4.93,4.63,4.70,7909700,4.690408
2016-11-07,4.80,4.86,4.70,4.79,5327800,4.780225
2016-11-04,5.00,5.06,4.84,4.95,6164000,4.939898
2016-11-03,4.87,5.10,4.85,4.98,6910600,4.969837
2016-11-02,4.90,5.15,4.81,4.87,13280700,4.860061
2016-11-01,4.92,4.96,4.81,4.81,8710400,4.800184
2016-10-31,4.60,4.80,4.56,4.79,4954200,4.780225
2016-10-28,4.73,4.82,4.53,4.58,9784200,4.570653
2016-10-27,4.93,4.97,4.73,4.78,5789100,4.770245
2016-10-26,5.13,5.16,4.81,4.91,6008500,4.89998
2016-10-25,4.99,5.26,4.99,5.14,6548900,5.12951
2016-10-24,5.12,5.17,4.87,4.98,5229200,4.969837
2016-10-21,5.11,5.17,5.08,5.08,3956400,5.069633
2016-10-20,5.10,5.16,5.02,5.14,4326700,5.12951
2016-10-19,5.08,5.14,4.93,5.09,4920700,5.079612
2016-10-18,4.90,5.00,4.84,4.96,4968800,4.949878
2016-10-17,4.83,4.94,4.80,4.84,4064500,4.830123
2016-10-14,4.97,5.01,4.79,4.79,5059800,4.780225
2016-10-13,4.96,5.17,4.84,4.97,6583100,4.959857
2016-10-12,4.86,5.00,4.79,4.95,6238500,4.939898
2016-10-11,4.92,4.96,4.80,4.82,7140600,4.810163
2016-10-07,4.99,5.06,4.77,4.85,7776400,4.840102
2016-10-06,4.79,4.97,4.71,4.84,10774100,4.830123
2016-10-05,5.06,5.08,4.75,5.01,6624800,4.999776
2016-10-04,5.39,5.40,4.90,4.93,13206400,4.919939
2016-10-03,5.64,5.73,5.52,5.63,4196700,5.61851
2016-09-30,5.91,5.98,5.65,5.65,4586000,5.63847
2016-09-29,5.79,5.89,5.68,5.85,3636900,5.838061
2016-09-28,5.73,5.92,5.63,5.85,5691700,5.838061
2016-09-27,5.79,5.86,5.68,5.71,7182600,5.691361
2016-09-26,5.99,6.02,5.84,5.84,3543300,5.820937
2016-09-23,6.13,6.17,5.85,5.91,5054900,5.890708
2016-09-22,6.43,6.43,6.04,6.12,4871400,6.100023
2016-09-21,6.04,6.35,5.96,6.31,6913800,6.289403
2016-09-20,5.84,5.95,5.79,5.90,3121800,5.880741
2016-09-19,5.91,5.92,5.76,5.80,2982400,5.781068
2016-09-16,5.90,6.03,5.67,5.77,9164400,5.751165
2016-09-15,5.89,6.14,5.72,5.94,6842300,5.92061
